,0
R_EX_cm_e,-6.775735528208315e-11
R_EX_cmp_e,-5.002220859751105e-11
R_EX_co2_e,12.829285005365819
R_EX_cobalt2_e,-1.415999986420502e-05
R_DM_4crsol_c,0.00013157008174857765
R_DM_5drib_c,0.00013629024556394143
R_DM_aacald_c,-9.299583325628191e-11
R_DM_amob_c,1.1801184882642701e-06
R_DM_mththf_c,0.0007905996189947473
R_EX_colipa_e,-9.845280146691948e-11
R_DM_oxam_c,1.3278622645884752e-10
R_EX_glc__D_e,-7.548806024715304e-11
R_EX_glcn_e,-7.283900000000131
R_BIOMASS_Ec_iJO1366_WT_53p95M,0.5900000000001455
R_EX_glcr_e,-6.116351869422942e-11
R_EX_colipap_e,-9.481482265982777e-11
R_EX_glcur_e,-7.776179700158536e-11
R_EX_glcur1p_e,-5.979927664157003e-11
R_BIOMASS_Ec_iJO1366_core_53p95M,-9.754330676514655e-11
R_EX_12ppd__R_e,7.271410140674561e-10
R_EX_gln__L_e,-4.0472514228895307e-11
R_EX_cpgn_e,-7.503331289626658e-11
R_EX_glu__L_e,-3.2741809263825417e-11
R_EX_gly_e,8.344613888766617e-11
R_EX_glyald_e,1.2141754268668592e-10
R_EX_glyb_e,-7.048583938740194e-11
R_EX_glyc_e,1.964508555829525e-10
R_EX_12ppd__S_e,1.6302692529279739e-10
R_EX_14glucan_e,-1.864464138634503e-11
R_EX_cpgn_un_e,-7.503331289626658e-11
R_EX_15dap_e,3.524291969370097e-11
R_EX_glyc__R_e,1.3392309483606368e-10
R_EX_glyc2p_e,-3.5925040720030665e-11
R_EX_23camp_e,-4.206412995699793e-11
R_EX_23ccmp_e,-4.206412995699793e-11
R_EX_23cgmp_e,-4.1382008930668235e-11
R_EX_23cump_e,-4.229150363244116e-11
R_EX_23dappa_e,-4.547473508864641e-11
R_EX_26dap__M_e,-5.093170329928398e-11
R_EX_glyc3p_e,-7.958078640513122e-12
R_EX_glyclt_e,6.762093107681721e-10
R_EX_gmp_e,-4.638422979041934e-11
R_EX_gsn_e,-8.526512829121202e-11
R_EX_gthox_e,-8.026290743146092e-11
R_EX_gthrd_e,-8.412825991399586e-11
R_EX_gtp_e,-4.661160346586257e-11
R_EX_gua_e,-8.571987564209849e-11
R_EX_h_e,-5.834408511873335e-10
R_EX_h2_e,-6.002665031701326e-11
R_EX_h2o_e,29.472086730399724
R_EX_h2o2_e,-1.1095835361629725e-10
R_EX_h2s_e,3.296918293926865e-11
R_EX_hacolipa_e,-6.957634468562901e-11
R_EX_halipa_e,-6.752998160663992e-11
R_EX_hdca_e,-8.640199666842818e-12
R_EX_hdcea_e,-3.342393029015511e-11
R_EX_hg2_e,-9.094947017729282e-11
R_EX_his__L_e,-7.958078640513122e-11
R_EX_2ddglcn_e,-9.43600753089413e-11
R_EX_34dhpac_e,-8.43556335894391e-11
R_EX_3amp_e,-6.843947630841285e-11
R_EX_3cmp_e,-6.843947630841285e-11
R_EX_3gmp_e,-6.548361852765083e-11
R_EX_3hcinnm_e,-6.411937647499144e-11
R_EX_3hpp_e,3.253717295592651e-10
R_EX_3hpppn_e,-6.480149750132114e-11
R_EX_hom__L_e,3.9335645851679146e-11
R_EX_hxa_e,-2.8194335754960775e-11
R_EX_hxan_e,-8.344613888766617e-11
R_EX_idon__L_e,5.2523319027386606e-11
R_EX_3ump_e,-6.843947630841285e-11
R_EX_4abut_e,-2.2282620193436742e-11
R_EX_4hoxpacd_e,-8.43556335894391e-11
R_EX_5dglcn_e,2.97859514830634e-11
R_EX_5mtr_e,0.003978959761525402
R_EX_LalaDglu_e,-5.002220859751105e-11
R_EX_ile__L_e,-5.95719029661268e-11
R_EX_imp_e,-5.002220859751105e-11
R_EX_indole_e,-8.208189683500677e-11
R_EX_inost_e,-9.777068044058979e-11
R_EX_ins_e,-8.640199666842818e-11
R_EX_isetac_e,-4.547473508864641e-11
R_EX_k_e,-0.10955709998097518
R_EX_LalaDgluMdap_e,-8.481038094032556e-11
R_EX_LalaDgluMdapDala_e,-8.731149137020111e-11
R_EX_LalaLglu_e,-5.002220859751105e-11
R_EX_kdo2lipid4_e,-8.913048077374697e-11
R_EX_ac_e,1.8408343827245517
R_EX_crn_e,-7.16227077646181e-11
R_EX_acac_e,-6.002665031701326e-11
R_EX_acald_e,1.6393641999457031e-10
R_EX_lac__D_e,2.335127646801993e-10
R_EX_lac__L_e,1.9099388737231493e-10
R_EX_crn__D_e,-6.684786058031023e-11
R_EX_lcts_e,-4.320099833421409e-11
R_EX_acgal_e,-9.072209650184959e-11
R_EX_acgal1p_e,-6.230038707144558e-11
R_EX_acgam_e,-7.16227077646181e-11
R_EX_leu__L_e,-3.9335645851679146e-11
R_EX_csn_e,-5.002220859751105e-11
R_EX_acgam1p_e,-5.843503458891064e-11
R_EX_acmana_e,-5.002220859751105e-11
R_EX_acmum_e,-2.7284841053187847e-11
R_EX_lipa_e,-4.160938260611147e-11
R_EX_cu_e,-7.776179700158536e-11
R_EX_lipa_cold_e,-8.753886504564434e-11
R_EX_acnam_e,-4.4792614062316716e-11
R_EX_acolipa_e,-7.071321306284517e-11
R_EX_cu2_e,-0.0003976600473833969
R_EX_acser_e,5.047695594839752e-11
R_EX_ade_e,-8.526512829121202e-11
R_EX_adn_e,-8.776623872108757e-11
R_EX_adocbl_e,-2.5011104298755527e-11
R_EX_ag_e,-7.980816008057445e-11
R_EX_lipoate_e,-4.4792614062316716e-11
R_EX_lys__L_e,-6.275513442233205e-11
R_EX_lyx__L_e,-4.75210981676355e-11
R_EX_mal__D_e,-4.547473508864641e-11
R_EX_agm_e,-7.116796041373163e-11
R_EX_akg_e,-1.8189894035458565e-11
R_EX_cyan_e,-5.411493475548923e-11
R_EX_ala_B_e,-5.002220859751105e-11
R_EX_ala__D_e,4.6838977141305804e-11
R_EX_ala__L_e,4.6838977141305804e-11
R_EX_alaala_e,-4.433786671143025e-11
R_EX_all__D_e,-4.547473508864641e-11
R_EX_alltn_e,-7.412381819449365e-11
R_EX_amp_e,-5.002220859751105e-11
R_EX_anhgm_e,-8.549250196665525e-11
R_EX_arab__L_e,-6.684786058031023e-11
R_EX_mal__L_e,3.092281986027956e-11
R_EX_malt_e,-1.8189894035458565e-11
R_EX_malthx_e,-3.5925040720030665e-11
R_EX_maltpt_e,-2.97859514830634e-11
R_EX_malttr_e,-2.637534635141492e-11
R_EX_maltttr_e,-2.97859514830634e-11
R_EX_man_e,-5.2295945351943374e-11
R_EX_cynt_e,-4.547473508864641e-11
R_EX_man6p_e,-5.184119800105691e-11
R_EX_manglyc_e,-4.547473508864641e-11
R_EX_melib_e,-6.02540239924565e-11
R_EX_cys__D_e,-4.547473508864641e-11
R_EX_meoh_e,1.1801178061432438e-06
R_EX_met__D_e,-5.729816621169448e-11
R_EX_arbt_e,-2.7057467377744615e-11
R_EX_arbtn_e,-7.503331289626658e-11
R_EX_arbtn_fe3_e,-7.503331289626658e-11
R_EX_met__L_e,-5.093170329928398e-11
R_EX_cys__L_e,-6.434675015043467e-11
R_EX_metsox_R__L_e,-5.002220859751105e-11
R_EX_metsox_S__L_e,-5.002220859751105e-11
R_EX_mg2_e,-0.004869269999062453
R_EX_mincyc_e,-6.798472895752639e-11
R_EX_minohp_e,-2.4556356947869062e-11
R_EX_mmet_e,-4.547473508864641e-11
R_EX_arg__L_e,-7.617018127348274e-11
R_EX_ascb__L_e,-4.843059286940843e-11
R_EX_asn__L_e,-4.4792614062316716e-11
R_EX_aso3_e,-9.43600753089413e-11
R_EX_asp__L_e,-9.322320693172514e-12
R_EX_btn_e,-5.161382432561368e-11
R_EX_but_e,-8.117240213323385e-11
R_EX_mn2_e,-0.0003882199998770375
R_EX_mnl_e,-5.002220859751105e-11
R_EX_mobd_e,-8.083000011538388e-05
R_EX_mso3_e,-4.524736141320318e-11
R_EX_n2o_e,-7.753442332614213e-11
R_EX_na1_e,-7.503331289626658e-11
R_EX_nac_e,-5.002220859751105e-11
R_EX_nh4_e,-6.198704603923943
R_EX_butso3_e,-4.411049303598702e-11
R_EX_ca2_e,-0.0029216799994173925
R_EX_cbi_e,-2.4101609596982598e-11
R_EX_cytd_e,-8.094502845779061e-11
R_EX_cbl1_e,-0.00013157016860532167
R_EX_cd2_e,-7.503331289626658e-11
R_EX_cgly_e,-7.617018127348274e-11
R_EX_ni2_e,-0.0001811299998735194
R_EX_nmn_e,-4.001776687800884e-11
R_EX_no_e,-4.092726157978177e-11
R_EX_no2_e,-8.185452315956354e-11
R_EX_no3_e,-2.319211489520967e-11
R_EX_novbcn_e,-6.662048690486699e-11
R_EX_o16a4colipa_e,-9.640643838793039e-11
R_EX_o2_e,-10.23334798605606
R_EX_o2s_e,-8.890310709830374e-11
R_EX_ocdca_e,-3.342393029015511e-11
R_EX_ocdcea_e,-3.342393029015511e-11
R_EX_octa_e,-5.093170329928398e-11
R_EX_orn_e,-5.95719029661268e-11
R_EX_orot_e,-5.184119800105691e-11
R_EX_pacald_e,-7.526068657170981e-11
R_EX_peamn_e,-4.661160346586257e-11
R_EX_phe__L_e,-7.753442332614213e-11
R_EX_pheme_e,-8.503775461576879e-11
R_EX_chol_e,-6.389200279954821e-11
R_EX_chtbs_e,-4.547473508864641e-11
R_EX_cit_e,-2.000888343900442e-11
R_EX_cl_e,-0.0029216799994173925
R_EX_pi_e,-0.5470161394503066
R_EX_dad_2_e,-6.843947630841285e-11
R_EX_pnto__R_e,-5.002220859751105e-11
R_EX_ppa_e,-5.184119800105691e-11
R_EX_damp_e,-4.206412995699793e-11
R_EX_ppal_e,-6.002665031701326e-11
R_EX_dca_e,-5.002220859751105e-11
R_EX_pppn_e,-5.843503458891064e-11
R_EX_ppt_e,-4.001776687800884e-11
R_EX_dcmp_e,-4.229150363244116e-11
R_EX_pro__L_e,-5.1159076974727213e-11
R_EX_dcyt_e,-6.843947630841285e-11
R_EX_progly_e,-4.547473508864641e-11
R_EX_psclys_e,-5.002220859751105e-11
R_EX_ddca_e,-3.319655661471188e-11
R_EX_pser__L_e,-5.002220859751105e-11
R_EX_ptrc_e,-5.7980287238024175e-11
R_EX_dgmp_e,-4.206412995699793e-11
R_EX_dgsn_e,-6.843947630841285e-11
R_EX_val__L_e,-2.1373125491663814e-11
R_EX_xan_e,-8.253664418589324e-11
R_EX_dha_e,1.2141754268668592e-10
R_EX_xmp_e,-5.002220859751105e-11
R_EX_dimp_e,-4.206412995699793e-11
R_EX_din_e,-6.843947630841285e-11
R_EX_xtsn_e,-8.594724931754172e-11
R_EX_pydam_e,-5.002220859751105e-11
R_EX_xyl__D_e,-3.8198777474462986e-11
R_EX_xylu__L_e,-5.502442945726216e-11
R_EX_zn2_e,-0.00019115999998575717
R_12DGR120tipp,3.283275873400271e-10
R_12DGR140tipp,3.283275873400271e-10
R_12DGR141tipp,3.155946615152061e-10
R_12DGR160tipp,2.901288098655641e-10
R_12DGR161tipp,2.758042683126405e-10
R_12DGR180tipp,3.021796146640554e-10
R_EX_pydx_e,-5.002220859751105e-11
R_EX_pydxn_e,-5.002220859751105e-11
R_EX_pyr_e,1.4142642612569034e-10
R_EX_quin_e,-4.229150363244116e-11
R_EX_r5p_e,-4.206412995699793e-11
R_EX_rfamp_e,-6.662048690486699e-11
R_EX_rib__D_e,-6.843947630841285e-11
R_EX_rmn_e,-4.661160346586257e-11
R_EX_sbt__D_e,-5.002220859751105e-11
R_EX_sel_e,-4.638422979041934e-11
R_EX_ser__D_e,-5.002220859751105e-11
R_EX_ser__L_e,2.7966962079517543e-11
R_EX_skm_e,-5.002220859751105e-11
R_12DGR181tipp,2.760316419880837e-10
R_12PPDRtex,-7.275957614183426e-10
R_12PPDRtpp,-7.271410140674561e-10
R_EX_dms_e,-9.777068044058979e-11
R_12PPDStex,-1.6370904631912708e-10
R_12PPDStpp,-1.6302692529279739e-10
R_14GLUCANabcpp,-5.7980287238024175e-11
R_EX_slnt_e,-5.275069270282984e-11
R_EX_so2_e,-8.890310709830374e-11
R_EX_so3_e,-7.935341272968799e-11
R_EX_dmso_e,-4.433786671143025e-11
R_EX_so4_e,-0.14866997018339134
R_EX_spmd_e,-8.86757334228605e-11
R_EX_succ_e,2.637534635141492e-11
R_14GLUCANtexi,-6.264144758461043e-11
R_23CAMPtex,-1.8189894035458565e-11
R_23CCMPtex,-1.8189894035458565e-11
R_EX_sucr_e,-4.547473508864641e-11
R_EX_sulfac_e,-4.547473508864641e-11
R_23CGMPtex,-1.8189894035458565e-11
R_EX_tartr__D_e,-5.002220859751105e-11
R_23CUMPtex,-1.8189894035458565e-11
R_EX_dopa_e,-4.888534022029489e-11
R_23DAPPAt2pp,-6.366462912410498e-11
R_23DAPPAtex,-1.0913936421275139e-11
R_23PDE2pp,-7.369749255303759e-11
R_23PDE4pp,-7.369749255303759e-11
R_EX_tartr__L_e,-6.070877134334296e-11
R_EX_taur_e,-4.4792614062316716e-11
R_EX_tcynt_e,-7.935341272968799e-11
R_23PDE7pp,-7.369749255303759e-11
R_23PDE9pp,-7.601386187161552e-11
R_EX_doxrbcn_e,-6.775735528208315e-11
R_26DAHtex,-3.637978807091713e-12
R_2AGPA120tipp,2.625029082992114e-10
R_EX_thm_e,-4.547473508864641e-11
R_EX_thr__L_e,-3.956301952712238e-11
R_EX_dtmp_e,-5.002220859751105e-11
R_EX_thrp_e,-5.002220859751105e-11
R_2AGPA140tipp,2.625597517180722e-10
R_2AGPA141tipp,2.843307811417617e-10
R_EX_thym_e,-4.001776687800884e-11
R_EX_dump_e,-4.206412995699793e-11
R_EX_thymd_e,-7.958078640513122e-11
R_2AGPA160tipp,1.5515411178057548e-10
R_2AGPA161tipp,1.5592149793519638e-10
R_EX_tma_e,-9.526957001071423e-11
R_EX_duri_e,-6.843947630841285e-11
R_EX_tmao_e,-3.8198777474462986e-11
R_EX_tre_e,-3.092281986027956e-11
R_EX_trp__L_e,-8.458300726488233e-11
R_2AGPA180tipp,3.1013769330456853e-10
R_2AGPA181tipp,1.560067630634876e-10
R_2AGPE120tipp,3.5228708838985767e-10
R_2AGPE140tipp,3.523155100992881e-10
R_2AGPE141tipp,3.6914116208208725e-10
R_2AGPE160tipp,1.907380919874413e-10
R_EX_tsul_e,-4.229150363244116e-11
R_EX_eca4colipa_e,4.501998773775995e-11
R_EX_ttdca_e,-3.319655661471188e-11
R_2AGPE161tipp,2.000888343900442e-10
R_2AGPE180tipp,3.906563961209031e-10
R_2AGPE181tipp,2.0014567780890502e-10
R_2AGPEAT120,1.4301804185379297e-10
R_EX_ttdcea_e,-3.342393029015511e-11
R_EX_enlipa_e,-6.798472895752639e-11
R_2AGPEAT140,1.4301804185379297e-10
R_2AGPEAT141,1.4932766134734266e-10
R_2AGPEAT160,2.3206325749924872e-10
R_EX_ttrcyc_e,-6.798472895752639e-11
R_EX_enter_e,-9.367795428261161e-11
R_2AGPEAT161,2.4070345716609154e-10
R_EX_etha_e,5.729816621169448e-11
R_2AGPEAT180,1.6217427400988527e-10
R_2AGPEAT181,2.4067503545666113e-10
R_EX_tungs_e,-4.501998773775995e-11
R_EX_tym_e,-4.888534022029489e-11
R_2AGPG120tipp,3.157651917717885e-10
R_EX_ethso3_e,-4.524736141320318e-11
R_2AGPG140tipp,3.1582203519064933e-10
R_2AGPG141tipp,3.369677870068699e-10
R_2AGPG160tipp,1.8951595848193392e-10
R_2AGPG161tipp,1.9889512259396724e-10
R_EX_tyr__L_e,-7.66249286243692e-11
R_EX_tyrp_e,-5.002220859751105e-11
R_EX_uacgam_e,-4.615685611497611e-11
R_EX_udpacgal_e,-4.7066350816749036e-11
R_EX_udpg_e,-4.638422979041934e-11
R_2AGPG180tipp,3.643663148977794e-10
R_2AGPG181tipp,1.9889512259396724e-10
R_2AGPGAT120,1.6333956409653183e-10
R_EX_udpgal_e,-4.6838977141305804e-11
R_EX_etoh_e,2.780780050670728e-10
R_EX_udpglcur_e,-4.638422979041934e-11
R_2AGPGAT140,1.6333956409653183e-10
R_2AGPGAT141,1.6856915863172617e-10
R_2AGPGAT160,2.353317540837452e-10
R_2AGPGAT161,2.440572188788792e-10
R_EX_ump_e,-1.2573764252010733e-10
R_2AGPGAT180,1.8059154172078706e-10
R_EX_f6p_e,-5.184119800105691e-11
R_2AGPGAT181,2.440287971694488e-10
R_EX_ura_e,-6.252776074688882e-11
R_2DGULRGx,-3.4788172342814505e-11
R_EX_urea_e,1.7189449863508344e-10
R_2DGULRGy,-3.4788172342814505e-11
R_EX_fald_e,-9.777068044058979e-11
R_2DGULRx,-3.4788172342814505e-11
R_2DGULRy,-3.4788172342814505e-11
R_EX_uri_e,-7.526068657170981e-11
R_2MAHMP,2.070237314910628e-10
R_34dhpactex,6.912159733474255e-11
R_EX_fe2_e,-2.8656442299798073
R_3AMACHYD,3.2525804272154346e-10
R_3AMPtex,3.637978807091713e-11
R_3CMPtex,3.637978807091713e-11
R_3GMPtex,2.9103830456733704e-11
R_EX_fe3_e,2.856483299994352
R_3HAD100,1.4297256711870432e-09
R_EX_fe3dcit_e,-2.5011104298755527e-11
R_3HAD120,1.8935679690912366e-09
R_5DOAN,0.00013629024533656775
R_EX_fe3dhbzs_e,-2.3646862246096134e-11
R_5MTRtex,-0.003978959761298029
R_5MTRtpp,0.003978959761525402
R_3HAD121,9.786162991076708e-10
R_3HAD140,7.803464541211724e-10
R_A5PISO,0.014427268425151851
R_EX_fe3hox_e,-7.503331289626658e-11
R_AACPS1,0.004809092012919791
R_AACPS2,3.3692231227178127e-09
R_3HAD141,9.822542779147625e-10
R_EX_fe3hox_un_e,-7.503331289626658e-11
R_AACPS3,0.0715681800791117
R_AACPS4,0.05566531974386635
R_AACPS5,0.02868933869240209
