,Reaction_ID,forward,reverse
R_EX_cm_e,R_EX_cm_e,1448.6700198969552,1448.670019897023
R_EX_cmp_e,R_EX_cmp_e,1448.6700198969647,1448.6700198970148
R_EX_co2_e,R_EX_co2_e,1455.0988641972458,1442.26957919188
R_EX_cobalt2_e,R_EX_cobalt2_e,1448.6700128169896,1448.6700269769894
R_DM_4crsol_c,R_DM_4crsol_c,1448.670085682032,1448.6699541119503
R_DM_5drib_c,R_DM_5drib_c,1448.670088042114,1448.6699517518684
R_DM_aacald_c,R_DM_aacald_c,1448.6700198969431,1448.6700198970361
R_DM_amob_c,R_DM_amob_c,1448.670020487049,1448.6700193069305
R_DM_mththf_c,R_DM_mththf_c,1448.670415196853,1448.669624597234
R_EX_colipa_e,R_EX_colipa_e,1448.6700198969397,1448.6700198970382
R_DM_oxam_c,R_DM_oxam_c,1448.670019897056,1448.6700198969231
R_EX_glc__D_e,R_EX_glc__D_e,1448.670019896952,1448.6700198970275
R_EX_glcn_e,R_EX_glcn_e,1445.0326478128238,1452.316547812824
R_BIOMASS_Ec_iJO1366_WT_53p95M,R_BIOMASS_Ec_iJO1366_WT_53p95M,1448.9650499331601,1448.37504993316
R_EX_glcr_e,R_EX_glcr_e,1448.670019896959,1448.6700198970202
R_EX_colipap_e,R_EX_colipap_e,1448.6700198969422,1448.670019897037
R_EX_glcur_e,R_EX_glcur_e,1448.6700198969504,1448.6700198970282
R_EX_glcur1p_e,R_EX_glcur1p_e,1448.6700198969597,1448.6700198970195
R_BIOMASS_Ec_iJO1366_core_53p95M,R_BIOMASS_Ec_iJO1366_core_53p95M,1448.6700198969404,1448.670019897038
R_EX_12ppd__R_e,R_EX_12ppd__R_e,1448.670019897353,1448.670019896626
R_EX_gln__L_e,R_EX_gln__L_e,1448.6700198969695,1448.67001989701
R_EX_cpgn_e,R_EX_cpgn_e,1448.6700198969525,1448.6700198970275
R_EX_glu__L_e,R_EX_glu__L_e,1448.6700198969734,1448.6700198970061
R_EX_gly_e,R_EX_gly_e,1448.6700198970316,1448.6700198969481
R_EX_glyald_e,R_EX_glyald_e,1448.6700198970502,1448.6700198969288
R_EX_glyb_e,R_EX_glyb_e,1448.6700198969543,1448.6700198970248
R_EX_glyc_e,R_EX_glyc_e,1448.6700198970882,1448.6700198968917
R_EX_12ppd__S_e,R_EX_12ppd__S_e,1448.6700198970711,1448.6700198969081
R_EX_14glucan_e,R_EX_14glucan_e,1448.6700198969802,1448.6700198969988
R_EX_cpgn_un_e,R_EX_cpgn_un_e,1448.6700198969525,1448.6700198970275
R_EX_15dap_e,R_EX_15dap_e,1448.6700198970073,1448.670019896972
R_EX_glyc__R_e,R_EX_glyc__R_e,1448.6700198970566,1448.6700198969227
R_EX_glyc2p_e,R_EX_glyc2p_e,1448.6700198969718,1448.6700198970077
R_EX_23camp_e,R_EX_23camp_e,1448.6700198969681,1448.6700198970102
R_EX_23ccmp_e,R_EX_23ccmp_e,1448.6700198969684,1448.6700198970104
R_EX_23cgmp_e,R_EX_23cgmp_e,1448.670019896969,1448.6700198970104
R_EX_23cump_e,R_EX_23cump_e,1448.6700198969681,1448.6700198970104
R_EX_23dappa_e,R_EX_23dappa_e,1448.6700198969668,1448.6700198970123
R_EX_26dap__M_e,R_EX_26dap__M_e,1448.6700198969643,1448.6700198970152
R_EX_glyc3p_e,R_EX_glyc3p_e,1448.6700198969857,1448.6700198969936
R_EX_glyclt_e,R_EX_glyclt_e,1448.6700198973276,1448.6700198966514
R_EX_gmp_e,R_EX_gmp_e,1448.6700198969663,1448.6700198970127
R_EX_gsn_e,R_EX_gsn_e,1448.6700198969472,1448.6700198970325
R_EX_gthox_e,R_EX_gthox_e,1448.6700198969493,1448.6700198970295
R_EX_gthrd_e,R_EX_gthrd_e,1448.670019896947,1448.6700198970311
R_EX_gtp_e,R_EX_gtp_e,1448.6700198969663,1448.670019897013
R_EX_gua_e,R_EX_gua_e,1448.6700198969465,1448.6700198970323
R_EX_h_e,R_EX_h_e,1448.6700198966982,1448.6700198972817
R_EX_h2_e,R_EX_h2_e,1448.6700198969593,1448.6700198970193
R_EX_h2o_e,R_EX_h2o_e,1463.4810097144898,1434.00892298409
R_EX_h2o2_e,R_EX_h2o2_e,1448.6700198969343,1448.6700198970452
R_EX_h2s_e,R_EX_h2s_e,1448.6700198970063,1448.6700198969734
R_EX_hacolipa_e,R_EX_hacolipa_e,1448.6700198969545,1448.670019897024
R_EX_halipa_e,R_EX_halipa_e,1448.6700198969556,1448.6700198970232
R_EX_hdca_e,R_EX_hdca_e,1448.6700198969857,1448.6700198969943
R_EX_hdcea_e,R_EX_hdcea_e,1448.6700198969731,1448.6700198970066
R_EX_hg2_e,R_EX_hg2_e,1448.670019896944,1448.670019897035
R_EX_his__L_e,R_EX_his__L_e,1448.6700198969497,1448.6700198970293
R_EX_2ddglcn_e,R_EX_2ddglcn_e,1448.6700198969427,1448.670019897037
R_EX_34dhpac_e,R_EX_34dhpac_e,1448.6700198969475,1448.6700198970318
R_EX_3amp_e,R_EX_3amp_e,1448.6700198969554,1448.6700198970238
R_EX_3cmp_e,R_EX_3cmp_e,1448.6700198969552,1448.6700198970236
R_EX_3gmp_e,R_EX_3gmp_e,1448.670019896957,1448.6700198970225
R_EX_3hcinnm_e,R_EX_3hcinnm_e,1448.6700198969572,1448.6700198970213
R_EX_3hpp_e,R_EX_3hpp_e,1448.670019897152,1448.6700198968267
R_EX_3hpppn_e,R_EX_3hpppn_e,1448.6700198969575,1448.6700198970223
R_EX_hom__L_e,R_EX_hom__L_e,1448.6700198970093,1448.67001989697
R_EX_hxa_e,R_EX_hxa_e,1448.6700198969756,1448.6700198970038
R_EX_hxan_e,R_EX_hxan_e,1448.6700198969472,1448.6700198970307
R_EX_idon__L_e,R_EX_idon__L_e,1448.670019897016,1448.6700198969634
R_EX_3ump_e,R_EX_3ump_e,1448.6700198969556,1448.670019897024
R_EX_4abut_e,R_EX_4abut_e,1448.6700198969784,1448.6700198970007
R_EX_4hoxpacd_e,R_EX_4hoxpacd_e,1448.6700198969475,1448.6700198970318
R_EX_5dglcn_e,R_EX_5dglcn_e,1448.6700198970047,1448.670019896975
R_EX_5mtr_e,R_EX_5mtr_e,1448.6720093782365,1448.668030418475
R_EX_LalaDglu_e,R_EX_LalaDglu_e,1448.6700198969638,1448.6700198970138
R_EX_ile__L_e,R_EX_ile__L_e,1448.6700198969595,1448.670019897019
R_EX_imp_e,R_EX_imp_e,1448.6700198969645,1448.6700198970145
R_EX_indole_e,R_EX_indole_e,1448.6700198969488,1448.670019897031
R_EX_inost_e,R_EX_inost_e,1448.670019896941,1448.6700198970389
R_EX_ins_e,R_EX_ins_e,1448.6700198969465,1448.670019897033
R_EX_isetac_e,R_EX_isetac_e,1448.6700198969668,1448.6700198970123
R_EX_k_e,R_EX_k_e,1448.6152423826697,1448.7247994826507
R_EX_LalaDgluMdap_e,R_EX_LalaDgluMdap_e,1448.6700198969472,1448.670019897032
R_EX_LalaDgluMdapDala_e,R_EX_LalaDgluMdapDala_e,1448.670019896946,1448.6700198970334
R_EX_LalaLglu_e,R_EX_LalaLglu_e,1448.6700198969643,1448.6700198970143
