,0
R_EX_cm_e,-6.775735528208315e-11
R_EX_cmp_e,-5.002220859751105e-11
R_EX_co2_e,1.4127838932381565
R_EX_cobalt2_e,-1.1760000006688642e-05
R_DM_4crsol_c,0.00010927008179351105
R_DM_5drib_c,0.00011319024974909553
R_DM_aacald_c,-9.299583325628191e-11
R_DM_amob_c,9.801165106182452e-07
R_DM_mththf_c,0.0006565996231984172
R_EX_colipa_e,-9.799805411603302e-11
R_DM_oxam_c,1.7189449863508344e-10
R_EX_glc__D_e,-7.457856554538012e-11
R_EX_glcn_e,-8.890310709830374e-11
R_BIOMASS_Ec_iJO1366_WT_53p95M,0.4900000000000091
R_EX_glcr_e,-6.116351869422942e-11
R_EX_colipap_e,-9.43600753089413e-11
R_EX_glcur_e,-7.753442332614213e-11
R_EX_glcur1p_e,-5.979927664157003e-11
R_BIOMASS_Ec_iJO1366_core_53p95M,-9.686118573881686e-11
R_EX_12ppd__R_e,7.973994797794148e-10
R_EX_gln__L_e,-4.001776687800884e-11
R_EX_cpgn_e,-7.503331289626658e-11
R_EX_glu__L_e,-2.1373125491663814e-11
R_EX_gly_e,1.1596057447604835e-10
R_EX_glyald_e,1.3028511602897197e-10
R_EX_glyb_e,-7.048583938740194e-11
R_EX_glyc_e,-10.139999999999873
R_EX_12ppd__S_e,1.787157088983804e-10
R_EX_14glucan_e,-1.864464138634503e-11
R_EX_cpgn_un_e,-7.503331289626658e-11
R_EX_15dap_e,5.3887561080046e-11
R_EX_glyc__R_e,1.6393641999457031e-10
R_EX_glyc2p_e,-3.5697667044587433e-11
R_EX_23camp_e,-4.229150363244116e-11
R_EX_23ccmp_e,-4.229150363244116e-11
R_EX_23cgmp_e,-4.1382008930668235e-11
R_EX_23cump_e,-4.206412995699793e-11
R_EX_23dappa_e,-4.547473508864641e-11
R_EX_26dap__M_e,-5.070432962384075e-11
R_EX_glyc3p_e,6.59383658785373e-12
R_EX_glyclt_e,7.942162483232096e-10
R_EX_gmp_e,-4.865796654485166e-11
R_EX_gsn_e,-8.549250196665525e-11
R_EX_gthox_e,-8.026290743146092e-11
R_EX_gthrd_e,-8.162714948412031e-11
R_EX_gtp_e,-4.6838977141305804e-11
R_EX_gua_e,-8.253664418589324e-11
R_EX_h_e,11.487185427300346
R_EX_h2_e,-6.002665031701326e-11
R_EX_h2o_e,24.188604971124278
R_EX_h2o2_e,-1.1118572729174048e-10
R_EX_h2s_e,5.525180313270539e-11
R_EX_hacolipa_e,-6.957634468562901e-11
R_EX_halipa_e,-6.775735528208315e-11
R_EX_hdca_e,-8.412825991399586e-12
R_EX_hdcea_e,-3.342393029015511e-11
R_EX_hg2_e,-9.094947017729282e-11
R_EX_his__L_e,-7.548806024715304e-11
R_EX_2ddglcn_e,-9.458744898438454e-11
R_EX_34dhpac_e,-8.458300726488233e-11
R_EX_3amp_e,-6.843947630841285e-11
R_EX_3cmp_e,-6.843947630841285e-11
R_EX_3gmp_e,-6.548361852765083e-11
R_EX_3hcinnm_e,-6.343725544866174e-11
R_EX_3hpp_e,4.2746250983327627e-10
R_EX_3hpppn_e,-6.389200279954821e-11
R_EX_hom__L_e,6.366462912410498e-11
R_EX_hxa_e,-1.6143530956469476e-11
R_EX_hxan_e,-8.003553375601768e-11
R_EX_idon__L_e,-8.890310709830374e-11
R_EX_3ump_e,-6.843947630841285e-11
R_EX_4abut_e,-9.549694368615746e-12
R_EX_4hoxpacd_e,-8.458300726488233e-11
R_EX_5dglcn_e,-8.890310709830374e-11
R_EX_5mtr_e,0.003304559763364523
R_EX_LalaDglu_e,-5.002220859751105e-11
R_EX_ile__L_e,-5.184119800105691e-11
R_EX_imp_e,-5.002220859751105e-11
R_EX_indole_e,-7.935341272968799e-11
R_EX_inost_e,-9.777068044058979e-11
R_EX_ins_e,-8.412825991399586e-11
R_EX_isetac_e,-4.547473508864641e-11
R_EX_k_e,-0.09098809998113211
R_EX_LalaDgluMdap_e,-8.230927051045e-11
R_EX_LalaDgluMdapDala_e,-8.571987564209849e-11
R_EX_LalaLglu_e,-5.0249582272954285e-11
R_EX_kdo2lipid4_e,-8.776623872108757e-11
R_EX_ac_e,1.8293193622300805
R_EX_crn_e,-7.16227077646181e-11
R_EX_acac_e,-6.048139766789973e-11
R_EX_acald_e,1.807620719773695e-10
R_EX_lac__D_e,2.7057467377744615e-10
R_EX_lac__L_e,2.2669155441690236e-10
R_EX_crn__D_e,-6.707523425575346e-11
R_EX_lcts_e,-4.320099833421409e-11
R_EX_acgal_e,-9.049472282640636e-11
R_EX_acgal1p_e,-6.252776074688882e-11
R_EX_acgam_e,-7.185008144006133e-11
R_EX_leu__L_e,-3.069544618483633e-11
R_EX_csn_e,-5.002220859751105e-11
R_EX_acgam1p_e,-5.843503458891064e-11
R_EX_acmana_e,-5.002220859751105e-11
R_EX_acmum_e,-2.751221472863108e-11
R_EX_lipa_e,-3.7061909097246826e-11
R_EX_cu_e,-7.79891706770286e-11
R_EX_lipa_cold_e,-8.571987564209849e-11
R_EX_acnam_e,-4.4792614062316716e-11
R_EX_acolipa_e,-6.912159733474255e-11
R_EX_cu2_e,-0.0003302600475763029
R_EX_acser_e,6.548361852765083e-11
R_EX_ade_e,-8.185452315956354e-11
R_EX_adn_e,-8.526512829121202e-11
R_EX_adocbl_e,-2.5011104298755527e-11
R_EX_ag_e,-8.003553375601768e-11
R_EX_lipoate_e,-4.4792614062316716e-11
R_EX_lys__L_e,-5.638867150992155e-11
R_EX_lyx__L_e,-4.729372449219227e-11
R_EX_mal__D_e,-4.547473508864641e-11
R_EX_agm_e,-6.548361852765083e-11
R_EX_akg_e,-6.821210263296962e-12
R_EX_cyan_e,-5.411493475548923e-11
R_EX_ala_B_e,-5.002220859751105e-11
R_EX_ala__D_e,6.843947630841285e-11
R_EX_ala__L_e,6.821210263296962e-11
R_EX_alaala_e,-3.5697667044587433e-11
R_EX_all__D_e,-4.547473508864641e-11
R_EX_alltn_e,-6.912159733474255e-11
R_EX_amp_e,-5.002220859751105e-11
R_EX_anhgm_e,-8.321876521222293e-11
R_EX_arab__L_e,-6.662048690486699e-11
R_EX_mal__L_e,5.547917680814862e-11
R_EX_malt_e,-1.8417267710901797e-11
R_EX_malthx_e,-3.660716174636036e-11
R_EX_maltpt_e,-2.97859514830634e-11
R_EX_malttr_e,-2.660272002685815e-11
R_EX_maltttr_e,-2.97859514830634e-11
R_EX_man_e,-5.002220859751105e-11
R_EX_cynt_e,-4.547473508864641e-11
R_EX_man6p_e,-5.002220859751105e-11
R_EX_manglyc_e,-4.547473508864641e-11
R_EX_melib_e,-6.002665031701326e-11
R_EX_cys__D_e,-4.547473508864641e-11
R_EX_meoh_e,9.80115828497219e-07
R_EX_met__D_e,-5.729816621169448e-11
R_EX_arbt_e,-2.887645678129047e-11
R_EX_arbtn_e,-7.503331289626658e-11
R_EX_arbtn_fe3_e,-7.503331289626658e-11
R_EX_met__L_e,-5.093170329928398e-11
R_EX_cys__L_e,-5.866240826435387e-11
R_EX_metsox_R__L_e,-5.002220859751105e-11
R_EX_metsox_S__L_e,-5.002220859751105e-11
R_EX_mg2_e,-0.0040439699992020905
R_EX_mincyc_e,-6.775735528208315e-11
R_EX_minohp_e,-2.4556356947869062e-11
R_EX_mmet_e,-4.547473508864641e-11
R_EX_arg__L_e,-7.116796041373163e-11
R_EX_ascb__L_e,-4.843059286940843e-11
R_EX_asn__L_e,-3.4788172342814505e-11
R_EX_aso3_e,-9.458744898438454e-11
R_EX_asp__L_e,7.048583938740194e-12
R_EX_btn_e,-5.002220859751105e-11
R_EX_but_e,-8.117240213323385e-11
R_EX_mn2_e,-0.0003224199999749544
R_EX_mnl_e,-5.002220859751105e-11
R_EX_mobd_e,-6.712999993396807e-05
R_EX_mso3_e,-4.524736141320318e-11
R_EX_n2o_e,-7.889866537880152e-11
R_EX_na1_e,-7.503331289626658e-11
R_EX_nac_e,-5.002220859751105e-11
R_EX_nh4_e,-5.148076704829009
R_EX_butso3_e,-4.433786671143025e-11
R_EX_ca2_e,-0.0024264799994853092
R_EX_cbi_e,-2.3874235921539366e-11
R_EX_cytd_e,-7.753442332614213e-11
R_EX_cbl1_e,-0.00010927016865025507
R_EX_cd2_e,-7.503331289626658e-11
R_EX_cgly_e,-7.253220246639103e-11
R_EX_ni2_e,-0.00015043000007608498
R_EX_nmn_e,-4.001776687800884e-11
R_EX_no_e,-4.18367562815547e-11
R_EX_no2_e,-8.185452315956354e-11
R_EX_no3_e,-2.3419488570652902e-11
R_EX_novbcn_e,-6.662048690486699e-11
R_EX_o16a4colipa_e,-9.663381206337363e-11
R_EX_o2_e,-8.140933323683385
R_EX_o2s_e,-8.890310709830374e-11
R_EX_ocdca_e,-3.342393029015511e-11
R_EX_ocdcea_e,-3.342393029015511e-11
R_EX_octa_e,-5.093170329928398e-11
R_EX_orn_e,-5.2523319027386606e-11
R_EX_orot_e,-5.002220859751105e-11
R_EX_pacald_e,-7.526068657170981e-11
R_EX_peamn_e,-4.661160346586257e-11
R_EX_phe__L_e,-7.435119186993688e-11
R_EX_pheme_e,-8.230927051045e-11
R_EX_chol_e,-6.389200279954821e-11
R_EX_chtbs_e,-4.615685611497611e-11
R_EX_cit_e,-5.6843418860808015e-12
R_EX_cl_e,-0.0024264799994853092
R_EX_pi_e,-0.45430153951656393
R_EX_dad_2_e,-6.843947630841285e-11
R_EX_pnto__R_e,-5.206857167650014e-11
R_EX_ppa_e,-5.002220859751105e-11
R_EX_damp_e,-4.229150363244116e-11
R_EX_ppal_e,-6.116351869422942e-11
R_EX_dca_e,-5.002220859751105e-11
R_EX_pppn_e,-5.843503458891064e-11
R_EX_ppt_e,-4.001776687800884e-11
R_EX_dcmp_e,-4.229150363244116e-11
R_EX_pro__L_e,-4.320099833421409e-11
R_EX_dcyt_e,-6.843947630841285e-11
R_EX_progly_e,-4.547473508864641e-11
R_EX_psclys_e,-5.002220859751105e-11
R_EX_ddca_e,-3.319655661471188e-11
R_EX_pser__L_e,-5.002220859751105e-11
R_EX_ptrc_e,-5.093170329928398e-11
R_EX_dgmp_e,-4.206412995699793e-11
R_EX_dgsn_e,-6.843947630841285e-11
R_EX_val__L_e,-9.777068044058979e-12
R_EX_xan_e,-7.912603905424476e-11
R_EX_dha_e,1.191438059322536e-10
R_EX_xmp_e,-5.002220859751105e-11
R_EX_dimp_e,-4.229150363244116e-11
R_EX_din_e,-6.843947630841285e-11
R_EX_xtsn_e,-8.344613888766617e-11
R_EX_pydam_e,-5.002220859751105e-11
R_EX_xyl__D_e,-3.865352482534945e-11
R_EX_xylu__L_e,-5.525180313270539e-11
R_EX_zn2_e,-0.00015875999997660983
R_12DGR120tipp,4.0608938434161246e-10
R_12DGR140tipp,4.0608938434161246e-10
R_12DGR141tipp,3.9312908484134823e-10
R_12DGR160tipp,3.710738383233547e-10
R_12DGR161tipp,3.574314177967608e-10
R_12DGR180tipp,3.792592906393111e-10
R_EX_pydx_e,-5.0249582272954285e-11
R_EX_pydxn_e,-5.002220859751105e-11
R_EX_pyr_e,1.5484147297684103e-10
R_EX_quin_e,-3.9108272176235914e-11
R_EX_r5p_e,-4.229150363244116e-11
R_EX_rfamp_e,-6.662048690486699e-11
R_EX_rib__D_e,-6.843947630841285e-11
R_EX_rmn_e,-4.661160346586257e-11
R_EX_sbt__D_e,-5.002220859751105e-11
R_EX_sel_e,-4.638422979041934e-11
R_EX_ser__D_e,-4.979483492206782e-11
R_EX_ser__L_e,4.5702108764089644e-11
R_EX_skm_e,-5.002220859751105e-11
R_12DGR181tipp,3.574314177967608e-10
R_12PPDRtex,-7.967173587530851e-10
R_12PPDRtpp,-7.973994797794148e-10
R_EX_dms_e,-9.777068044058979e-11
R_12PPDStex,-1.7826096154749393e-10
R_12PPDStpp,-1.787157088983804e-10
R_14GLUCANabcpp,-5.7980287238024175e-11
R_EX_slnt_e,-5.275069270282984e-11
R_EX_so2_e,-8.93578544491902e-11
R_EX_so3_e,-7.935341272968799e-11
R_EX_dmso_e,-4.433786671143025e-11
R_EX_so4_e,-0.12347167021357563
R_EX_spmd_e,-8.685674401931465e-11
R_EX_succ_e,5.161382432561368e-11
R_14GLUCANtexi,-6.366462912410498e-11
R_23CAMPtex,-1.8189894035458565e-11
R_23CCMPtex,-1.8189894035458565e-11
R_EX_sucr_e,-4.547473508864641e-11
R_EX_sulfac_e,-4.547473508864641e-11
R_23CGMPtex,-1.8189894035458565e-11
R_EX_tartr__D_e,-5.0249582272954285e-11
R_23CUMPtex,-1.8189894035458565e-11
R_EX_dopa_e,-4.888534022029489e-11
R_23DAPPAt2pp,-6.366462912410498e-11
R_23DAPPAtex,-1.0913936421275139e-11
R_23PDE2pp,-7.369749255303759e-11
R_23PDE4pp,-7.369749255303759e-11
R_EX_tartr__L_e,-6.002665031701326e-11
R_EX_taur_e,-4.4792614062316716e-11
R_EX_tcynt_e,-7.935341272968799e-11
R_23PDE7pp,-7.369749255303759e-11
R_23PDE9pp,-7.597122930746991e-11
R_EX_doxrbcn_e,-6.775735528208315e-11
R_26DAHtex,-3.637978807091713e-12
R_2AGPA120tipp,3.303739504190162e-10
R_EX_thm_e,-4.547473508864641e-11
R_EX_thr__L_e,-2.864908310584724e-11
R_EX_dtmp_e,-5.002220859751105e-11
R_EX_thrp_e,-4.979483492206782e-11
R_2AGPA140tipp,3.30430793837877e-10
R_2AGPA141tipp,3.5640823625726625e-10
R_EX_thym_e,-2.887645678129047e-11
R_EX_dump_e,-4.206412995699793e-11
R_EX_thymd_e,-7.685230229981244e-11
R_2AGPA160tipp,2.078479610645445e-10
R_2AGPA161tipp,2.0838797354372218e-10
R_EX_tma_e,-9.526957001071423e-11
R_EX_duri_e,-6.843947630841285e-11
R_EX_tmao_e,-3.7971403799019754e-11
R_EX_tre_e,-2.97859514830634e-11
R_EX_trp__L_e,-8.208189683500677e-11
R_2AGPA180tipp,3.8758685150241945e-10
R_2AGPA181tipp,2.085016603814438e-10
R_2AGPE120tipp,4.5281467464519665e-10
R_2AGPE140tipp,4.5284309635462705e-10
R_2AGPE141tipp,4.731930403067963e-10
R_2AGPE160tipp,2.589217729109805e-10
R_EX_tsul_e,-4.2518877307884395e-11
R_EX_eca4colipa_e,4.5702108764089644e-11
R_EX_ttdca_e,-3.342393029015511e-11
R_2AGPE161tipp,2.6761881599668413e-10
R_2AGPE180tipp,4.99198904435616e-10
R_2AGPE181tipp,2.6767565941554494e-10
R_2AGPEAT120,1.9264234651927836e-10
R_EX_ttdcea_e,-3.342393029015511e-11
R_EX_enlipa_e,-6.275513442233205e-11
R_2AGPEAT140,1.9269918993813917e-10
R_2AGPEAT141,1.999751475523226e-10
R_2AGPEAT160,2.8273916541365907e-10
R_EX_ttrcyc_e,-6.775735528208315e-11
R_EX_enter_e,-9.276845958083868e-11
R_2AGPEAT161,2.906972440541722e-10
R_EX_etha_e,7.79891706770286e-11
R_2AGPEAT180,2.1452706278068945e-10
R_2AGPEAT181,2.906972440541722e-10
R_EX_tungs_e,-4.501998773775995e-11
R_EX_tym_e,-4.9112713895738125e-11
R_2AGPG120tipp,4.1589487409510184e-10
R_EX_ethso3_e,-4.5702108764089644e-11
R_2AGPG140tipp,4.1592329580453224e-10
R_2AGPG141tipp,4.411901954881614e-10
R_2AGPG160tipp,2.5701751837914344e-10
R_2AGPG161tipp,2.6571456146484707e-10
R_EX_tyr__L_e,-7.321432349272072e-11
R_EX_tyrp_e,-5.002220859751105e-11
R_EX_uacgam_e,-4.5929482439532876e-11
R_EX_udpacgal_e,-4.7066350816749036e-11
R_EX_udpg_e,-4.615685611497611e-11
R_2AGPG180tipp,4.738183179142652e-10
R_2AGPG181tipp,2.6574298317427747e-10
R_2AGPGAT120,2.1674395611626096e-10
R_EX_udpgal_e,-4.661160346586257e-11
R_EX_etoh_e,3.2810021366458386e-10
R_EX_udpglcur_e,-4.638422979041934e-11
R_2AGPGAT140,2.1674395611626096e-10
R_2AGPGAT141,2.2316726244753227e-10
R_2AGPGAT160,2.871161086659413e-10
R_2AGPGAT161,2.95187874144176e-10
R_EX_ump_e,-1.2573764252010733e-10
R_2AGPGAT180,2.369802132307086e-10
R_EX_f6p_e,-5.206857167650014e-11
R_2AGPGAT181,2.95187874144176e-10
R_EX_ura_e,-5.5933924159035087e-11
R_2DGULRGx,-3.717559593496844e-11
R_EX_urea_e,2.4920154828578234e-10
R_2DGULRGy,-3.717559593496844e-11
R_EX_fald_e,-9.799805411603302e-11
R_2DGULRx,-3.717559593496844e-11
R_2DGULRy,-3.717559593496844e-11
R_EX_uri_e,-7.207745511550456e-11
R_2MAHMP,2.794422471197322e-10
R_34dhpactex,6.912159733474255e-11
R_EX_fe2_e,-0.007608232017446426
R_3AMACHYD,4.2740566641441546e-10
R_3AMPtex,3.637978807091713e-11
R_3CMPtex,3.637978807091713e-11
R_3GMPtex,3.2741809263825417e-11
R_EX_fe3_e,2.030219548032619e-09
R_3HAD100,1.849912223406136e-09
R_EX_fe3dcit_e,-2.5011104298755527e-11
R_3HAD120,2.3992470232769847e-09
R_5DOAN,0.0001131902499764692
R_EX_fe3dhbzs_e,-2.3646862246096134e-11
R_5MTRtex,-0.0033045597629097756
R_5MTRtpp,0.003304559763364523
R_3HAD121,1.2514647096395493e-09
R_3HAD140,1.0095391189679503e-09
R_A5PISO,0.01198196843961341
R_EX_fe3hox_e,-7.503331289626658e-11
R_AACPS1,0.003993992787400202
R_AACPS2,4.307139533921145e-09
R_3HAD141,1.255102688446641e-09
R_EX_fe3hox_un_e,-7.503331289626658e-11
R_AACPS3,0.059437980424945636
R_AACPS4,0.04623052009128514
R_AACPS5,0.023826738669185943
