,Reaction_ID,forward,reverse
R_EX_cm_e,R_EX_cm_e,1406.4551716337276,1406.4551716337953
R_EX_cmp_e,R_EX_cmp_e,1406.4551716337364,1406.4551716337864
R_EX_co2_e,R_EX_co2_e,1407.1617409730059,1405.7489570797677
R_EX_cobalt2_e,R_EX_cobalt2_e,1406.455165753762,1406.455177513762
R_DM_4crsol_c,R_DM_4crsol_c,1406.455226268804,1406.4551169987221
R_DM_5drib_c,R_DM_5drib_c,1406.4552282288876,1406.4551150386378
R_DM_aacald_c,R_DM_aacald_c,1406.455171633715,1406.455171633808
R_DM_amob_c,R_DM_amob_c,1406.4551721238197,1406.4551711437032
R_DM_mththf_c,R_DM_mththf_c,1406.4554999336115,1406.4548433339883
R_EX_colipa_e,R_EX_colipa_e,1406.4551716337126,1406.4551716338106
R_DM_oxam_c,R_DM_oxam_c,1406.4551716338478,1406.455171633676
R_EX_glc__D_e,R_EX_glc__D_e,1406.4551716337241,1406.4551716337987
R_EX_glcn_e,R_EX_glcn_e,1406.455171633717,1406.455171633806
R_BIOMASS_Ec_iJO1366_WT_53p95M,R_BIOMASS_Ec_iJO1366_WT_53p95M,1406.7001929728708,1406.2101929728708
R_EX_glcr_e,R_EX_glcr_e,1406.4551716337307,1406.455171633792
R_EX_colipap_e,R_EX_colipap_e,1406.4551716337146,1406.455171633809
R_EX_glcur_e,R_EX_glcur_e,1406.455171633723,1406.4551716338005
R_EX_glcur1p_e,R_EX_glcur1p_e,1406.4551716337314,1406.4551716337912
R_BIOMASS_Ec_iJO1366_core_53p95M,R_BIOMASS_Ec_iJO1366_core_53p95M,1406.455171633713,1406.4551716338099
R_EX_12ppd__R_e,R_EX_12ppd__R_e,1406.4551716341603,1406.4551716333629
R_EX_gln__L_e,R_EX_gln__L_e,1406.4551716337414,1406.4551716337814
R_EX_cpgn_e,R_EX_cpgn_e,1406.4551716337241,1406.4551716337992
R_EX_glu__L_e,R_EX_glu__L_e,1406.4551716337514,1406.4551716337728
R_EX_gly_e,R_EX_gly_e,1406.4551716338194,1406.4551716337035
R_EX_glyald_e,R_EX_glyald_e,1406.4551716338271,1406.4551716336969
R_EX_glyb_e,R_EX_glyb_e,1406.4551716337264,1406.455171633797
R_EX_glyc_e,R_EX_glyc_e,1401.3943097908154,1411.5343097908153
R_EX_12ppd__S_e,R_EX_12ppd__S_e,1406.4551716338508,1406.455171633672
R_EX_14glucan_e,R_EX_14glucan_e,1406.4551716337528,1406.4551716337714
R_EX_cpgn_un_e,R_EX_cpgn_un_e,1406.455171633724,1406.455171633799
R_EX_15dap_e,R_EX_15dap_e,1406.4551716337885,1406.4551716337346
R_EX_glyc__R_e,R_EX_glyc__R_e,1406.455171633844,1406.45517163368
R_EX_glyc2p_e,R_EX_glyc2p_e,1406.4551716337444,1406.45517163378
R_EX_23camp_e,R_EX_23camp_e,1406.4551716337403,1406.4551716337826
R_EX_23ccmp_e,R_EX_23ccmp_e,1406.4551716337403,1406.4551716337826
R_EX_23cgmp_e,R_EX_23cgmp_e,1406.4551716337414,1406.4551716337828
R_EX_23cump_e,R_EX_23cump_e,1406.4551716337407,1406.4551716337828
R_EX_23dappa_e,R_EX_23dappa_e,1406.4551716337387,1406.4551716337842
R_EX_26dap__M_e,R_EX_26dap__M_e,1406.4551716337364,1406.4551716337871
R_EX_glyc3p_e,R_EX_glyc3p_e,1406.4551716337648,1406.4551716337583
R_EX_glyclt_e,R_EX_glyclt_e,1406.4551716341584,1406.4551716333642
R_EX_gmp_e,R_EX_gmp_e,1406.455171633738,1406.4551716337867
R_EX_gsn_e,R_EX_gsn_e,1406.4551716337194,1406.4551716338049
R_EX_gthox_e,R_EX_gthox_e,1406.4551716337214,1406.4551716338017
R_EX_gthrd_e,R_EX_gthrd_e,1406.4551716337207,1406.4551716338024
R_EX_gtp_e,R_EX_gtp_e,1406.4551716337385,1406.4551716337853
R_EX_gua_e,R_EX_gua_e,1406.4551716337205,1406.455171633803
R_EX_h_e,R_EX_h_e,1412.2104919589235,1400.7233065316232
R_EX_h2_e,R_EX_h2_e,1406.4551716337314,1406.4551716337915
R_EX_h2o_e,R_EX_h2o_e,1418.6014734477174,1394.412868476593
R_EX_h2o2_e,R_EX_h2o2_e,1406.4551716337057,1406.455171633817
R_EX_h2s_e,R_EX_h2s_e,1406.4551716337894,1406.4551716337342
R_EX_hacolipa_e,R_EX_hacolipa_e,1406.4551716337266,1406.4551716337962
R_EX_halipa_e,R_EX_halipa_e,1406.4551716337278,1406.4551716337955
