,Lagrange_coef
10fthf_c,-0.455764758108725
12dgr120_c,-0.15861070797960186
12dgr140_c,-0.1800926524741133
12dgr141_c,-0.16965229192068157
12dgr160_c,-0.2137799557448717
12dgr161_c,-0.20736054124539208
12dgr180_c,-0.21658756679808897
12dgr181_c,-0.22870806812424455
12ppd__R_c,-0.005844850822557079
12ppd__S_c,-0.02024404597037783
13dpg_c,-0.035619304062573805
14dhncoa_c,-0.6230660017797642
14glucan_c,-7507.382873750014
15dap_c,-0.04958501708308218
1ddecg3p_c,-0.10463302122971138
1hdec9eg3p_c,-0.13145075380133542
1hdecg3p_c,-0.13466188026762352
1odec11eg3p_c,-0.1421285933863029
1odecg3p_c,-0.13387338156385595
1pyr5c_c,-0.047323589919434576
5dh4dglc_c,-2816.080605038303
2tdec7eg3p_c,-0.11208644769314678
5drib_c,-7.184414885837128e-08
2tdecg3p_c,-0.11738086182636401
1tdec7eg3p_c,-0.11031689306816356
1tdecg3p_c,-0.11537452703734608
2tpr3dpcoa_c,7888.375008728321
5fthf_c,-0.45567542175711323
23dappa_c,-4313.956728034886
5mta_c,-0.16803020479562036
34hpp_c,-0.11720373625758924
23ddhb_c,-0.11515332255420213
35cgmp_c,-0.24475275046158937
5mthf_c,-0.46347672430724
23dhacoa_c,-1079.5594131552696
5mtr_c,-0.0017937968089394311
3amac_c,-0.0363793833949572
23dhb_c,-0.11225050238226253
3c2hmp_c,-0.013331275729156438
5prdmbz_c,-10086.639937539288
23dhba_c,-0.35642870696017476
6hmhpt_c,-0.2511966538551004
3c3hmp_c,-0.013221112837415103
23dhbzs_c,-0.1542075821189134
3c4mop_c,-0.010438637345107917
6hmhptpp_c,-0.27969973247228497
23dhdp_c,-0.03902698640283721
3dhguln_c,-7740.326622433877
23dhmb_c,-0.006423554327978929
3dhgulnp_c,-3232.2264648341356
6pgc_c,-0.0619189602906291
23dhmp_c,-0.0629253237180526
6pgl_c,-0.06253345238127113
3dhq_c,-0.06690160239872689
3dhsk_c,-0.06865949953547022
23doguln_c,-13543.204377376076
8aonn_c,-0.18239099547506946
25aics_c,-0.21341936628872482
ACP_c,134.52433954737174
3fe4s_c,-0.43922583252973735
25dkglcn_c,-14529.42030427061
3haACP_c,134.50526094011408
LalaDglu_c,-0.05254861320164515
25drapp_c,-0.257022080528964
LalaDgluMdap_c,-0.13448392592589895
3hadpcoa_c,-1079.557694590491
26dap_LL_c,-0.06411331429775387
3hbcoa_c,-0.4849294233107653
LalaDgluMdapDala_c,-0.1707595989851791
LalaLglu_c,-0.05254861320178119
26dap__M_c,-0.06414818670360196
N1aspmd_c,7178.982232032227
3hcddec5eACP_c,134.446600034453
3hcinnm_c,-9618.458344894598
2agpe120_c,-0.13485232111834156
3hcmrs7eACP_c,134.44195571751132
Nmtrp_c,-9787.34958612543
Sfglutth_c,-3214.1883585124347
2agpe140_c,-0.1455935321023537
aacald_c,-3180.068384254878
3hcpalm9eACP_c,134.43364077770943
2agpe141_c,-0.14045437247864204
3hcvac11eACP_c,134.42148517708526
3hdcoa_c,-0.517208954906151
aacoa_c,-0.4820151254502037
2agpe160_c,-0.19358964163766085
aact_c,-0.023080127950203567
ac_c,0.00634699728354958
3hddcoa_c,-0.5279687979243934
