,0
R_EX_cm_e,-6.752998160663992e-11
R_EX_cmp_e,-5.002220859751105e-11
R_EX_co2_e,18.09048198700839
R_EX_cobalt2_e,-9.35999992179859e-06
R_DM_4crsol_c,8.697008183844446e-05
R_DM_5drib_c,9.009030168272147e-05
R_DM_aacald_c,-9.299583325628191e-11
R_DM_amob_c,7.801165793352993e-07
R_DM_mththf_c,0.0005225996726494486
R_EX_colipa_e,-9.481482265982777e-11
R_DM_oxam_c,3.9904080040287226e-10
R_EX_glc__D_e,-7.435119186993688e-11
R_EX_glcn_e,-8.913048077374697e-11
R_BIOMASS_Ec_iJO1366_WT_53p95M,0.39000000000010004
R_EX_glcr_e,-6.343725544866174e-11
R_EX_colipap_e,-8.526512829121202e-11
R_EX_glcur_e,-7.753442332614213e-11
R_EX_glcur1p_e,-6.002665031701326e-11
R_BIOMASS_Ec_iJO1366_core_53p95M,-9.231371222995222e-11
R_EX_12ppd__R_e,1.445187081117183e-09
R_EX_gln__L_e,-4.0472514228895307e-11
R_EX_cpgn_e,-7.503331289626658e-11
R_EX_glu__L_e,3.049080987693742e-10
R_EX_gly_e,5.954916559858248e-10
R_EX_glyald_e,1.7553247744217515e-10
R_EX_glyb_e,-7.02584657119587e-11
R_EX_glyc_e,1.532498572487384e-10
R_EX_12ppd__S_e,3.5015546018257737e-10
R_EX_14glucan_e,-1.887201506178826e-11
R_EX_cpgn_un_e,-7.503331289626658e-11
R_EX_15dap_e,2.5579538487363607e-10
R_EX_glyc__R_e,5.857145879417658e-10
R_EX_glyc2p_e,-3.5697667044587433e-11
R_EX_23camp_e,-4.206412995699793e-11
R_EX_23ccmp_e,-4.206412995699793e-11
R_EX_23cgmp_e,-4.1382008930668235e-11
R_EX_23cump_e,-4.229150363244116e-11
R_EX_23dappa_e,-4.547473508864641e-11
R_EX_26dap__M_e,-5.070432962384075e-11
R_EX_glyc3p_e,1.070930011337623e-10
R_EX_glyclt_e,6.926256901351735e-09
