,Reaction_ID,forward,reverse
R_EX_cm_e,R_EX_cm_e,1549.8269641308075,1549.826964130875
R_EX_cmp_e,R_EX_cmp_e,1549.8269641308166,1549.8269641308666
R_EX_co2_e,R_EX_co2_e,1558.8986002283873,1540.808118241379
R_EX_cobalt2_e,R_EX_cobalt2_e,1549.826959450841,1549.826968810841
R_DM_4crsol_c,R_DM_4crsol_c,1549.8270076158828,1549.826920645801
R_DM_5drib_c,R_DM_5drib_c,1549.827009175993,1549.8269190856913
R_DM_aacald_c,R_DM_aacald_c,1549.8269641307952,1549.8269641308882
R_DM_amob_c,R_DM_amob_c,1549.8269645208998,1549.8269637407832
R_DM_mththf_c,R_DM_mththf_c,1549.8272254306999,1549.8267028310272
R_EX_colipa_e,R_EX_colipa_e,1549.8269641307945,1549.8269641308893
R_DM_oxam_c,R_DM_oxam_c,1549.8269641310405,1549.8269641306415
R_EX_glc__D_e,R_EX_glc__D_e,1549.8269641308043,1549.8269641308787
R_EX_glcn_e,R_EX_glcn_e,1549.826964130797,1549.8269641308862
R_BIOMASS_Ec_iJO1366_WT_53p95M,R_BIOMASS_Ec_iJO1366_WT_53p95M,1550.0219763983398,1549.6319763983397
R_EX_glcr_e,R_EX_glcr_e,1549.8269641308102,1549.8269641308736
R_EX_colipap_e,R_EX_colipap_e,1549.8269641307988,1549.826964130884
R_EX_glcur_e,R_EX_glcur_e,1549.826964130803,1549.8269641308805
R_EX_glcur1p_e,R_EX_glcur1p_e,1549.8269641308113,1549.8269641308714
R_BIOMASS_Ec_iJO1366_core_53p95M,R_BIOMASS_Ec_iJO1366_core_53p95M,1549.8269641307954,1549.8269641308877
R_EX_12ppd__R_e,R_EX_12ppd__R_e,1549.826964131564,1549.8269641301188
R_EX_gln__L_e,R_EX_gln__L_e,1549.8269641308214,1549.8269641308618
R_EX_cpgn_e,R_EX_cpgn_e,1549.8269641308043,1549.8269641308793
R_EX_glu__L_e,R_EX_glu__L_e,1549.8269641309937,1549.8269641306888
R_EX_gly_e,R_EX_gly_e,1549.8269641311394,1549.826964130544
R_EX_glyald_e,R_EX_glyald_e,1549.8269641309287,1549.8269641307531
R_EX_glyb_e,R_EX_glyb_e,1549.8269641308066,1549.8269641308768
R_EX_glyc_e,R_EX_glyc_e,1549.826964130918,1549.8269641307647
R_EX_12ppd__S_e,R_EX_12ppd__S_e,1549.8269641310162,1549.826964130666
R_EX_14glucan_e,R_EX_14glucan_e,1549.8269641308327,1549.8269641308516
R_EX_cpgn_un_e,R_EX_cpgn_un_e,1549.8269641308043,1549.8269641308793
R_EX_15dap_e,R_EX_15dap_e,1549.8269641309691,1549.8269641307133
R_EX_glyc__R_e,R_EX_glyc__R_e,1549.8269641311342,1549.8269641305485
R_EX_glyc2p_e,R_EX_glyc2p_e,1549.8269641308234,1549.826964130859
R_EX_23camp_e,R_EX_23camp_e,1549.8269641308204,1549.8269641308625
