,Lagrange_coef
10fthf_c,-1.1858368688085326
12dgr120_c,-0.8034116915039159
12dgr140_c,-0.9264027682347439
12dgr141_c,-0.910850263991414
12dgr160_c,-1.0795601312523733
12dgr161_c,-1.0733481192063763
12dgr180_c,-1.1534018294726553
12dgr181_c,-1.1960068442460345
12ppd__R_c,-0.01983341653561015
12ppd__S_c,-0.06347795245322195
13dpg_c,-0.1149980139446116
14dhncoa_c,-1.7799494635456632
14glucan_c,-6365.5877738763475
15dap_c,-0.12048372493218887
1ddecg3p_c,-0.4730657831445189
1hdec9eg3p_c,-0.6136282709618787
1hdecg3p_c,-0.6167989577987952
1odec11eg3p_c,-0.6749613276253702
1odecg3p_c,-0.6487974181749845
1pyr5c_c,-0.1405830711713539
5dh4dglc_c,-2367.6794245755104
2tdec7eg3p_c,-0.5389659353903024
5drib_c,-3.739778741771314e-08
2tdecg3p_c,-0.5469327332731674
1tdec7eg3p_c,-0.5271850607953074
1tdecg3p_c,-0.5345622818364929
2tpr3dpcoa_c,6530.496155551596
5fthf_c,-1.1857368942630893
23dappa_c,-3600.4434885970227
5mta_c,-0.44545351121833904
34hpp_c,-0.34739407714671927
23ddhb_c,-0.2919600888528551
35cgmp_c,-0.6828989655880775
5mthf_c,-1.2047741083608856
23dhacoa_c,-899.1619168123599
5mtr_c,-0.004788231767151769
3amac_c,-0.09408154635618596
23dhb_c,-0.2890761747028326
3c2hmp_c,-0.12147038100613844
5prdmbz_c,-8567.787602247638
23dhba_c,-0.9757737250995602
6hmhpt_c,-0.6344156879031104
3c3hmp_c,-0.1213196497835804
23dhbzs_c,-0.4089369342818893
3c4mop_c,-0.11859880334272689
6hmhptpp_c,-0.7312115123841284
23dhdp_c,-0.15265361004797584
3dhguln_c,-6545.118506874164
23dhmb_c,-0.07922381830570178
3dhgulnp_c,-2737.2810511064436
6pgc_c,-0.18113256435571265
23dhmp_c,-0.16385675248190446
6pgl_c,-0.20319346868605215
3dhq_c,-0.20092939761262224
3dhsk_c,-0.21574845619192382
23doguln_c,-11397.700676672808
8aonn_c,-0.5497596821614473
25aics_c,-0.5905260457235325
ACP_c,110.7487396520641
3fe4s_c,-0.8804574316435344
25dkglcn_c,-12029.013356688925
3haACP_c,110.6441228147957
LalaDglu_c,-0.19699809906177682
25drapp_c,-0.6605429599309602
LalaDgluMdap_c,-0.43456755662936664
3hadpcoa_c,-899.147155851627
26dap_LL_c,-0.19046832313573578
3hbcoa_c,-1.4180828887552366
LalaDgluMdapDala_c,-0.5498816596191659
LalaLglu_c,-0.19699809906184157
26dap__M_c,-0.19050808396286403
N1aspmd_c,5934.244776256751
3hcddec5eACP_c,110.36229501182366
3hcinnm_c,-8138.803791687791
2agpe120_c,-0.5695455794549724
3hcmrs7eACP_c,110.31233344309145
Nmtrp_c,-8189.030558217881
Sfglutth_c,-2715.1527539187646
2agpe140_c,-0.6310418564000428
aacald_c,-2668.0247595056876
3hcpalm9eACP_c,110.25498929731893
2agpe141_c,-0.6236215508602622
3hcvac11eACP_c,110.19012406621115
3hdcoa_c,-1.6027365064248098
aacoa_c,-1.415177312651235
2agpe160_c,-0.7638579576921767
aact_c,-0.08731206075041961
ac_c,0.0004594329849259175
3hddcoa_c,-1.664287709245518
3hddecACP_c,110.37513054054587
3hdecACP_c,110.42710623301627
3hhcoa_c,-1.4796340948579767
2agpe161_c,-0.7600572429878238
3hhdcoa_c,-1.7873351170255543
3hhexACP_c,110.57132076153793
acACP_c,110.70820382290484
2agpe180_c,-0.7450637645888878
acac_c,-5406.694416828313
3hmrsACP_c,110.29806326708065
2agpe181_c,-0.8213630600021435
3hocoa_c,-1.5411853009605894
acald_c,-0.04341175023115202
2agpg120_c,-0.6092658020986863
acanth_c,5930.4816997693815
3hoctACP_c,110.49849531300556
2agpg140_c,-0.6707596206673458
3hoctaACP_c,110.18582082628429
accoa_c,-1.3745972604520982
2agpg141_c,-0.6623723413799649
3hodcoa_c,-1.848710208510816
2agpg160_c,-0.7838012525927135
3hpalmACP_c,110.24404611322129
acetol_c,-0.04173206665056634
acg5p_c,-0.16850043431223036
2agpg161_c,-0.7799819158674753
acg5sa_c,-0.16630564348144306
3hpp_c,-0.04090953642077833
3hpppn_c,-7709.4312435436395
2agpg180_c,-0.7829196359733757
acgam_c,-0.24486045157042227
acgam1p_c,-0.2957730538011208
3htdcoa_c,-1.7258302366981166
2agpg181_c,-0.841289171125415
3ig3p_c,-0.6010829517317916
acgam6p_c,-0.27894141192365784
2ahbut_c,-0.16098902492044506
acglc__D_c,-0.20505299054647977
3mob_c,-0.09414606266248042
2amsa_c,-0.0636899551281312
3mop_c,-0.1786713085655222
acglu_c,-0.12080922533366407
2aobut_c,-0.07913959948706163
acmalt_c,-2170.9921764884853
3ocddec5eACP_c,110.35680840018178
2cpr5p_c,-0.5755200852322667
3ocmrs7eACP_c,110.30687010384963
acmana_c,-2680.3352508070025
2dda7p_c,-0.20589433091244583
acmanap_c,-0.27894141192390937
3ocpalm9eACP_c,110.25318391484628
2ddecg3p_c,-0.4854379037942077
3ocvac11eACP_c,110.18705858391719
acmum6p_c,-0.3441031127740737
2ddg6p_c,-0.17373447537240921
acnam_c,-5577.297826948861
3odcoa_c,-1.599830930525374
3oddcoa_c,-1.6613821333462822
2ddglcn_c,-2050.9993870208627
3oddecACP_c,110.37799011802153
acon_C_c,-0.06378758941997091
acon_T_c,-0.06378758941995404
2dh3dgal_c,-2675.126616509893
aconm_c,5935.581579858106
