,0
R_EX_cm_e,-6.775735528208315e-11
R_EX_cmp_e,-5.002220859751105e-11
R_EX_co2_e,17.323257449493894
R_EX_cobalt2_e,-1.2240000160090858e-05
R_DM_4crsol_c,0.00011373008192094858
R_DM_5drib_c,0.00011781022794821183
R_DM_aacald_c,-9.322320693172514e-11
R_DM_amob_c,1.0201165423495695e-06
R_DM_mththf_c,0.0006833996017121535
R_EX_colipa_e,-9.845280146691948e-11
R_DM_oxam_c,1.9099388737231493e-10
R_EX_glc__D_e,-7.435119186993688e-11
R_EX_glcn_e,-8.913048077374697e-11
R_BIOMASS_Ec_iJO1366_WT_53p95M,0.5099999999999909
R_EX_glcr_e,-6.139089236967266e-11
R_EX_colipap_e,-9.57243173616007e-11
R_EX_glcur_e,-7.776179700158536e-11
R_EX_glcur1p_e,-5.95719029661268e-11
R_BIOMASS_Ec_iJO1366_core_53p95M,-9.731593308970332e-11
R_EX_12ppd__R_e,3.5288394428789616e-10
R_EX_gln__L_e,-4.0472514228895307e-11
R_EX_cpgn_e,-7.503331289626658e-11
R_EX_glu__L_e,2.2737367544323206e-11
R_EX_gly_e,1.6893864085432142e-10
R_EX_glyald_e,-2.5011104298755527e-12
R_EX_glyb_e,-7.048583938740194e-11
R_EX_glyc_e,-5.229594535194337e-12
R_EX_12ppd__S_e,4.3428372009657323e-11
R_EX_14glucan_e,-1.887201506178826e-11
R_EX_cpgn_un_e,-7.503331289626658e-11
R_EX_15dap_e,4.615685611497611e-11
R_EX_glyc__R_e,2.6193447411060333e-10
R_EX_glyc2p_e,-3.5697667044587433e-11
R_EX_23camp_e,-4.206412995699793e-11
R_EX_23ccmp_e,-4.229150363244116e-11
R_EX_23cgmp_e,-4.1382008930668235e-11
R_EX_23cump_e,-4.206412995699793e-11
R_EX_23dappa_e,-4.547473508864641e-11
R_EX_26dap__M_e,-5.002220859751105e-11
R_EX_glyc3p_e,-2.2509993868879974e-11
R_EX_glyclt_e,0.0004549160892111104
R_EX_gmp_e,-4.638422979041934e-11
R_EX_gsn_e,-8.526512829121202e-11
R_EX_gthox_e,-8.026290743146092e-11
R_EX_gthrd_e,-8.071765478234738e-11
R_EX_gtp_e,-4.6838977141305804e-11
R_EX_gua_e,-7.958078640513122e-11
R_EX_h_e,-9.315659543503898
R_EX_h2_e,-6.002665031701326e-11
R_EX_h2o_e,14.572826328819929
R_EX_h2o2_e,-1.1118572729174048e-10
R_EX_h2s_e,1.2960299500264227e-11
R_EX_hacolipa_e,-6.980371836107224e-11
R_EX_halipa_e,-6.707523425575346e-11
R_EX_hdca_e,-8.86757334228605e-12
R_EX_hdcea_e,-3.342393029015511e-11
R_EX_hg2_e,-9.094947017729282e-11
R_EX_his__L_e,-7.548806024715304e-11
R_EX_2ddglcn_e,-9.458744898438454e-11
R_EX_34dhpac_e,-8.458300726488233e-11
R_EX_3amp_e,-6.843947630841285e-11
R_EX_3cmp_e,-6.843947630841285e-11
R_EX_3gmp_e,-6.52562448522076e-11
R_EX_3hcinnm_e,-6.45741238258779e-11
R_EX_3hpp_e,4.0336090023629367e-10
R_EX_3hpppn_e,-6.52562448522076e-11
R_EX_hom__L_e,8.799361239653081e-11
R_EX_hxa_e,-3.2741809263825417e-11
R_EX_hxan_e,-7.66249286243692e-11
R_EX_idon__L_e,-8.93578544491902e-11
R_EX_3ump_e,-6.843947630841285e-11
R_EX_4abut_e,2.000888343900442e-11
R_EX_4hoxpacd_e,-8.458300726488233e-11
R_EX_5dglcn_e,-8.913048077374697e-11
R_EX_5mtr_e,0.003439439761450558
R_EX_LalaDglu_e,-5.184119800105691e-11
R_EX_ile__L_e,-5.3660187404602766e-11
R_EX_imp_e,-5.002220859751105e-11
R_EX_indole_e,-8.117240213323385e-11
R_EX_inost_e,-9.777068044058979e-11
R_EX_ins_e,-8.36735125631094e-11
R_EX_isetac_e,-4.547473508864641e-11
R_EX_k_e,-0.0947018999811462
R_EX_LalaDgluMdap_e,-7.935341272968799e-11
R_EX_LalaDgluMdapDala_e,-8.321876521222293e-11
R_EX_LalaLglu_e,-5.002220859751105e-11
R_EX_kdo2lipid4_e,-9.00399754755199e-11
R_EX_ac_e,7.4647986685608885
R_EX_crn_e,-7.16227077646181e-11
R_EX_acac_e,-6.002665031701326e-11
R_EX_acald_e,1.0959411156363785e-10
R_EX_lac__D_e,1.950866135302931e-10
R_EX_lac__L_e,1.7826096154749393e-10
R_EX_crn__D_e,-6.684786058031023e-11
R_EX_lcts_e,-4.3655745685100555e-11
R_EX_acgal_e,-9.072209650184959e-11
R_EX_acgal1p_e,-6.252776074688882e-11
R_EX_acgam_e,-7.16227077646181e-11
R_EX_leu__L_e,-3.7971403799019754e-11
R_EX_csn_e,-5.002220859751105e-11
R_EX_acgam1p_e,-5.843503458891064e-11
R_EX_acmana_e,-5.002220859751105e-11
R_EX_acmum_e,-2.523847797419876e-11
R_EX_lipa_e,-4.615685611497611e-11
R_EX_cu_e,-7.79891706770286e-11
R_EX_lipa_cold_e,-8.844835974741727e-11
R_EX_acnam_e,-4.4792614062316716e-11
R_EX_acolipa_e,-7.389644451905042e-11
R_EX_cu2_e,-0.00034374004758319643
R_EX_acser_e,6.980371836107224e-11
R_EX_ade_e,-7.844391802791506e-11
R_EX_adn_e,-8.481038094032556e-11
R_EX_adocbl_e,-2.5011104298755527e-11
R_EX_ag_e,-8.003553375601768e-11
R_EX_lipoate_e,-4.4792614062316716e-11
R_EX_lys__L_e,-5.4797055781818926e-11
R_EX_lyx__L_e,-4.729372449219227e-11
R_EX_mal__D_e,-4.615685611497611e-11
R_EX_agm_e,-6.207301339600235e-11
R_EX_akg_e,7.366907084360719e-11
R_EX_cyan_e,-5.411493475548923e-11
R_EX_ala_B_e,-5.0249582272954285e-11
R_EX_ala__D_e,8.321876521222293e-11
R_EX_ala__L_e,8.321876521222293e-11
R_EX_alaala_e,-2.660272002685815e-11
R_EX_all__D_e,-4.547473508864641e-11
R_EX_alltn_e,-6.093614501878619e-11
R_EX_amp_e,-5.002220859751105e-11
R_EX_anhgm_e,-8.594724931754172e-11
R_EX_arab__L_e,-6.662048690486699e-11
R_EX_mal__L_e,2.7966962079517543e-10
R_EX_malt_e,-1.864464138634503e-11
R_EX_malthx_e,-3.5925040720030665e-11
R_EX_maltpt_e,-3.001332515850663e-11
R_EX_malttr_e,-2.660272002685815e-11
R_EX_maltttr_e,-2.97859514830634e-11
R_EX_man_e,-5.206857167650014e-11
R_EX_cynt_e,-4.547473508864641e-11
R_EX_man6p_e,-5.161382432561368e-11
R_EX_manglyc_e,-4.547473508864641e-11
R_EX_melib_e,-6.002665031701326e-11
R_EX_cys__D_e,-4.547473508864641e-11
R_EX_meoh_e,1.0201158602285432e-06
R_EX_met__D_e,-5.707079253625125e-11
R_EX_arbt_e,-2.9103830456733704e-11
R_EX_arbtn_e,-7.503331289626658e-11
R_EX_arbtn_fe3_e,-7.503331289626658e-11
R_EX_met__L_e,-5.1159076974727213e-11
R_EX_cys__L_e,-6.434675015043467e-11
R_EX_metsox_R__L_e,-5.002220859751105e-11
R_EX_metsox_S__L_e,-5.002220859751105e-11
R_EX_mg2_e,-0.004209029999174163
R_EX_mincyc_e,-6.775735528208315e-11
R_EX_minohp_e,-2.4556356947869062e-11
R_EX_mmet_e,-4.547473508864641e-11
R_EX_arg__L_e,-6.548361852765083e-11
R_EX_ascb__L_e,-4.843059286940843e-11
R_EX_asn__L_e,4.320099833421409e-12
R_EX_aso3_e,-9.458744898438454e-11
R_EX_asp__L_e,1.348325895378366e-10
R_EX_btn_e,-5.002220859751105e-11
R_EX_but_e,-8.094502845779061e-11
R_EX_mn2_e,-0.000335579999955371
R_EX_mnl_e,-5.002220859751105e-11
R_EX_mobd_e,-6.98700000612007e-05
R_EX_mso3_e,-4.524736141320318e-11
R_EX_n2o_e,-7.79891706770286e-11
R_EX_na1_e,-7.503331289626658e-11
R_EX_nac_e,-5.002220859751105e-11
R_EX_nh4_e,-5.358202285565994
R_EX_butso3_e,-4.411049303598702e-11
R_EX_ca2_e,-0.00252551999960815
R_EX_cbi_e,-2.4101609596982598e-11
R_EX_cytd_e,-7.594280759803951e-11
R_EX_cbl1_e,-0.0001137301687776926
R_EX_cd2_e,-7.503331289626658e-11
R_EX_cgly_e,-7.389644451905042e-11
R_EX_ni2_e,-0.0001565699999446224
R_EX_nmn_e,-4.001776687800884e-11
R_EX_no_e,-4.1382008930668235e-11
R_EX_no2_e,-8.185452315956354e-11
R_EX_no3_e,-2.319211489520967e-11
R_EX_novbcn_e,-6.662048690486699e-11
R_EX_o16a4colipa_e,-9.617906471248716e-11
R_EX_o2_e,-13.583825002657932
R_EX_o2s_e,-8.890310709830374e-11
R_EX_ocdca_e,-3.342393029015511e-11
R_EX_ocdcea_e,-3.342393029015511e-11
R_EX_octa_e,-5.002220859751105e-11
R_EX_orn_e,-4.774847184307873e-11
R_EX_orot_e,-5.002220859751105e-11
R_EX_pacald_e,-7.526068657170981e-11
R_EX_peamn_e,-4.661160346586257e-11
R_EX_phe__L_e,-7.617018127348274e-11
R_EX_pheme_e,-7.867129170335829e-11
R_EX_chol_e,-6.389200279954821e-11
R_EX_chtbs_e,-4.615685611497611e-11
R_EX_cit_e,9.57243173616007e-11
R_EX_cl_e,-0.00252551999960815
R_EX_pi_e,-0.47284445935792974
R_EX_dad_2_e,-6.843947630841285e-11
R_EX_pnto__R_e,-5.002220859751105e-11
R_EX_ppa_e,-5.002220859751105e-11
R_EX_damp_e,-4.206412995699793e-11
R_EX_ppal_e,-6.002665031701326e-11
R_EX_dca_e,-5.093170329928398e-11
R_EX_pppn_e,-5.979927664157003e-11
R_EX_ppt_e,-4.001776687800884e-11
R_EX_dcmp_e,-4.206412995699793e-11
R_EX_pro__L_e,-3.3651303965598345e-11
R_EX_dcyt_e,-6.843947630841285e-11
R_EX_progly_e,-4.547473508864641e-11
R_EX_psclys_e,-5.002220859751105e-11
R_EX_ddca_e,-3.342393029015511e-11
R_EX_pser__L_e,-5.002220859751105e-11
R_EX_ptrc_e,-5.070432962384075e-11
R_EX_dgmp_e,-4.206412995699793e-11
R_EX_dgsn_e,-6.843947630841285e-11
R_EX_val__L_e,-1.8189894035458565e-11
R_EX_xan_e,-7.503331289626658e-11
R_EX_dha_e,-2.5011104298755527e-12
R_EX_xmp_e,-5.002220859751105e-11
R_EX_dimp_e,-4.206412995699793e-11
R_EX_din_e,-6.843947630841285e-11
R_EX_xtsn_e,-8.276401786133647e-11
R_EX_pydam_e,-5.002220859751105e-11
R_EX_xyl__D_e,-3.7971403799019754e-11
R_EX_xylu__L_e,-5.502442945726216e-11
R_EX_zn2_e,-0.0001652400001148635
R_12DGR120tipp,4.5838532969355583e-10
R_12DGR140tipp,4.581579560181126e-10
R_12DGR141tipp,4.363300831755623e-10
R_12DGR160tipp,3.4083313948940486e-10
R_12DGR161tipp,3.255991032347083e-10
R_12DGR180tipp,4.1518433135934174e-10
R_EX_pydx_e,-5.002220859751105e-11
R_EX_pydxn_e,-5.002220859751105e-11
R_EX_pyr_e,2.255546860396862e-10
R_EX_quin_e,-5.502442945726216e-11
R_EX_r5p_e,-4.229150363244116e-11
R_EX_rfamp_e,-6.662048690486699e-11
R_EX_rib__D_e,-6.843947630841285e-11
R_EX_rmn_e,-4.661160346586257e-11
R_EX_sbt__D_e,-5.002220859751105e-11
R_EX_sel_e,-4.661160346586257e-11
R_EX_ser__D_e,-5.002220859751105e-11
R_EX_ser__L_e,4.7066350816749036e-11
R_EX_skm_e,-5.002220859751105e-11
R_12DGR181tipp,3.255991032347083e-10
R_12PPDRtex,-3.5288394428789616e-10
R_12PPDRtpp,-3.5288394428789616e-10
R_EX_dms_e,-9.777068044058979e-11
R_12PPDStex,-4.3655745685100555e-11
R_12PPDStpp,-4.3428372009657323e-11
R_14GLUCANabcpp,-5.7980287238024175e-11
R_EX_slnt_e,-5.4569682106375694e-11
R_EX_so2_e,-8.890310709830374e-11
R_EX_so3_e,-7.912603905424476e-11
R_EX_dmso_e,-4.433786671143025e-11
R_EX_so4_e,-0.12851133016511085
R_EX_spmd_e,-8.86757334228605e-11
R_EX_succ_e,-15.902000000000044
R_14GLUCANtexi,-6.184563972055912e-11
R_23CAMPtex,-1.4551915228366852e-11
R_23CCMPtex,-1.4551915228366852e-11
R_EX_sucr_e,-4.547473508864641e-11
R_EX_sulfac_e,-4.547473508864641e-11
R_23CGMPtex,-1.8189894035458565e-11
R_EX_tartr__D_e,-5.002220859751105e-11
R_23CUMPtex,-1.4551915228366852e-11
R_EX_dopa_e,-4.888534022029489e-11
R_23DAPPAt2pp,-6.366462912410498e-11
R_23DAPPAtex,-1.0913936421275139e-11
R_23PDE2pp,-7.369749255303759e-11
R_23PDE4pp,-7.369749255303759e-11
R_EX_tartr__L_e,-6.002665031701326e-11
R_EX_taur_e,-4.501998773775995e-11
R_EX_tcynt_e,-7.912603905424476e-11
R_23PDE7pp,-7.369749255303759e-11
R_23PDE9pp,-7.602807272633072e-11
R_EX_doxrbcn_e,-6.775735528208315e-11
R_26DAHtex,0.0
R_2AGPA120tipp,3.035722784261452e-10
R_EX_thm_e,-4.547473508864641e-11
R_EX_thr__L_e,-2.1827872842550278e-11
R_EX_dtmp_e,-5.002220859751105e-11
R_EX_thrp_e,-5.002220859751105e-11
R_2AGPA140tipp,3.03629121845006e-10
R_2AGPA141tipp,3.282707439211663e-10
R_EX_thym_e,-1.0231815394945443e-11
R_EX_dump_e,-4.206412995699793e-11
R_EX_thymd_e,-7.66249286243692e-11
R_2AGPA160tipp,1.6743229025451e-10
R_2AGPA161tipp,1.6785861589596607e-10
R_EX_tma_e,-9.526957001071423e-11
R_EX_duri_e,-6.843947630841285e-11
R_EX_tmao_e,-3.8198777474462986e-11
R_EX_tre_e,-2.97859514830634e-11
R_EX_trp__L_e,-8.29913915367797e-11
R_2AGPA180tipp,3.532818482199218e-10
R_2AGPA181tipp,1.6797230273368768e-10
R_2AGPE120tipp,3.624052169470815e-10
R_2AGPE140tipp,3.624620603659423e-10
R_2AGPE141tipp,3.788898084167158e-10
R_2AGPE160tipp,2.0594370653270744e-10
R_EX_tsul_e,-4.229150363244116e-11
R_EX_eca4colipa_e,4.229150363244116e-11
R_EX_ttdca_e,-3.342393029015511e-11
R_2AGPE161tipp,2.1478285816556308e-10
R_2AGPE180tipp,3.9744918467476964e-10
R_2AGPE181tipp,2.148397015844239e-10
R_2AGPEAT120,1.703028829069808e-10
R_EX_ttdcea_e,-3.342393029015511e-11
R_EX_enlipa_e,-7.139533408917487e-11
R_2AGPEAT140,1.7033130461641122e-10
R_2AGPEAT141,1.7774937077774666e-10
R_2AGPEAT160,2.469846549502108e-10
R_EX_ttrcyc_e,-6.775735528208315e-11
R_EX_enter_e,-9.322320693172514e-11
R_2AGPEAT161,2.551701072661672e-10
R_EX_etha_e,4.1154635255225e-11
R_2AGPEAT180,1.901128143799724e-10
R_2AGPEAT181,2.551985289755976e-10
R_EX_tungs_e,-4.501998773775995e-11
R_EX_tym_e,-4.888534022029489e-11
R_2AGPG120tipp,3.512070634315023e-10
R_EX_ethso3_e,-4.547473508864641e-11
R_2AGPG140tipp,3.512354851409327e-10
R_2AGPG141tipp,3.7704239730373956e-10
R_2AGPG160tipp,2.1330492927518208e-10
R_2AGPG161tipp,2.220019723608857e-10
R_EX_tyr__L_e,-7.503331289626658e-11
R_EX_tyrp_e,-5.002220859751105e-11
R_EX_uacgam_e,-4.615685611497611e-11
R_EX_udpacgal_e,-4.7066350816749036e-11
R_EX_udpg_e,-4.615685611497611e-11
R_2AGPG180tipp,4.0540726331528276e-10
R_2AGPG181tipp,2.220588157797465e-10
R_2AGPGAT120,1.489581791247474e-10
R_EX_udpgal_e,-4.661160346586257e-11
R_EX_etoh_e,9.640643838793039e-11
R_EX_udpglcur_e,-4.638422979041934e-11
R_2AGPGAT140,1.489581791247474e-10
R_2AGPGAT141,1.5219825399981346e-10
R_2AGPGAT160,2.3032953322399408e-10
R_2AGPGAT161,2.3797497306077275e-10
R_EX_ump_e,-1.2596501619555056e-10
R_2AGPGAT180,1.5990053725545295e-10
R_EX_f6p_e,-5.184119800105691e-11
R_2AGPGAT181,2.3797497306077275e-10
R_EX_ura_e,-3.410605131648481e-11
R_2DGULRGx,-3.717559593496844e-11
R_EX_urea_e,3.708464646479115e-10
R_2DGULRGy,-3.717559593496844e-11
R_EX_fald_e,-9.777068044058979e-11
R_2DGULRx,-3.717559593496844e-11
R_2DGULRy,-3.7061909097246826e-11
R_EX_uri_e,-7.02584657119587e-11
R_2MAHMP,2.1100277081131935e-10
R_34dhpactex,6.912159733474255e-11
R_EX_fe2_e,-0.007918770954802312
R_3AMACHYD,4.035172196381609e-10
R_3AMPtex,3.637978807091713e-11
R_3CMPtex,3.637978807091713e-11
R_3GMPtex,2.9103830456733704e-11
R_EX_fe3_e,9.627001418266445e-10
R_3HAD100,1.4370016288012266e-09
R_EX_fe3dcit_e,-2.5011104298755527e-11
R_3HAD120,1.8953869584947824e-09
R_5DOAN,0.00011781022840295918
R_EX_fe3dhbzs_e,-2.3874235921539366e-11
R_5MTRtex,-0.0034394397625874262
R_5MTRtpp,0.003439439761450558
R_3HAD121,9.89530235528946e-10
R_3HAD140,7.821654435247183e-10
R_A5PISO,0.01247102840898151
R_EX_fe3hox_e,-7.503331289626658e-11
R_AACPS1,0.004157012258019677
R_AACPS2,3.600916897994466e-09
R_3HAD141,9.913492249324918e-10
R_EX_fe3hox_un_e,-7.503331289626658e-11
R_AACPS3,0.061864020271514164
R_AACPS4,0.04811747994153848
R_AACPS5,0.024799258831080806
