,Reaction_ID,forward,reverse
R_EX_cm_e,R_EX_cm_e,1481.2244993749566,1481.2244993750244
R_EX_cmp_e,R_EX_cmp_e,1481.224499374965,1481.224499375015
R_EX_co2_e,R_EX_co2_e,1489.9114528127895,1472.5881953632957
R_EX_cobalt2_e,R_EX_cobalt2_e,1481.2244932549904,1481.2245054949906
R_DM_4crsol_c,R_DM_4crsol_c,1481.2245562400326,1481.2244425099507
R_DM_5drib_c,R_DM_5drib_c,1481.2245582801052,1481.2244404698772
R_DM_aacald_c,R_DM_aacald_c,1481.224499374944,1481.224499375037
R_DM_amob_c,R_DM_amob_c,1481.2244998850488,1481.2244988649322
R_DM_mththf_c,R_DM_mththf_c,1481.2248410748302,1481.2241576752285
R_EX_colipa_e,R_EX_colipa_e,1481.2244993749412,1481.2244993750396
R_DM_oxam_c,R_DM_oxam_c,1481.2244993750855,1481.2244993748945
R_EX_glc__D_e,R_EX_glc__D_e,1481.2244993749532,1481.2244993750276
R_EX_glcn_e,R_EX_glcn_e,1481.2244993749455,1481.2244993750346
R_BIOMASS_Ec_iJO1366_WT_53p95M,R_BIOMASS_Ec_iJO1366_WT_53p95M,1481.479521324735,1480.969521324735
R_EX_glcr_e,R_EX_glcr_e,1481.22449937496,1481.2244993750214
R_EX_colipap_e,R_EX_colipap_e,1481.2244993749425,1481.2244993750382
R_EX_glcur_e,R_EX_glcur_e,1481.2244993749518,1481.2244993750296
R_EX_glcur1p_e,R_EX_glcur1p_e,1481.224499374961,1481.2244993750205
R_BIOMASS_Ec_iJO1366_core_53p95M,R_BIOMASS_Ec_iJO1366_core_53p95M,1481.2244993749418,1481.2244993750392
R_EX_12ppd__R_e,R_EX_12ppd__R_e,1481.224499375167,1481.224499374814
R_EX_gln__L_e,R_EX_gln__L_e,1481.2244993749705,1481.224499375011
R_EX_cpgn_e,R_EX_cpgn_e,1481.2244993749528,1481.2244993750278
R_EX_glu__L_e,R_EX_glu__L_e,1481.2244993750023,1481.2244993749796
R_EX_gly_e,R_EX_gly_e,1481.2244993750746,1481.2244993749057
R_EX_glyald_e,R_EX_glyald_e,1481.2244993749891,1481.2244993749916
R_EX_glyb_e,R_EX_glyb_e,1481.2244993749553,1481.2244993750257
R_EX_glyc_e,R_EX_glyc_e,1481.2244993749882,1481.2244993749935
R_EX_12ppd__S_e,R_EX_12ppd__S_e,1481.2244993750119,1481.2244993749684
R_EX_14glucan_e,R_EX_14glucan_e,1481.2244993749814,1481.2244993750003
R_EX_cpgn_un_e,R_EX_cpgn_un_e,1481.2244993749528,1481.2244993750278
R_EX_15dap_e,R_EX_15dap_e,1481.2244993750137,1481.2244993749675
R_EX_glyc__R_e,R_EX_glyc__R_e,1481.2244993751212,1481.2244993748593
R_EX_glyc2p_e,R_EX_glyc2p_e,1481.2244993749728,1481.2244993750085
R_EX_23camp_e,R_EX_23camp_e,1481.2244993749694,1481.2244993750114
R_EX_23ccmp_e,R_EX_23ccmp_e,1481.224499374969,1481.2244993750112
R_EX_23cgmp_e,R_EX_23cgmp_e,1481.2244993749703,1481.2244993750116
R_EX_23cump_e,R_EX_23cump_e,1481.2244993749698,1481.2244993750119
R_EX_23dappa_e,R_EX_23dappa_e,1481.2244993749678,1481.2244993750132
R_EX_26dap__M_e,R_EX_26dap__M_e,1481.224499374966,1481.224499375016
R_EX_glyc3p_e,R_EX_glyc3p_e,1481.2244993749794,1481.2244993750019
R_EX_glyclt_e,R_EX_glyclt_e,1481.2247268330525,1481.2242719169633
R_EX_gmp_e,R_EX_gmp_e,1481.2244993749673,1481.2244993750137
R_EX_gsn_e,R_EX_gsn_e,1481.2244993749478,1481.224499375033
R_EX_gthox_e,R_EX_gthox_e,1481.2244993749503,1481.2244993750305
R_EX_gthrd_e,R_EX_gthrd_e,1481.2244993749503,1481.224499375031
R_EX_gtp_e,R_EX_gtp_e,1481.224499374967,1481.224499375014
R_EX_gua_e,R_EX_gua_e,1481.224499374951,1481.2244993750305
R_EX_h_e,R_EX_h_e,1476.5739930456202,1485.8896525891241
R_EX_h2_e,R_EX_h2_e,1481.224499374961,1481.224499375021
R_EX_h2o_e,R_EX_h2o_e,1488.5288340278867,1473.9560076990667
R_EX_h2o2_e,R_EX_h2o2_e,1481.2244993749346,1481.2244993750458
R_EX_h2s_e,R_EX_h2s_e,1481.224499374997,1481.2244993749841
R_EX_hacolipa_e,R_EX_hacolipa_e,1481.2244993749553,1481.224499375025
R_EX_halipa_e,R_EX_halipa_e,1481.2244993749568,1481.224499375024
R_EX_hdca_e,R_EX_hdca_e,1481.224499374986,1481.2244993749948
R_EX_hdcea_e,R_EX_hdcea_e,1481.224499374974,1481.2244993750073
R_EX_hg2_e,R_EX_hg2_e,1481.2244993749453,1481.2244993750362
R_EX_his__L_e,R_EX_his__L_e,1481.224499374953,1481.2244993750285
R_EX_2ddglcn_e,R_EX_2ddglcn_e,1481.224499374943,1481.2244993750376
R_EX_34dhpac_e,R_EX_34dhpac_e,1481.2244993749478,1481.2244993750323
R_EX_3amp_e,R_EX_3amp_e,1481.224499374956,1481.2244993750244
R_EX_3cmp_e,R_EX_3cmp_e,1481.2244993749562,1481.2244993750246
R_EX_3gmp_e,R_EX_3gmp_e,1481.2244993749578,1481.224499375023
R_EX_3hcinnm_e,R_EX_3hcinnm_e,1481.224499374959,1481.2244993750235
R_EX_3hpp_e,R_EX_3hpp_e,1481.2244993751917,1481.2244993747884
R_EX_3hpppn_e,R_EX_3hpppn_e,1481.2244993749578,1481.224499375023
R_EX_hom__L_e,R_EX_hom__L_e,1481.2244993750346,1481.2244993749466
R_EX_hxa_e,R_EX_hxa_e,1481.2244993749734,1481.2244993750062
R_EX_hxan_e,R_EX_hxan_e,1481.2244993749518,1481.2244993750285
R_EX_idon__L_e,R_EX_idon__L_e,1481.2244993749455,1481.2244993750348
R_EX_3ump_e,R_EX_3ump_e,1481.224499374956,1481.2244993750244
R_EX_4abut_e,R_EX_4abut_e,1481.2244993750005,1481.2244993749805
R_EX_4hoxpacd_e,R_EX_4hoxpacd_e,1481.2244993749478,1481.2244993750323
R_EX_5dglcn_e,R_EX_5dglcn_e,1481.2244993749455,1481.2244993750346
R_EX_5mtr_e,R_EX_5mtr_e,1481.2262190958697,1481.2227796561083
R_EX_LalaDglu_e,R_EX_LalaDglu_e,1481.2244993749646,1481.2244993750164
R_EX_ile__L_e,R_EX_ile__L_e,1481.2244993749632,1481.2244993750169
R_EX_imp_e,R_EX_imp_e,1481.224499374965,1481.224499375015
R_EX_indole_e,R_EX_indole_e,1481.22449937495,1481.2244993750312
R_EX_inost_e,R_EX_inost_e,1481.2244993749414,1481.2244993750392
R_EX_ins_e,R_EX_ins_e,1481.2244993749482,1481.2244993750319
R_EX_isetac_e,R_EX_isetac_e,1481.224499374968,1481.2244993750135
R_EX_k_e,R_EX_k_e,1481.1771491818442,1481.2718510818254
R_EX_LalaDgluMdap_e,R_EX_LalaDgluMdap_e,1481.2244993749505,1481.2244993750298
R_EX_LalaDgluMdapDala_e,R_EX_LalaDgluMdapDala_e,1481.224499374949,1481.224499375032
R_EX_LalaLglu_e,R_EX_LalaLglu_e,1481.2244993749653,1481.2244993750153
R_EX_kdo2lipid4_e,R_EX_kdo2lipid4_e,1481.2244993749455,1481.2244993750355
R_EX_ac_e,R_EX_ac_e,1484.9616011641263,1477.4968024955654
R_EX_crn_e,R_EX_crn_e,1481.2244993749548,1481.2244993750264
R_EX_acac_e,R_EX_acac_e,1481.2244993749605,1481.2244993750205
R_EX_acald_e,R_EX_acald_e,1481.2244993750458,1481.2244993749362
R_EX_lac__D_e,R_EX_lac__D_e,1481.224499375088,1481.224499374893
R_EX_lac__L_e,R_EX_lac__L_e,1481.2244993750799,1481.2244993749016
R_EX_crn__D_e,R_EX_crn__D_e,1481.2244993749568,1481.2244993750237
R_EX_lcts_e,R_EX_lcts_e,1481.224499374968,1481.2244993750116
R_EX_acgal_e,R_EX_acgal_e,1481.2244993749455,1481.2244993750362
R_EX_acgal1p_e,R_EX_acgal1p_e,1481.2244993749594,1481.2244993750219
R_EX_acgam_e,R_EX_acgam_e,1481.2244993749548,1481.2244993750264
R_EX_leu__L_e,R_EX_leu__L_e,1481.2244993749716,1481.2244993750096
R_EX_csn_e,R_EX_csn_e,1481.2244993749653,1481.2244993750153
R_EX_acgam1p_e,R_EX_acgam1p_e,1481.2244993749616,1481.22449937502
R_EX_acmana_e,R_EX_acmana_e,1481.224499374965,1481.224499375015
R_EX_acmum_e,R_EX_acmum_e,1481.224499374978,1481.2244993750032
R_EX_lipa_e,R_EX_lipa_e,1481.2244993749675,1481.2244993750137
R_EX_cu_e,R_EX_cu_e,1481.2244993749514,1481.2244993750294
