,0
R_DM_4crsol_c,3.2246762202703394e-06
R_DM_5drib_c,-0.30770263428803446
R_DM_aacald_c,-1.1773863661801443e-08
R_DM_amob_c,2.9709099180763587e-08
R_DM_mththf_c,-0.10966850734598665
R_DM_oxam_c,-0.1600425222038666
R_BIOMASS_Ec_iJO1366_WT_53p95M,0.2899999999999636
R_BIOMASS_Ec_iJO1366_core_53p95M,-0.27554281557854665
R_EX_12ppd__R_e,0.12043433055623609
R_EX_12ppd__S_e,0.10549028904597435
R_EX_14glucan_e,1.2896634871140122e-09
R_EX_15dap_e,6.1017999541945755e-09
R_EX_23camp_e,9.870291250990704e-10
R_EX_23ccmp_e,1.4688339433632791e-09
R_EX_23cgmp_e,1.0024905350292102e-09
R_EX_23cump_e,1.5643308870494366e-09
R_EX_23dappa_e,6.581331035704352e-09
R_EX_26dap__M_e,4.9562913773115724e-09
R_EX_2ddglcn_e,2.1874257072340697e-08
R_EX_34dhpac_e,-7.958078640513122e-11
R_EX_3amp_e,1.1598331184359267e-09
R_EX_3cmp_e,1.8560513126431033e-09
R_EX_3gmp_e,1.1805241229012609e-09
R_EX_3hcinnm_e,2.997239789692685e-09
R_EX_3hpp_e,0.010038946037639107
R_EX_3hpppn_e,3.9235601434484124e-09
R_EX_3ump_e,2.0063453121110797e-09
R_EX_4abut_e,1.592070475453511e-08
R_EX_4hoxpacd_e,-7.958078640513122e-11
R_EX_5dglcn_e,1.7316779121756554e-08
R_EX_5mtr_e,0.001955761641738718
R_EX_LalaDglu_e,4.743242243421264e-09
R_EX_LalaDgluMdap_e,1.9681465346366167e-09
R_EX_LalaDgluMdapDala_e,1.552962203277275e-09
R_EX_LalaLglu_e,4.745288606500253e-09
R_EX_ac_e,-13.583999999999833
R_EX_acac_e,0.03794934653501514
R_EX_acald_e,0.2312741764180828
R_EX_acgal_e,-6.684786058031023e-11
R_EX_acgal1p_e,-6.662048690486699e-11
R_EX_acgam_e,9.148379831458442e-09
R_EX_acgam1p_e,5.9274043451296166e-09
R_EX_acmana_e,9.148379831458442e-09
R_EX_acmum_e,6.650907380389981e-09
R_EX_acnam_e,7.851213013054803e-09
R_EX_acolipa_e,2.0691004465334117e-10
R_EX_acser_e,1.6343392417184077e-08
R_EX_ade_e,1.4597389963455498e-09
R_EX_adn_e,1.2587406672537327e-09
R_EX_adocbl_e,1.0359144653193653e-09
R_EX_ag_e,-6.684786058031023e-11
R_EX_agm_e,2.67186806013342e-09
R_EX_akg_e,2.5865119823720306e-08
R_EX_ala_B_e,2.226761353085749e-08
R_EX_ala__D_e,1.6223111742874607e-08
R_EX_ala__L_e,1.8183754946221597e-08
R_EX_alaala_e,5.323499863152392e-09
R_EX_all__D_e,1.7945694708032534e-08
R_EX_alltn_e,2.3590018827235326e-09
R_EX_amp_e,1.1598331184359267e-09
R_EX_anhgm_e,2.211436367360875e-09
R_EX_arab__L_e,1.817397787817754e-08
R_EX_arbt_e,-8.003553375601768e-11
R_EX_arbtn_e,-7.503331289626658e-11
R_EX_arbtn_fe3_e,-7.503331289626658e-11
R_EX_arg__L_e,2.519982444937341e-09
R_EX_ascb__L_e,4.62478055851534e-09
R_EX_asn__L_e,5.85305315325968e-09
R_EX_aso3_e,-8.003553375601768e-11
R_EX_asp__L_e,1.5674686437705532e-08
R_EX_btn_e,7.951257430249825e-10
R_EX_but_e,0.043726616736194046
R_EX_butso3_e,1.6847707229317166e-08
R_EX_ca2_e,-1.8796447420754703e-06
R_EX_cbi_e,-9.00399754755199e-11
R_EX_cbl1_e,-6.467100592999486e-05
R_EX_cd2_e,-7.503331289626658e-11
R_EX_cgly_e,2.1768755686935037e-09
R_EX_chol_e,-7.707967597525567e-11
R_EX_chtbs_e,3.295099304523319e-09
R_EX_cit_e,0.47922981175656787
R_EX_cl_e,-1.8796447420754703e-06
R_EX_cm_e,-6.775735528208315e-11
R_EX_cmp_e,1.8560513126431033e-09
R_EX_co2_e,1.1076281225541607e-08
R_EX_cobalt2_e,-7.14296675141668e-08
R_EX_colipa_e,2.326032699784264e-10
R_EX_colipap_e,2.191882231272757e-10
R_EX_cpgn_e,-7.503331289626658e-11
R_EX_cpgn_un_e,-7.503331289626658e-11
R_EX_crn_e,-8.458300726488233e-11
R_EX_crn__D_e,-8.481038094032556e-11
R_EX_csn_e,2.697333911783062e-09
R_EX_cu_e,1.0423292147352186
R_EX_cu2_e,-1.042329314878998
R_EX_cyan_e,-6.252776074688882e-11
R_EX_cynt_e,1.898661139421165e-08
R_EX_cys__D_e,3.354898581164889e-09
