,Reaction_ID,forward,reverse
R_DM_4crsol_c,R_DM_4crsol_c,1400.1456911126036,1400.1456878879274
R_DM_5drib_c,R_DM_5drib_c,1399.991846635895,1400.299549270183
R_DM_aacald_c,R_DM_aacald_c,1400.1456894943783,1400.1456895061522
R_DM_amob_c,R_DM_amob_c,1400.14568951512,1400.145689485411
R_DM_mththf_c,R_DM_mththf_c,1400.0908563203357,1400.2005248276816
R_DM_oxam_c,R_DM_oxam_c,1400.065670525855,1400.2257130480589
R_BIOMASS_Ec_iJO1366_WT_53p95M,R_BIOMASS_Ec_iJO1366_WT_53p95M,1400.2906970084127,1400.0006970084128
R_BIOMASS_Ec_iJO1366_core_53p95M,R_BIOMASS_Ec_iJO1366_core_53p95M,1400.0079248706852,1400.2834676862637
R_EX_12ppd__R_e,R_EX_12ppd__R_e,1400.2059079604471,1400.0854736298909
R_EX_12ppd__S_e,R_EX_12ppd__S_e,1400.1984356382748,1400.0929453492288
R_EX_14glucan_e,R_EX_14glucan_e,1400.1456895009098,1400.1456894996202
R_EX_15dap_e,R_EX_15dap_e,1400.145689503316,1400.145689497214
R_EX_23camp_e,R_EX_23camp_e,1400.1456895007593,1400.1456894997723
R_EX_23ccmp_e,R_EX_23ccmp_e,1400.1456895010003,1400.1456894995315
R_EX_23cgmp_e,R_EX_23cgmp_e,1400.1456895007666,1400.145689499764
R_EX_23cump_e,R_EX_23cump_e,1400.1456895010474,1400.145689499483
R_EX_23dappa_e,R_EX_23dappa_e,1400.145689503556,1400.1456894969747
R_EX_26dap__M_e,R_EX_26dap__M_e,1400.1456895027434,1400.145689497787
R_EX_2ddglcn_e,R_EX_2ddglcn_e,1400.1456895112024,1400.145689489328
R_EX_34dhpac_e,R_EX_34dhpac_e,1400.1456895002261,1400.1456895003057
R_EX_3amp_e,R_EX_3amp_e,1400.145689500845,1400.1456894996852
R_EX_3cmp_e,R_EX_3cmp_e,1400.1456895011938,1400.1456894993378
R_EX_3gmp_e,R_EX_3gmp_e,1400.1456895008553,1400.1456894996747
R_EX_3hcinnm_e,R_EX_3hcinnm_e,1400.1456895017643,1400.145689498767
