,Lagrange_coef
10fthf_c,-0.007761055352070277
12dgr120_c,-0.004385668576776763
12dgr140_c,-0.005272952205558689
12dgr141_c,-0.005356349376897018
12dgr160_c,-0.006165051085441552
12dgr161_c,-0.0062369861296612825
12dgr180_c,-0.007054532245111333
12dgr181_c,-0.007154396677442115
12ppd__R_c,1.748937651782155e-05
12ppd__S_c,4.888258342332092e-06
13dpg_c,-0.00021723072448372446
14dhncoa_c,-0.010555598140023149
14glucan_c,-0.0003509887610841505
15dap_c,-0.0015843335109760478
1ddecg3p_c,-0.002431787049385101
1hdec9eg3p_c,-0.003359468880715443
1hdecg3p_c,-0.003321097950805882
1odec11eg3p_c,-0.003813850925408958
1odecg3p_c,-0.0037660213212205515
1pyr5c_c,-0.0015350462423242193
1tdec7eg3p_c,-0.002916868876742657
1tdecg3p_c,-0.0028753445803276646
23dappa_c,-0.0008644997343632461
23ddhb_c,-0.0008946662819176407
23dhacoa_c,-0.009313785174710668
23dhb_c,-0.000931670094741883
23dhba_c,-0.00551303214297255
23dhbzs_c,-0.0015832604046925778
23dhdp_c,-0.0016813515677294557
23dhmb_c,-6.326266740449036e-05
23dhmp_c,-0.00035781871371091636
23doguln_c,0.00014207719841204095
25aics_c,-0.0038998494997607882
25dkglcn_c,3.7602650058467555e-05
25drapp_c,-0.0040710571724880155
26dap_LL_c,-0.0015384516271734277
26dap__M_c,-0.0015395085879773979
2agpe120_c,-0.00288408096645824
2agpe140_c,-0.0033277380672486027
2agpe141_c,-0.0033694682635256284
2agpe160_c,-0.003772950663402975
2agpe161_c,-0.0038089696177238124
2agpe180_c,-0.004218348086814111
2agpe181_c,-0.004268351625343479
2agpg120_c,-0.0022739654646711533
2agpg140_c,-0.0027176227842280274
2agpg141_c,-0.0027593534328909704
2agpg160_c,-0.0031641437739629214
2agpg161_c,-0.003200493549714913
2agpg180_c,-0.003608229477039411
2agpg181_c,-0.0036578183429375358
2ahbut_c,-0.0003962354707348519
2amsa_c,-0.0003235491698665338
2aobut_c,-0.000585099089001125
2cpr5p_c,-0.002537048257162089
2dda7p_c,-0.00015751998417148973
2ddecg3p_c,-0.0021469663443076355
2ddg6p_c,-0.00015893717257387452
2ddglcn_c,0.000219349310308358
2dh3dgal_c,8.938318098063638e-05
2dh3dgal6p_c,-0.00011795201658825872
2dhguln_c,7.699216829359997e-05
2dhp_c,-0.0003106665013218445
2dmmq8_c,-0.010476410927275632
2dmmql8_c,-0.010437670486428793
2dr1p_c,-0.0003217134730981318
2dr5p_c,-0.0002737277865209396
2fe1s_c,-0.001539302416450694
2fe2s_c,-0.0022833905702339926
2h3oppan_c,0.000110721059756962
2hdec9eg3p_c,-0.003074756161197493
2hdecg3p_c,-0.003036690520849212
2ippm_c,-0.0008749767694603283
2mahmp_c,-0.0034542631352985085
2mcacn_c,-0.0007210325070049141
2mcit_c,-0.00036838358878125743
2me4p_c,-9.19410567347672e-05
2mecdp_c,-0.000352645413618158
2obut_c,-0.00033585580100445973
2odec11eg3p_c,-0.00352896910145686
2odecg3p_c,-0.0034809911735362345
2ohph_c,-0.009359451614205611
2ombzl_c,-0.009172627760925598
2omhmbl_c,-0.008986077340491951
2ommbl_c,-0.00929840632667495
2omph_c,-0.00948523030733584
2oph_c,-0.009671947817821025
2oxpaccoa_c,-0.009881013057859083
2p4c2me_c,-0.0033006599004279874
2pg_c,-0.0001475550973216207
2pglyc_c,-0.0003238362551160215
2sephchc_c,-0.0016107487044564135
2shchc_c,-0.0015723921260797221
2tdec7eg3p_c,-0.0026322913391172787
2tdecg3p_c,-0.0025906031372887025
2tpr3dpcoa_c,-0.008724850370451382
34hpp_c,-0.0013538196508686244
35cgmp_c,-0.004537577413501853
3amac_c,-0.001055925028001497
3c2hmp_c,-0.0005138886699741476
3c3hmp_c,-0.0005104181387658021
3c4mop_c,-0.0005508812185944449
3dhguln_c,0.0001788019482513055
3dhgulnp_c,-0.0002519442464013212
3dhq_c,-0.00010923582640407536
3dhsk_c,-0.00047285741735348654
