,0
R_DM_4crsol_c,5.475360012496822e-06
R_DM_5drib_c,0.05842138624484505
R_DM_aacald_c,-2.7054511519963853e-08
R_DM_amob_c,5.0025846576318145e-08
R_DM_mththf_c,0.20883550978851417
R_DM_oxam_c,-0.09495713720821186
R_BIOMASS_Ec_iJO1366_WT_53p95M,0.4923999999998614
R_BIOMASS_Ec_iJO1366_core_53p95M,-0.46785249200888757
R_EX_12ppd__R_e,0.02319711362133603
R_EX_12ppd__S_e,0.006485277486490304
R_EX_14glucan_e,2.6177986001130193e-08
R_EX_15dap_e,5.642959877150133e-09
R_EX_23camp_e,1.808757588150911e-09
R_EX_23ccmp_e,2.9783677746308967e-09
R_EX_23cgmp_e,1.943817551364191e-09
R_EX_23cump_e,4.288949639885686e-09
R_EX_23dappa_e,1.0402800398878753e-08
R_EX_26dap__M_e,5.824631443829276e-09
R_EX_2ddglcn_e,0.06408239726511056
R_EX_34dhpac_e,-7.958078640513122e-11
R_EX_3amp_e,1.821490513975732e-09
R_EX_3cmp_e,3.012019078596495e-09
R_EX_3gmp_e,1.9583694665925577e-09
R_EX_3hcinnm_e,5.488573151524179e-09
R_EX_3hpp_e,6.399204721674323e-08
R_EX_3hpppn_e,5.7059423852479085e-09
R_EX_3ump_e,4.357389116194099e-09
R_EX_4abut_e,1.0099029168486595e-08
R_EX_4hoxpacd_e,-7.958078640513122e-11
R_EX_5dglcn_e,0.051533209235458344
R_EX_5mtr_e,0.0033207482131274446
R_EX_LalaDglu_e,4.96947905048728e-09
R_EX_LalaDgluMdap_e,2.351725925109349e-09
R_EX_LalaDgluMdapDala_e,1.863782017608173e-09
R_EX_LalaLglu_e,4.9740265239961445e-09
R_EX_ac_e,1.0626968105498236e-07
R_EX_acac_e,3.716399987752084e-08
R_EX_acald_e,6.171671884658281e-08
R_EX_acgal_e,-6.662048690486699e-11
R_EX_acgal1p_e,-6.684786058031023e-11
R_EX_acgam_e,3.355103217472788e-08
R_EX_acgam1p_e,1.3940962162450887e-08
R_EX_acmana_e,3.355103217472788e-08
R_EX_acmum_e,1.4279066817834973e-08
R_EX_acnam_e,2.306205715285614e-08
R_EX_acolipa_e,4.176854417892173e-10
R_EX_acser_e,2.078058969345875e-08
R_EX_ade_e,1.9799699657596648e-09
R_EX_adn_e,1.987928044400178e-09
R_EX_adocbl_e,1.9485923985484987e-09
R_EX_ag_e,-6.684786058031023e-11
R_EX_agm_e,3.052946340176277e-09
R_EX_akg_e,3.074273990932852e-08
R_EX_ala_B_e,1.4393890523933806e-08
R_EX_ala__D_e,1.5053046809043735e-08
R_EX_ala__L_e,1.5418891052831896e-08
R_EX_alaala_e,5.8676050684880465e-09
R_EX_all__D_e,0.07141457784700833
R_EX_alltn_e,3.6197889130562544e-09
R_EX_amp_e,1.821490513975732e-09
R_EX_anhgm_e,4.771663952851668e-09
R_EX_arab__L_e,0.01573267238018161
R_EX_arbt_e,-8.003553375601768e-11
R_EX_arbtn_e,-7.503331289626658e-11
R_EX_arbtn_fe3_e,-7.480593922082335e-11
R_EX_arg__L_e,2.9799593903589994e-09
R_EX_ascb__L_e,0.02614354842762623
R_EX_asn__L_e,7.527887646574527e-09
