,Reaction_ID,forward,reverse
R_DM_4crsol_c,R_DM_4crsol_c,1377.2658646964055,1377.2658592210455
R_DM_5drib_c,R_DM_5drib_c,1377.2950729616155,1377.2366515753706
R_DM_aacald_c,R_DM_aacald_c,1377.2658619451981,1377.2658619722527
R_DM_amob_c,R_DM_amob_c,1377.2658619837384,1377.2658619337126
R_DM_mththf_c,R_DM_mththf_c,1377.370283671849,1377.1614481620604
R_DM_oxam_c,R_DM_oxam_c,1377.2183842084874,1377.3133413456956
R_BIOMASS_Ec_iJO1366_WT_53p95M,R_BIOMASS_Ec_iJO1366_WT_53p95M,1377.5120839640774,1377.0196839640776
R_BIOMASS_Ec_iJO1366_core_53p95M,R_BIOMASS_Ec_iJO1366_core_53p95M,1377.031955578707,1377.499808070716
R_EX_12ppd__R_e,R_EX_12ppd__R_e,1377.277460564375,1377.2542634507536
R_EX_12ppd__S_e,R_EX_12ppd__S_e,1377.269104601286,1377.2626193237995
R_EX_14glucan_e,R_EX_14glucan_e,1377.2658619718145,1377.2658619456365
R_EX_15dap_e,R_EX_15dap_e,1377.2658619615474,1377.2658619559045
R_EX_23camp_e,R_EX_23camp_e,1377.26586195963,1377.2658619578212
R_EX_23ccmp_e,R_EX_23ccmp_e,1377.2658619602146,1377.2658619572362
R_EX_23cgmp_e,R_EX_23cgmp_e,1377.2658619596975,1377.2658619577537
R_EX_23cump_e,R_EX_23cump_e,1377.2658619608699,1377.265861956581
R_EX_23dappa_e,R_EX_23dappa_e,1377.2658619639274,1377.2658619535246
R_EX_26dap__M_e,R_EX_26dap__M_e,1377.2658619616377,1377.265861955813
R_EX_2ddglcn_e,R_EX_2ddglcn_e,1377.2979035300668,1377.2338211328017
R_EX_34dhpac_e,R_EX_34dhpac_e,1377.2658619586862,1377.2658619587658
R_EX_3amp_e,R_EX_3amp_e,1377.2658619596366,1377.265861957815
R_EX_3cmp_e,R_EX_3cmp_e,1377.2658619602316,1377.2658619572196
R_EX_3gmp_e,R_EX_3gmp_e,1377.2658619597048,1377.2658619577464
R_EX_3hcinnm_e,R_EX_3hcinnm_e,1377.2658619614695,1377.2658619559809
R_EX_3hpp_e,R_EX_3hpp_e,1377.2658619907213,1377.2658619267293
R_EX_3hpppn_e,R_EX_3hpppn_e,1377.2658619615784,1377.2658619558724
R_EX_3ump_e,R_EX_3ump_e,1377.2658619609042,1377.2658619565468
R_EX_4abut_e,R_EX_4abut_e,1377.2658619637748,1377.2658619536758
R_EX_4hoxpacd_e,R_EX_4hoxpacd_e,1377.265861958686,1377.2658619587655
R_EX_5dglcn_e,R_EX_5dglcn_e,1377.2916288043707,1377.2400955951352
R_EX_5mtr_e,R_EX_5mtr_e,1377.2675223338333,1377.2642015856202
R_EX_LalaDglu_e,R_EX_LalaDglu_e,1377.26586196121,1377.2658619562405
R_EX_LalaDgluMdap_e,R_EX_LalaDgluMdap_e,1377.2658619599015,1377.2658619575498
R_EX_LalaDgluMdapDala_e,R_EX_LalaDgluMdapDala_e,1377.2658619596577,1377.265861957794
R_EX_LalaLglu_e,R_EX_LalaLglu_e,1377.265861961213,1377.265861956239
R_EX_ac_e,R_EX_ac_e,1377.2658620118605,1377.2658619055908
R_EX_acac_e,R_EX_acac_e,1377.2658619773074,1377.2658619401434
R_EX_acald_e,R_EX_acald_e,1377.2658619895838,1377.265861927867
R_EX_acgal_e,R_EX_acgal_e,1377.2658619586919,1377.2658619587585
R_EX_acgal1p_e,R_EX_acgal1p_e,1377.265861958692,1377.265861958759
