,Lagrange_coef
10fthf_c,-0.00404949584544615
12dgr120_c,-0.0025608802174656763
12dgr140_c,-0.003008043979594277
12dgr141_c,-0.0031979744259671692
12dgr160_c,-0.0034574780208739522
12dgr161_c,-0.0036417864925438895
12dgr180_c,-0.003906029371472851
12dgr181_c,-0.004102674195392676
12ppd__R_c,-2.5870654631980905e-05
12ppd__S_c,-2.3737447005314013e-05
13dpg_c,-0.0005699283717979019
14dhncoa_c,-0.00654408624058064
14glucan_c,-0.0006086854972277936
15dap_c,-0.0007006054112419287
1ddecg3p_c,-0.0015802080276160757
1hdec9eg3p_c,-0.0021216364414303017
1hdecg3p_c,-0.002028327543527801
1odec11eg3p_c,-0.002349998050245273
1odecg3p_c,-0.0022525829659812706
1pyr5c_c,-0.0007997148602650687
1tdec7eg3p_c,-0.0018986262743171352
1tdecg3p_c,-0.0018037905414518426
23dappa_c,-0.0004175241919772253
23ddhb_c,-0.0006997269827852915
23dhacoa_c,-0.005594873956276624
23dhb_c,-0.0007927905359110319
23dhba_c,-0.0033465896999231495
23dhbzs_c,-0.001190416116323867
23dhdp_c,-0.0010691407934488163
23dhmb_c,-0.00019772597635053972
23dhmp_c,-0.0003111518317828398
23doguln_c,-0.00015975715282365028
25aics_c,-0.0022655378631812515
25dkglcn_c,-0.00015928172208422647
25drapp_c,-0.002084688214880769
26dap_LL_c,-0.0008272175418130987
26dap__M_c,-0.0008277502254997372
2agpe120_c,-0.0018458773350367877
2agpe140_c,-0.002069459133229006
2agpe141_c,-0.0021644413191212893
2agpe160_c,-0.0022937127268590142
2agpe161_c,-0.0023854719993747346
2agpe180_c,-0.0025184931250054193
2agpe181_c,-0.002617150495979053
2agpg120_c,-0.001646707350583948
2agpg140_c,-0.0018702891128922333
2agpg141_c,-0.0019652786428350426
2agpg160_c,-0.0020954717321406873
2agpg161_c,-0.0021875699862422488
2agpg180_c,-0.0023193377469146216
2agpg181_c,-0.0024177472263471104
2ahbut_c,-0.0004052947434576854
2amsa_c,-0.0002869997563302726
2aobut_c,-0.00040100299385319816
2cpr5p_c,-0.0017400871797831387
2dda7p_c,-0.0005103601465301906
2ddecg3p_c,-0.0015033608879366368
2ddg6p_c,-0.0005185022949292159
2ddglcn_c,-0.00017465242222680514
2dh3dgal_c,-0.00019126646514401932
2dh3dgal6p_c,-0.0005231455630144984
2dhguln_c,-6.556125111003028e-05
2dhp_c,-0.00040525418369755664
2dmmq8_c,-0.006916788369605535
2dmmql8_c,-0.006823158016652747
2dr1p_c,-0.0004433290128555308
2dr5p_c,-0.0004498312196501705
2fe1s_c,-0.00047945149303400716
2fe2s_c,-0.0008631557837072962
2h3oppan_c,-6.188692320977363e-05
2hdec9eg3p_c,-0.002044873147716809
2hdecg3p_c,-0.00195171443666667
2ippm_c,-0.0006897332480850193
2mahmp_c,-0.0019931587922244337
2mcacn_c,-0.0006343068869308993
2mcit_c,-0.00042872545916198683
2me4p_c,-0.0003613624577948896
2mecdp_c,-0.0007690706780299592
2obut_c,-0.00029215597570367746
2odec11eg3p_c,-0.0022733693147381677
2odecg3p_c,-0.0021759704268429383
2ohph_c,-0.006101196166420911
2ombzl_c,-0.0061064409622072595
2omhmbl_c,-0.006111477807010008
2ommbl_c,-0.006215613164832685
2omph_c,-0.006210368696904967
2oph_c,-0.006205238668603443
2oxpaccoa_c,-0.006041818595540991
2p4c2me_c,-0.0025481221737528033
2pg_c,-0.0003055235576361711
2pglyc_c,-0.00031353165542814153
2sephchc_c,-0.0013677260808608554
2shchc_c,-0.001190340723828396
2tdec7eg3p_c,-0.0018218798992553412
2tdecg3p_c,-0.0017269429070519253
2tpr3dpcoa_c,-0.0056044301719647225
34hpp_c,-0.001110782338834966
35cgmp_c,-0.002521335758405118
3amac_c,-0.0005351080575845718
3c2hmp_c,-0.00048516612689011065
3c3hmp_c,-0.00048366738769928843
3c4mop_c,-0.0005781165710343112
3dhguln_c,-6.69100510670645e-05
3dhgulnp_c,-0.00041121882138776074
3dhq_c,-0.00037843600198466797
3dhsk_c,-0.0005842658372820368
3fe4s_c,-0.0017652349612140785
3haACP_c,0.0008349163180077418
3hadpcoa_c,-0.005389557454580977
3hbcoa_c,-0.005214018362784696
3hcddec5eACP_c,-0.00015219069479929751
3hcinnm_c,-0.001215193901686407
3hcmrs7eACP_c,-0.0003761033473009483
3hcpalm9eACP_c,-0.0005998839170744811
3hcvac11eACP_c,-0.0008265929036715453
3hdcoa_c,-0.005884666659962763
3hddcoa_c,-0.006108100056578707
3hddecACP_c,-5.807005130081117e-05
3hdecACP_c,0.00016514873689965653
3hhcoa_c,-0.005437581328714979
3hhdcoa_c,-0.006555219589849044
3hhexACP_c,0.0006116687524477799
3hmrsACP_c,-0.0002811822183017318
3hocoa_c,-0.005661144253038207
3hoctACP_c,0.00038842118688683344
3hoctaACP_c,-0.0007298633502692318
3hodcoa_c,-0.006781382515299844
3hpalmACP_c,-0.0005056226473981352
3hpp_c,-0.00014161974855438027
3hpppn_c,-0.001116923464994232
3htdcoa_c,-0.006331608662554598
3ig3p_c,-0.0018804482668082587
3mob_c,-0.00040501798862736755
3mop_c,-0.0005171243252750066
3ocddec5eACP_c,-0.0002463879253755386
3ocmrs7eACP_c,-0.00047030057787718967
3ocpalm9eACP_c,-0.0006941538457334095
3ocvac11eACP_c,-0.0009204572926807598
3odcoa_c,-0.005977595636608742
3oddcoa_c,-0.006201011083924425
3oddecACP_c,-0.00015253517931965806
3odecACP_c,7.071897344312574e-05
3ohcoa_c,-0.0055304990974823515
3ohdcoa_c,-0.0066481692395778435
3ohexACP_c,0.0005172246491412515
3omrsACP_c,-0.0003756927800049063
3oocoa_c,-0.005754062022773766
3ooctACP_c,0.0002939770835803046
3ooctdACP_c,-0.0008239703574842828
3ohodcoa_c,-0.0068740846452171635
3opalmACP_c,-0.0005996391941716795
3ophb_c,-0.006270206253584287
3otdcoa_c,-0.006424567073356131
3oxdhscoa_c,-0.0058020657347956075
3pg_c,-0.0003042710577011598
3php_c,-0.00039770144996601094
3psme_c,-0.0012151756010801522
3sala_c,-5528.092831186406
4abut_c,-0.00041583625230021755
4abutn_c,-0.0004521156519818688
4abz_c,-0.0012074373737346374
4adcho_c,-0.0013083117412249297
4ahmmp_c,-0.0013842355488009918
4ampm_c,-0.001728544319121688
4c2me_c,-0.0022034237976269406
4crsol_c,8.592119171687786e-10
4fe4s_c,-0.001784574137083575
4h2opntn_c,-0.00029199706805197915
4hbz_c,-0.0009049150984800519
4hthr_c,-0.0001845146831480215
4mhetz_c,-0.002291404953017696
4mop_c,-0.0005138974974189363
4mpetz_c,-0.0026357137233383923
4pasp_c,-0.0006325979292219937
4per_c,-0.0003008470984324861
4ppan_c,-0.001159688769601919
4ppcys_c,-0.0020609548500020235
4r5au_c,-0.0013527571095630871
56dura_c,-0.0008475314692351777
5aizc_c,-0.0016926046540744635
5aop_c,-0.0005125267922788126
5aprbu_c,-0.001691203724765928
5apru_c,-0.001785411243303996
5caiz_c,-0.0016978247561502137
5dglcn_c,-6.525230096320461e-05
5dh4dglc_c,-0.00023951236083500185
5drib_c,-4.14278997094635e-05
5fthf_c,-0.004046000266153533
5mta_c,-0.002176335927393444
5mthf_c,-0.003984985385717779
5mtr_c,2.104479793633253e-07
5prdmbz_c,3987.3447224698048
6hmhpt_c,-0.0019407510235327026
6hmhptpp_c,-0.002542789267217431
6pgc_c,-0.0003005706673781404
6pgl_c,-0.0004202859287948643
8aonn_c,-0.0004959548465090572
ACP_c,0.0011533917703344533
LalaDglu_c,-0.000991397044564127
LalaDgluMdap_c,-0.0020281943555273277
LalaDgluMdapDala_c,-0.0025374912885171193
LalaLglu_c,-0.0009905211246609242
N1aspmd_c,-0.0019054137792538124
Nmtrp_c,-0.002055087379708875
Sfglutth_c,-0.001878961415435168
aacald_c,-2.927669326093159e-11
aacoa_c,-0.005306936128776673
aact_c,-0.0003366193451534605
ac_c,-7.969041943626493e-05
acACP_c,0.0009468792190572049
acac_c,-0.0002867007963616474
acald_c,-0.00011437313082308705
acanth_c,-0.0014146251491382745
accoa_c,-0.005099925765449022
acetol_c,-0.00011820295132685225
acg5p_c,-0.0010306585683267908
acg5sa_c,-0.000803308456899948
acgam_c,-0.0005112938229573334
acgam1p_c,-0.0008452600420710476
acgam6p_c,-0.0008547434823587074
acglc__D_c,-0.0001744380842675104
acglu_c,-0.0007630251994102525
acmalt_c,-0.00029020155885531947
acmana_c,-0.0005104348096209651
acmanap_c,-0.0008547435389508611
acmum6p_c,-0.0011449755456371564
acnam_c,-0.0006880587532066094
acon_C_c,-0.000523558258767977
acon_T_c,-0.000523558258767977
aconm_c,-0.0005560535052414069
acorn_c,-0.0009325754512407195
acser_c,-0.00040308893076348464
actACP_c,0.0007404722147012136
actp_c,-0.0003457314094352831
ade_c,-0.0019715120209917946
adn_c,-0.002161913792200119
adocbi_c,-3987.346878403711
adocbip_c,-3987.347222712481
adocbl_c,-0.0022935986176524734
adp_c,-0.002759882165837316
adpglc_c,-0.0027714091833880472
adphep_DD_c,-0.0029058349557981927
adphep_LD_c,-0.0029070398228924327
adprib_c,-0.0028842590015024615
ag_c,-7059.881814329981
agdpcbi_c,-3987.3496677725884
agm_c,-0.0011945610545258513
ahcys_c,-0.003169321340282887
ahdt_c,-0.002817070697698771
aicar_c,-0.0019103859597244242
air_c,-0.0016365348298996109
akg_c,-0.00034990440176848025
ala_B_c,-0.0003008223978925407
ala__D_c,-0.0003046041045281679
ala__L_c,-0.0003054079949475977
alaala_c,-0.0008181894180651963
alac__S_c,-0.00029173482261492375
alatrna_c,-0.0002161284434392
all__D_c,-4.902242789296385e-06
all6p_c,-0.000345594466460886
alltn_c,-0.0011168682090965964
alltt_c,-0.000940994133737474
allul6p_c,-0.00034493764576447935
altrn_c,2.7409287623614333e-05
amet_c,-0.0032018165867563173
ametam_c,-0.003137047759933324
amob_c,8.320407375617075e-12
amp_c,-0.0025022633347797866
anhgm_c,-0.0017259916887163965
anhgm3p_c,-0.003959346642811197
anhgm4p_c,-0.004468754558864149
anhm_c,-0.0010088174117967605
anhm3p_c,-0.00324249075799341
anhm4p_c,-0.003751954997915762
anth_c,-0.001207433373927542
ap4a_c,-0.005576363020894864
ap5a_c,-0.005839377275993968
apg120_c,-0.004289624524594244
apg140_c,-0.0049603697245564965
apg141_c,-0.0052453561089399565
apg160_c,-0.005635648713835375
apg161_c,-0.005912126798915611
apg180_c,-0.006307537126729947
apg181_c,-0.006602747880136622
apoACP_c,0.0032789584939459256
appl_c,-0.00024377224339687517
aps_c,-0.0025579015414429894
ara5p_c,-0.00033431228882811374
arab__L_c,-3.4615653374716004e-06
aragund_c,-1357.2377430184326
arbt6p_c,-5527.998843836867
arbtn_c,-6148.433367447071
arbtn_fe3_c,-6148.433358227146
arg__L_c,-0.0012625648959148643
argsuc_c,-0.0016133523967229125
argtrna_c,-0.0006947488476674751
ascb6p_c,-0.0005398648909194463
asn__L_c,-0.0005886556528108583
asntrna_c,-0.00035770422512392376
aso3_c,-5528.0898899234635
aso4_c,-5528.089781455781
asp__L_c,-0.0003657905329536237
aspsa_c,-0.00040403211029364273
asptrna_c,-0.00024620835186041714
athr__L_c,-0.0003070608994138781
athtp_c,-0.0069690697110718035
atp_c,-0.003027520163894119
b2coa_c,-0.005419264189339625
bbtcoa_c,-5528.741154760257
betald_c,-5917.812876793259
bglycogen_c,-8.850144700108256e-05
bmoco_c,-0.007217965198933008
bmoco1gdp_c,-0.00966302531234251
bmocogdp_c,-0.012108085425752013
btal_c,-0.0003390553605893976
btcoa_c,-0.005323492060495824
btn_c,-0.004555832101342432
btnso_c,-0.004444043942777532
but_c,-0.00030325673557659915
but2eACP_c,0.0006297099619452283
butACP_c,0.0007233520615579324
butso3_c,-0.0004764309136761465
bwco_c,-4429.414111607205
bwco1gdp_c,-4429.416556667313
bwcogdp_c,-4429.4190017274195
ca2_c,7.823950781685851e-06
camp_c,-0.0026293582484873956
cbasp_c,-0.0007628851581649698
cbi_c,-3987.3445913978244
cbl1_c,-6.544724495886855e-06
cbm_c,-0.00015893094049657984
cbp_c,-0.00045309088513532854
cd2_c,-6148.436483549578
cddec5eACP_c,-0.00026399062611125103
cdec3eACP_c,-4.007797360959995e-05
cdg_c,-0.0018162458186111938
cdp_c,-0.0020478302354870995
cdpdddecg_c,-0.00474331336129622
cdpdhdec9eg_c,-0.0058231785282360955
cdpdhdecg_c,-0.005639552123417464
cdpdodec11eg_c,-0.0062853292529941995
cdpdodecg_c,-0.006088505611827845
cdpdtdec7eg_c,-0.005380425888882921
cdpdtdecg_c,-0.005190477033484011
cechddd_c,-0.0009225585783014771
cenchddd_c,-0.0010208290067378362
cgly_c,-0.0010853640727941458
chol_c,-5917.812783946158
chor_c,-0.0010825388232682184
chtbs6p_c,-0.0015713538330909412
cinnm_c,-0.001327663251455279
cit_c,-0.00031719648782415136
citr__L_c,-0.0010441458434821277
ckdo_c,-0.002084584610121636
cl_c,8.224045270368186e-06
cmp_c,-0.0017794239618629487
co2_c,1.1702329053107496e-05
coa_c,-0.00489273399023829
cobalt2_c,0.00020533663287983475
colipa_c,-0.01348882839383005
cpe160_c,-0.004464528605621137
cpe180_c,-0.0049285195532347585
cpg160_c,-0.004267027319411328
cpg180_c,-0.004726720532277528
cpgn_c,-6148.433435213792
cpgn_un_c,-6148.433444433717
cph4_c,-0.001910208343553854
cpmp_c,-0.002316415482047019
cpppg3_c,-0.005721050855276668
crn_c,-4882.864278529251
crn__D_c,-4882.864278529251
crnDcoa_c,-4882.869305769399
crncoa_c,-4882.869305769399
csn_c,-0.0012416545031725035
ctbt_c,-4882.864483845743
ctbtcoa_c,-4882.869511085891
ctp_c,-0.0023153769251302242
cu_c,-8.626358288583391e-06
cu2_c,1.5368729853088562e-05
cyan_c,2782.850131586416
cynt_c,-0.000363716673551194
cys__D_c,-0.000687096404090545
cys__L_c,-0.0006870630105930763
cyst__L_c,-0.001202324916520929
cystrna_c,-0.0004069167370484907
cytd_c,-0.0014370983845151503
dad_2_c,-0.0022792420604043134
dad_5_c,-0.0022407063006751977
dadp_c,-0.002871924141623888
damp_c,-0.002607657584468984
dann_c,-0.003697771447804787
datp_c,-0.003138948613523048
db4p_c,-0.0004368436606802983
dc2coa_c,-0.006089901275863689
dca_c,-0.0009724700535622623
dcaACP_c,5.3576772915346495e-05
dcacoa_c,-0.005993986423462322
dcamp_c,-0.002852758959632139
dcdp_c,-0.0021547627623503263
dcmp_c,-0.001887636764450681
dctp_c,-0.0024217764651317687
dcyt_c,-0.0015494722391062115
dd2coa_c,-0.006313352621779894
ddca_c,-0.0011950882933074011
ddcaACP_c,-0.0001696142366969046
ddcacoa_c,-0.006217666283077366
ddcap_c,-0.0013800765250609659
dgdp_c,-0.0027650258979566855
dgmp_c,-0.002501197470586904
dgslnt_c,-4942.693505709332
dgsn_c,-0.0021658715450509768
dgtp_c,-0.0030324218309700107
dha_c,-1.3627087753274836e-05
dhap_c,-0.0003465135770932393
dhcinnm_c,-0.0011136761084944219
dhf_c,-0.004042253920581665
dhgly_c,-0.001344091696635011
dhmpt_c,-0.0019515875258065386
dhmptp_c,-0.002817070697698771
dhna_c,-0.0015227353602453382
dhnpt_c,-0.0019515875258065386
dhor__S_c,-0.0008917773915964334
dhpmp_c,-0.002290016067139071
dhpppn_c,-0.001015405668298345
dhpt_c,-0.003351863273890314
dhptd_c,-0.00019298926260523906
dhptdn_c,-0.00012344177088531182
didp_c,-0.0025792128396557685
dimp_c,-0.0023149214026563884
din_c,-0.001978602083690524
ditp_c,-0.0028409903990542526
dmbzid_c,3987.345260331612
dmlz_c,-0.0020671147775291735
dmpp_c,-0.0010689570787653416
dms_c,-6148.436153117264
dmso_c,-6148.436043423655
dnad_c,-0.0041089783878445274
dpcoa_c,-0.004548422029062398
dsbdox_c,-4.821482492148622e-05
dsbdrd_c,4.821479557280458e-05
dscl_c,-0.0061225193334158825
dtbt_c,-0.004050587610797766
dtdp_c,-0.0019680616809183327
dtdp4aaddg_c,-0.002597601706371516
dtdp4addg_c,-0.0023137391555901055
dtdp4d6dg_c,-0.002184471501079718
dtdp4d6dm_c,-0.0021867820735184647
dtdpglu_c,-0.0019787670214269732
dtdprmn_c,-0.0020928936950934704
dtmp_c,-0.001702250785910184
dttp_c,-0.002235602617129482
dudp_c,-0.001851111222829048
dump_c,-0.0015908968999153374
duri_c,-0.0012508727413467003
dutp_c,-0.0021193811092602407
dxyl_c,-0.00011041392396743035
dxyl5p_c,-0.00045472269428812684
e4p_c,-0.00033664561313061724
egmeACP_c,0.0005285785835607667
eig3p_c,-0.0012201681700797161
enter_c,-0.0039568009168272555
epmeACP_c,0.00030538133502802943
etha_c,-0.00013422219393812896
ethso3_c,-0.00025174884467219546
etoh_c,-2.152606475213859e-05
f1p_c,-0.0003416434972382008
f6p_c,-0.0003415861795316305
fad_c,-0.005678211076752517
fadh2_c,-0.00558333857880589
fald_c,-1.023918212629671e-05
fc1p_c,-0.0004630979140074056
fcl__L_c,-0.00011878918455991218
fdp_c,-0.0006859983152170579
fe2_c,-2.0104116732967042e-05
fe3_c,8.895146789486992e-06
fe3dhbzs_c,-0.0011815209728103016
fe3hox_c,-6148.433367293025
fe3hox_un_c,-6148.433376512951
fecrm_c,-6148.434487783037
fecrm_un_c,-6148.434497002962
feenter_c,-0.003947546997808598
feoxam_c,-6148.435032168245
feoxam_un_c,-6148.435041407225
fgam_c,-0.0011231909149259371
flxr_c,-1.6268132917048882e-05
flxso_c,1.2931703610817981e-05
fmettrna_c,-0.0004725029665129953
fmn_c,-0.003125782846929442
fmnh2_c,-0.003031410899870788
for_c,2.5561258728676793e-05
forcoa_c,3.248422375222502e-05
fpram_c,-0.0013501911248359351
fprica_c,-0.0020045514400072696
frdp_c,-0.0024104367555477456
fru_c,1.4054131347013825e-05
frulys_c,-0.0009356457768262818
frulysp_c,-0.0012799544850606733
fruur_c,-6.218343034801146e-05
fuc__L_c,-0.0001187893747494807
fum_c,-0.0003504003012748612
g1p_c,-0.00021792676239778974
g3p_c,-0.0003419687452091974
g3pc_c,-5917.813169054743
g3pe_c,-0.000522342881260122
g3pg_c,-0.0003238360703985572
g3pi_c,-6148.511920946862
g3ps_c,-0.0005781291749360399
g6p_c,-0.000309064109593607
gagicolipa_c,-0.013032568064455517
gal_c,0.00024867598892042234
gal1p_c,-0.00012786430651174713
galct__D_c,-3.419606818860239e-05
galctn__D_c,1.049711037594621e-05
galctn__L_c,4.309352619027665e-06
galt1p_c,-0.00028542870741358887
galur_c,-7.688483783950069e-05
gam1p_c,-0.0005646055648355858
gam6p_c,-0.0005661622531986317
gar_c,-0.0009442725835074452
garagund_c,-1357.2378568552692
gbbtn_c,-5528.736127520109
gcald_c,-1.0879215105256914e-05
gdp_c,-0.002655942889260148
gdpddman_c,-0.002989065426554321
gdpfuc_c,-0.002894855863860174
gdpmann_c,-0.002783748935764001
gdpofuc_c,-0.0029890654265544493
gdptp_c,-0.0035218933420149935
gfgaragund_c,-1357.2379324924182
gg4abut_c,-0.0011026667537238587
ggagicolipa_c,-0.01314781750295586
ggbutal_c,-0.0011410438696574086
gggagicolipa_c,-0.013263927704849812
ggptrc_c,-0.0012737258469455192
ghb_c,-0.00019375735828853124
gicolipa_c,-0.012917716751893658
glc__D_c,3.275369094322144e-05
glcn_c,2.9485630605029593e-05
glcr_c,-3.4196838348156835e-05
glcur_c,-6.218371087519618e-05
gln__L_c,-0.0007049251829880252
glntrna_c,-0.0004158564968833128
glu__D_c,-0.00047738829593725563
glu__L_c,-0.00047917205536081244
glu1sa_c,-0.0005124884960340752
glu5p_c,-0.0007461669851308131
glu5sa_c,-0.0005182961741496954
glucys_c,-0.0013733151964631226
glutrna_c,-0.0003032652423088214
glx_c,-6.696777861157297e-05
gly_c,-0.00019274924895136162
glyald_c,-2.6720140842671396e-05
glyb_c,-5917.812841675874
glyc_c,6.612719331757252e-05
glyc__R_c,3.2740783095896635e-05
glyc2p_c,-0.00027643054049159737
glyc3p_c,-0.0002572012808825046
glyclt_c,2.4916676234236003e-05
glycogen_c,-8.932123462012497e-05
glytrna_c,-0.0001597701775982847
gmeACP_c,0.0006227881448918937
gmhep17bp_c,-0.0006854335108066646
gmhep1p_c,-0.00034898808791895754
gmhep7p_c,-0.0003367057152903503
gmp_c,-0.002389926606537498
gp4g_c,-0.005363860724782829
grdp_c,-0.0017396969171565436
grxox_c,-4.812688197738785e-05
grxrd_c,4.8479305353842724e-05
gslnt_c,-4942.69163562358
gsn_c,-0.0020498538491345456
gthox_c,-0.0036486011896259326
gthrd_c,-0.0017758761901864914
gtp_c,-0.002920152428296356
gtspmd_c,-0.003605674132085379
gua_c,-0.0018561357315937618
h_c,7.667077226389356e-05
h2_c,8.356752024701641e-05
h2mb4p_c,-0.0009564523613370927
h2o_c,0.00020531649079031983
h2o2_c,0.0003117408767541967
h2s_c,-0.00028686425596381575
hco3_c,0.0001398171788431021
hcys__L_c,-0.0008025392999075727
hdca_c,-0.0016433494258564967
hdcap_c,-0.0018282985785058935
hdcea_c,-0.00173676313200345
hdceap_c,-0.0019217772306165373
hdcoa_c,-0.006760223181252398
hdd2coa_c,-0.006760433532667151
hdeACP_c,-0.0007116144478067453
hemeO_c,-0.008066935913053764
hexACP_c,0.0005001044959970823
hg2_c,-6148.436961882571
hgmeACP_c,0.0007338950754988911
hhlipa_c,-0.011298114608776881
his__L_c,-0.0012735710069810403
hisp_c,-0.0015548786959103708
histd_c,-0.0012164892319909588
histrna_c,-0.0007001284910691883
hkndd_c,-0.0008780891944986611
hkntd_c,-0.0009763596881702061
hlipa_c,-0.011072760170950241
hmbil_c,-0.005775507532664705
hmgth_c,-0.0017861149640219132
hom__L_c,-0.0003076735153129861
hphhlipa_c,-0.011868456112775053
hpmeACP_c,0.0005106978269652655
hpyr_c,-6.07956762114665e-05
hqn_c,-5527.998329456267
hx2coa_c,-0.005642827152494512
hxa_c,-0.0005262541757499278
hxan_c,-0.001668423965146489
hxcoa_c,-0.005547054988318975
iasp_c,-0.0005403972125345468
ichor_c,-0.0010825969234848642
icit_c,-0.00031928704813116303
icolipa_c,-0.01280331431971524
idon__L_c,2.5947442730180483e-05
idp_c,-0.0024697606729781035
ile__L_c,-0.0006464586298858811
iletrna_c,-0.00038679413259356345
imacp_c,-0.0014255435286130017
imp_c,-0.002202597978833475
indole_c,-0.0015376860101527043
