,0
R_DM_4crsol_c,2.00333943212172e-06
R_DM_5drib_c,-0.09659332287401412
R_DM_aacald_c,-6.826212484156713e-08
R_DM_amob_c,1.9399294615141116e-08
R_DM_mththf_c,0.00958072490811901
R_DM_oxam_c,-0.05969107816849828
R_BIOMASS_Ec_iJO1366_WT_53p95M,0.18000000000006366
R_BIOMASS_Ec_iJO1366_core_53p95M,-0.1710266849954678
R_EX_12ppd__R_e,3.5132711673213635e-07
R_EX_12ppd__S_e,3.8290659176709596e-07
R_EX_14glucan_e,1.4981424101279117e-08
R_EX_15dap_e,1.292391971219331e-08
R_EX_23camp_e,3.3710421121213585e-09
R_EX_23ccmp_e,4.69935912406072e-09
R_EX_23cgmp_e,3.5261109587736428e-09
R_EX_23cump_e,5.61249180464074e-09
R_EX_23dappa_e,2.1718506104662083e-08
R_EX_26dap__M_e,1.0961230145767331e-08
R_EX_2ddglcn_e,5.221113497100305e-08
R_EX_34dhpac_e,-7.958078640513122e-11
R_EX_3amp_e,3.546119842212647e-09
R_EX_3cmp_e,5.0406470109010115e-09
R_EX_3gmp_e,3.7177869671722874e-09
R_EX_3hcinnm_e,7.386461220448837e-09
R_EX_3hpp_e,6.448476597142871e-08
R_EX_3hpppn_e,8.045617505558766e-09
R_EX_3ump_e,6.102482075220905e-09
R_EX_4abut_e,2.1842652131454088e-08
R_EX_4hoxpacd_e,-7.958078640513122e-11
R_EX_5dglcn_e,1.410885488439817e-07
R_EX_5mtr_e,0.0012139255150032113
R_EX_LalaDglu_e,9.077666618395597e-09
R_EX_LalaDgluMdap_e,4.391722541186027e-09
R_EX_LalaDgluMdapDala_e,3.492004907457158e-09
R_EX_LalaLglu_e,9.086079444386996e-09
R_EX_ac_e,1.135956608777633e-07
R_EX_acac_e,3.170430318277795e-08
R_EX_acald_e,7.938547241792548e-08
R_EX_acgal_e,-6.662048690486699e-11
R_EX_acgal1p_e,-6.662048690486699e-11
R_EX_acgam_e,1.737203092488926e-08
R_EX_acgam1p_e,1.0563326213741675e-08
R_EX_acmana_e,1.737203092488926e-08
R_EX_acmum_e,1.1115616871393286e-08
R_EX_acnam_e,1.3129010767443106e-08
R_EX_acolipa_e,5.609308573184535e-10
R_EX_acser_e,2.245337782369461e-08
R_EX_ade_e,4.513367457548156e-09
R_EX_adn_e,4.106595952180214e-09
R_EX_adocbl_e,3.875356924254447e-09
R_EX_ag_e,-6.662048690486699e-11
R_EX_agm_e,7.559492587461136e-09
R_EX_akg_e,2.5945382731151767e-08
R_EX_ala_B_e,3.0207047529984266e-08
R_EX_ala__D_e,2.97422957373783e-08
R_EX_ala__L_e,2.983870217576623e-08
R_EX_alaala_e,1.1099928087787703e-08
R_EX_all__D_e,0.001089404894855761
R_EX_alltn_e,8.04584487923421e-09
R_EX_amp_e,3.546119842212647e-09
R_EX_anhgm_e,5.137508196639828e-09
R_EX_arab__L_e,6.12178189385304e-05
R_EX_arbt_e,-8.003553375601768e-11
R_EX_arbtn_e,-7.503331289626658e-11
R_EX_arbtn_fe3_e,-7.503331289626658e-11
R_EX_arg__L_e,7.130211088224314e-09
R_EX_ascb__L_e,4.4282614908297546e-08
