,Reaction_ID,forward,reverse
R_DM_4crsol_c,R_DM_4crsol_c,1165.8003858083273,1165.8003838049879
R_DM_5drib_c,R_DM_5drib_c,1165.752089145635,1165.848682468509
R_DM_aacald_c,R_DM_aacald_c,1165.8003847725263,1165.8003848407884
R_DM_amob_c,R_DM_amob_c,1165.800384816357,1165.8003847969578
R_DM_mththf_c,R_DM_mththf_c,1165.8051751789535,1165.7955944540454
R_DM_oxam_c,R_DM_oxam_c,1165.7705396496094,1165.830230727778
R_BIOMASS_Ec_iJO1366_WT_53p95M,R_BIOMASS_Ec_iJO1366_WT_53p95M,1165.8903882806658,1165.7103882806657
R_BIOMASS_Ec_iJO1366_core_53p95M,R_BIOMASS_Ec_iJO1366_core_53p95M,1165.7148746004307,1165.8859012854261
R_EX_12ppd__R_e,R_EX_12ppd__R_e,1165.8003849823212,1165.8003846309941
R_EX_12ppd__S_e,R_EX_12ppd__S_e,1165.8003849981108,1165.8003846152042
R_EX_14glucan_e,R_EX_14glucan_e,1165.8003848141482,1165.8003847991667
R_EX_15dap_e,R_EX_15dap_e,1165.8003848131195,1165.8003848001956
R_EX_23camp_e,R_EX_23camp_e,1165.800384808343,1165.800384804972
R_EX_23ccmp_e,R_EX_23ccmp_e,1165.800384809007,1165.8003848043077
R_EX_23cgmp_e,R_EX_23cgmp_e,1165.8003848084204,1165.8003848048943
R_EX_23cump_e,R_EX_23cump_e,1165.8003848094636,1165.800384803851
R_EX_23dappa_e,R_EX_23dappa_e,1165.800384817517,1165.8003847957984
R_EX_26dap__M_e,R_EX_26dap__M_e,1165.8003848121377,1165.8003848011765
R_EX_2ddglcn_e,R_EX_2ddglcn_e,1165.8003848327628,1165.8003847805517
R_EX_34dhpac_e,R_EX_34dhpac_e,1165.8003848066178,1165.8003848066974
R_EX_3amp_e,R_EX_3amp_e,1165.8003848084306,1165.8003848048845
R_EX_3cmp_e,R_EX_3cmp_e,1165.8003848091776,1165.800384804137
R_EX_3gmp_e,R_EX_3gmp_e,1165.8003848085166,1165.8003848047988
R_EX_3hcinnm_e,R_EX_3hcinnm_e,1165.8003848103508,1165.8003848029643
R_EX_3hpp_e,R_EX_3hpp_e,1165.8003848389003,1165.8003847744155
R_EX_3hpppn_e,R_EX_3hpppn_e,1165.8003848106805,1165.8003848026349
R_EX_3ump_e,R_EX_3ump_e,1165.8003848097087,1165.8003848036062
R_EX_4abut_e,R_EX_4abut_e,1165.800384817579,1165.8003847957364
R_EX_4hoxpacd_e,R_EX_4hoxpacd_e,1165.8003848066178,1165.8003848066974
R_EX_5dglcn_e,R_EX_5dglcn_e,1165.8003848772019,1165.8003847361133
R_EX_5mtr_e,R_EX_5mtr_e,1165.8009917695729,1165.7997778440579
R_EX_LalaDglu_e,R_EX_LalaDglu_e,1165.8003848111964,1165.8003848021187
R_EX_LalaDgluMdap_e,R_EX_LalaDgluMdap_e,1165.8003848088536,1165.8003848044618
R_EX_LalaDgluMdapDala_e,R_EX_LalaDgluMdapDala_e,1165.8003848084036,1165.8003848049116
R_EX_LalaLglu_e,R_EX_LalaLglu_e,1165.8003848112005,1165.8003848021144
R_EX_ac_e,R_EX_ac_e,1165.8003848634555,1165.8003847498599
R_EX_acac_e,R_EX_acac_e,1165.8003848225098,1165.8003847908055
R_EX_acald_e,R_EX_acald_e,1165.8003848463504,1165.800384766965
R_EX_acgal_e,R_EX_acgal_e,1165.8003848066244,1165.800384806691
R_EX_acgal1p_e,R_EX_acgal1p_e,1165.8003848066242,1165.8003848066908
R_EX_acgam_e,R_EX_acgam_e,1165.8003848153437,1165.8003847979717
R_EX_acgam1p_e,R_EX_acgam1p_e,1165.800384811939,1165.8003848013757
R_EX_acmana_e,R_EX_acmana_e,1165.8003848153433,1165.8003847979712
