,Lagrange_coef
10fthf_c,-0.015237740306952779
12dgr120_c,-0.00912889988465093
12dgr140_c,-0.010754849996641317
12dgr141_c,-0.011496027284048861
12dgr160_c,-0.012386318494486265
12dgr161_c,-0.013114598945472981
12dgr180_c,-0.014017023863040956
12dgr181_c,-0.01478872205134481
12ppd__R_c,1.0628257328106281e-05
12ppd__S_c,6.056489423690899e-06
13dpg_c,-0.001290378506329852
14dhncoa_c,-0.022474100442106057
14glucan_c,-0.0008572199223296168
15dap_c,-0.002188228207723976
1ddecg3p_c,-0.005285292333968417
1hdec9eg3p_c,-0.007280002288854944
1hdecg3p_c,-0.006913796470235407
1odec11eg3p_c,-0.008113058107293366
1odecg3p_c,-0.007729119081989005
1pyr5c_c,-0.003035263843464723
1tdec7eg3p_c,-0.00646872001300013
1tdecg3p_c,-0.006098272918039327
23dappa_c,-0.001241328761861518
23ddhb_c,-0.002650403194276412
23dhacoa_c,-0.019012545783017185
23dhb_c,-0.0030126552469645707
23dhba_c,-0.011765099415278263
23dhbzs_c,-0.004380614630806648
23dhdp_c,-0.004128833795673278
23dhmb_c,-0.0006933809759908897
23dhmp_c,-0.0011014204918847123
23doguln_c,-0.0005525752284188729
25aics_c,-0.008057037228905488
25dkglcn_c,-0.00030263942623019486
25drapp_c,-0.007253741188546331
26dap_LL_c,-0.002811417190679714
26dap__M_c,-0.0028125697129114005
2agpe120_c,-0.005902635726231044
2agpe140_c,-0.0067156088308445204
2agpe141_c,-0.007086247440786945
2agpe160_c,-0.007530162253277482
2agpe161_c,-0.007893641199815012
2agpe180_c,-0.008346837453100631
2agpe181_c,-0.00873340175972572
2agpg120_c,-0.005301887580800247
2agpg140_c,-0.006114860430803608
2agpg141_c,-0.006485505560171123
2agpg160_c,-0.0069315746735248195
2agpg161_c,-0.007295705406734219
2agpg180_c,-0.007746103444577006
2agpg181_c,-0.008132035980479188
2ahbut_c,-0.0014705198854915722
2amsa_c,-0.0009141819338062079
2aobut_c,-0.0013251107400689285
2cpr5p_c,-0.006181356461534039
2dda7p_c,-0.0014580334023812644
2ddecg3p_c,-0.004816307126343707
2ddg6p_c,-0.0014853788653184069
2ddglcn_c,-0.0005387892121913366
2dh3dgal_c,-0.0006847001030409856
2dh3dgal6p_c,-0.0015001687210645406
2dhguln_c,6.080164754623103e-05
2dhp_c,-0.0014763200538573243
2dmmq8_c,-0.02548257220910941
2dmmql8_c,-0.02511902744258638
2dr1p_c,-0.0011697865307530055
2dr5p_c,-0.0011761811986977808
2fe1s_c,-0.002095706554975581
2fe2s_c,-0.0033285719628404656
2h3oppan_c,-0.00022626068590098422
2hdec9eg3p_c,-0.006811536397190461
2hdecg3p_c,-0.006445198535061985
2ippm_c,-0.0027194674892472757
2mahmp_c,-0.006606659511924621
2mcacn_c,-0.0026060967251051318
2mcit_c,-0.0017786279109645875
2me4p_c,-0.0008174273248163459
2mecdp_c,-0.0016775326183132578
2obut_c,-0.0010972487240666355
2odec11eg3p_c,-0.007644218309808541
2odecg3p_c,-0.0072605469208762334
2ohph_c,-0.022385503172504238
2ombzl_c,-0.02228502012318695
2omhmbl_c,-0.02218427514307578
2ommbl_c,-0.02262771832259532
2omph_c,-0.02272820318726409
2oph_c,-0.022828802111626717
2oxpaccoa_c,-0.020555981200114377
2p4c2me_c,-0.007721484442823323
2pg_c,-0.0008099500657388467
2pglyc_c,-0.0008424592479154958
2sephchc_c,-0.005270990103962475
2shchc_c,-0.004585764227049062
2tdec7eg3p_c,-0.005999890963519139
2tdecg3p_c,-0.005629281363952443
2tpr3dpcoa_c,-0.01789859397076984
34hpp_c,-0.004209916020119818
35cgmp_c,-0.008766769803141665
3amac_c,-0.002025542835245376
3c2hmp_c,-0.0018967108851957275
3c3hmp_c,-0.001892142944823484
3c4mop_c,-0.002259028817883163
3dhguln_c,-0.00019060946821652315
3dhgulnp_c,-0.001140177927094124
3dhq_c,-0.0013442485032827318
3dhsk_c,-0.002171000171911344
3fe4s_c,-0.007073517677865995
3haACP_c,0.003079959906754231
3hadpcoa_c,-0.01818750520545979
3hbcoa_c,-0.01744368343062347
3hcddec5eACP_c,-0.0005356830200039773
3hcinnm_c,-0.004554813496388676
3hcmrs7eACP_c,-0.0013501038746230262
3hcpalm9eACP_c,-0.0021642849309820873
3hcvac11eACP_c,-0.0029901867076449636
3hdcoa_c,-0.019881357645302414
3hddcoa_c,-0.02069484614045898
3hddecACP_c,-0.00016795805348984892
3hdecACP_c,0.0006439006684253627
3hhcoa_c,-0.018256283922152464
3hhdcoa_c,-0.02232126282989793
3hhexACP_c,0.002267943638411638
3hmrsACP_c,-0.000979396426535668
3hocoa_c,-0.019068884372033856
3hoctACP_c,0.0014559273700695374
3hoctaACP_c,-0.002610008176052368
3hodcoa_c,-0.023144865482564926
3hpalmACP_c,-0.001794885518283682
3hpp_c,-0.0004994464633061087
3hpppn_c,-0.004174428195862338
3htdcoa_c,-0.02150850353615645
3ig3p_c,-0.00669245021214037
3mob_c,-0.0015211539173407267
3mop_c,-0.001927368391227941
3ocddec5eACP_c,-0.000904981581240235
3ocmrs7eACP_c,-0.0017194024358592839
3ocpalm9eACP_c,-0.002533703391348116
3ocvac11eACP_c,-0.003358064301818275
3odcoa_c,-0.02024437829648766
3oddcoa_c,-0.02105746661425748
3oddecACP_c,-0.0005381236920748953
3odecACP_c,0.0002738206039511371
3ohcoa_c,-0.018619265178920576
3ohdcoa_c,-0.022684753752211507
3ohexACP_c,0.0018978580122481587
3omrsACP_c,-0.0013497400039843613
3oocoa_c,-0.01943186563052638
3ooctACP_c,0.00108584174390606
3ooctdACP_c,-0.0029791101936752057
3ohodcoa_c,-0.02350620141136471
3opalmACP_c,-0.0021638975858815756
3ophb_c,-0.023142790754050593
3otdcoa_c,-0.021871942129701127
3oxdhscoa_c,-0.019741706618706428
3pg_c,-0.0008083225205934772
3php_c,-0.0011687743163014007
3psme_c,-0.0042758839012464935
3sala_c,-3802.0241207267204
4abut_c,-0.0014269294260679708
4abutn_c,-0.0014293474050554168
4abz_c,-0.004640236072892934
4adcho_c,-0.0048592915558027545
4ahmmp_c,-0.005179493228848432
4ampm_c,-0.006129061687726033
4c2me_c,-0.006771053534574994
4crsol_c,2.6159005213804795e-09
4fe4s_c,-0.0072205856484325506
4h2opntn_c,-0.0010574748699833075
4hbz_c,-0.0034751810385186327
4hthr_c,-0.0005087110181916213
4mhetz_c,-0.008324285771489975
4mop_c,-0.001947321529945963
4mpetz_c,-0.009273854230367575
4pasp_c,-0.0018122400925331807
4per_c,-0.0007650886862994923
4ppan_c,-0.0038923756745485195
4ppcys_c,-0.0069644512794256284
4r5au_c,-0.004786649015808098
56dura_c,-0.0029824505757665735
5aizc_c,-0.005901050017290373
5aop_c,-0.001732413088359073
5aprbu_c,-0.00572765281227864
5apru_c,-0.006096975252038008
5caiz_c,-0.005909373994649135
5dglcn_c,6.88014109368686e-05
5dh4dglc_c,-0.0009120510441478986
5drib_c,-0.00010292347663804093
5fthf_c,-0.015236791316602475
5mta_c,-0.008147071562865215
5mthf_c,-0.014864211652910608
5mtr_c,2.0080698615656293e-06
5prdmbz_c,2819.5179494360655
6hmhpt_c,-0.007239952581704407
6hmhptpp_c,-0.008666149352295555
6pgc_c,-0.0005625703320412695
6pgl_c,-0.00083532637670879
8aonn_c,-0.0027364788670680026
ACP_c,0.004160934029232097
LalaDglu_c,-0.0035787191816361056
LalaDgluMdap_c,-0.007224256952551784
LalaDgluMdapDala_c,-0.009043099394277516
LalaLglu_c,-0.0035750158392925473
N1aspmd_c,-0.006299659743543138
Nmtrp_c,-0.007684595379571709
Sfglutth_c,-0.006563703283565316
aacald_c,-9.00105410282241e-12
aacoa_c,-0.017806664682253392
aact_c,-0.00101004871516259
ac_c,-0.0003753911262006043
acACP_c,0.0034350821993662196
acac_c,-0.0011024622776884567
acald_c,-0.00037168549082807547
acanth_c,-0.005369370967250367
accoa_c,-0.017079593533717727
acetol_c,-0.00033219715013572677
acg5p_c,-0.0034272386761312872
acg5sa_c,-0.0029431124498972474
acgam_c,-0.00162171136775425
acgam1p_c,-0.002550362724347722
acgam6p_c,-0.0025691201242486715
acglc__D_c,-5.935483104482241e-06
acglu_c,-0.0029435877144136694
acmalt_c,-0.00037744155457308755
acmana_c,-0.0016195517227464902
acmanap_c,-0.0025691201623625473
acmum6p_c,-0.0037211309948056836
acnam_c,-0.0023053411222976688
acon_C_c,-0.00219715138732329
acon_T_c,-0.00219715138732329
aconm_c,-0.0020733524335048584
acorn_c,-0.0032668808902017754
acser_c,-0.0012838240984654238
actACP_c,0.0027098742805916403
actp_c,-0.0008555364953470016
ade_c,-0.007324627614777267
adn_c,-0.007919197685562332
adocbi_c,-2819.5258648782064
adocbip_c,-2819.5268144466654
adocbl_c,-0.008281678658190088
adp_c,-0.009339280548223956
adpglc_c,-0.009171670746600878
adphep_DD_c,-0.009412248045230567
adphep_LD_c,-0.009415119311790184
adprib_c,-0.009470946005992758
ag_c,-4727.653328348436
agdpcbi_c,-2819.5351146677503
agm_c,-0.003953061720788323
ahcys_c,-0.011465024735735423
ahdt_c,-0.009042862129639935
aicar_c,-0.006571946946796654
air_c,-0.0056007492664820295
akg_c,-0.0014232987402239107
ala_B_c,-0.0010155104925240004
ala__D_c,-0.0010009266880259642
ala__L_c,-0.0010032695630022301
alaala_c,-0.0028320955415548797
alac__S_c,-0.0010620235003752233
alatrna_c,-0.000678523054519726
all__D_c,1.0012462098387206e-05
all6p_c,-0.000809870176263351
alltn_c,-0.004051279509287825
alltt_c,-0.0032961121982221456
allul6p_c,-0.0007723670961705936
altrn_c,0.0002575932998565603
amet_c,-0.011341225781916991
ametam_c,-0.011027517240701652
amob_c,2.3612952484908324e-11
amp_c,-0.008863049908341816
anhgm_c,-0.006051579133378189
anhgm3p_c,-0.014098502844863125
anhgm4p_c,-0.01591884198348536
anhm_c,-0.003603123493199334
anhm3p_c,-0.01165136681361567
anhm4p_c,-0.013472409497620266
anth_c,-0.004640210132286552
ap4a_c,-0.018571961135211316
ap5a_c,-0.019053729862825587
apg120_c,-0.014849359012411382
apg140_c,-0.017288275781769457
apg141_c,-0.018400256763903357
apg160_c,-0.019738332635177245
apg161_c,-0.020830154219996923
apg180_c,-0.022182017021515354
apg181_c,-0.02334111211170244
apoACP_c,0.011158655108500923
appl_c,-0.0006480829549602411
aps_c,-0.008757354792384958
ara5p_c,-0.0006663899880143742
arab__L_c,-9.746450687812614e-07
aragund_c,-935.4085489432914
arbt6p_c,-3801.9849827848348
arbtn_c,-4182.784377165829
arbtn_fe3_c,-4182.784246766654
arg__L_c,-0.004300659028212539
argsuc_c,-0.005779242415697387
argtrna_c,-0.002327213939787582
ascb6p_c,-0.0014987385298437285
asn__L_c,-0.0020200943465704013
asntrna_c,-0.001186908789051646
aso3_c,-3802.0333554195113
aso4_c,-3802.0329087672762
asp__L_c,-0.0013295007082154177
aspsa_c,-0.0013261090143339696
asptrna_c,-0.0008416879743018863
athr__L_c,-0.0009592237649561842
athtp_c,-0.024044870269557306
atp_c,-0.009822368918189099
b2coa_c,-0.018267708513433345
bbtcoa_c,-3802.2192562302757
betald_c,-4042.1684654548812
bglycogen_c,-0.0003037407987517057
bmoco_c,-0.02511111538332242
bmoco1gdp_c,-0.03341133648757498
bmocogdp_c,-0.0417115575918271
btal_c,-0.001184759320948011
btcoa_c,-0.0178923669964836
btn_c,-0.017367658397800526
btnso_c,-0.016908263967419537
but_c,-0.0011881645937641485
but2eACP_c,0.0022554315714113982
butACP_c,0.0026214572645942608
butso3_c,-0.0015775440760364397
bwco_c,-3106.258611520421
bwco1gdp_c,-3106.2669117415057
bwcogdp_c,-3106.2752119625907
ca2_c,2.890144777624673e-06
camp_c,-0.009217205544153239
cbasp_c,-0.002893304965248335
cbi_c,-2819.5175932801694
cbl1_c,-9.939383334657464e-06
cbm_c,-0.0006457207015757059
cbp_c,-0.0012118761690777234
cd2_c,-4182.78728542075
cddec5eACP_c,-0.0009951103051313796
cdec3eACP_c,-0.00018068945051233023
cdg_c,-0.0068965959110774385
cdp_c,-0.006536763552738774
cdpdddecg_c,-0.01603378996124701
cdpdhdec9eg_c,-0.020016864465791304
cdpdhdecg_c,-0.01929048806555317
cdpdodec11eg_c,-0.021694631961367623
cdpdodecg_c,-0.02092201346957662
cdpdtdec7eg_c,-0.01840096267564712
cdpdtdecg_c,-0.01765973823157464
cechddd_c,-0.0033933556209225038
cenchddd_c,-0.00377374091688009
cgly_c,-0.003647307625200049
chol_c,-4042.1681034891208
chor_c,-0.004160969268105648
chtbs6p_c,-0.005015872076417939
cinnm_c,-0.005017888295672347
cit_c,-0.0013762166757446766
citr__L_c,-0.003629397018919651
ckdo_c,-0.006834499843961875
cl_c,2.7969661560925275e-06
cmp_c,-0.006044520204515244
co2_c,0.00015248883078935815
coa_c,-0.01635043269875391
cobalt2_c,5.8031975141766286e-05
colipa_c,-0.044868430628428144
cpe160_c,-0.015346611821823107
cpe180_c,-0.01703199851691353
cpg160_c,-0.014739127610840211
cpg180_c,-0.01641203993571789
cpgn_c,-4182.782675022469
cpgn_un_c,-4182.782805421644
cph4_c,-0.007228325361099423
cpmp_c,-0.007941663932240843
cpppg3_c,-0.021610313949955058
crn_c,-3396.842181538747
crn__D_c,-3396.842181538747
crnDcoa_c,-3396.858899091362
crncoa_c,-3396.858899091362
csn_c,-0.004498741275655559
ctbt_c,-3396.843006579322
ctbtcoa_c,-3396.8597241319367
ctp_c,-0.007022526558803952
cu_c,-0.00026104255555561595
cu2_c,9.592601461770063e-06
cyan_c,1914.3592778950613
cynt_c,-0.0014667476979755105
cys__D_c,-0.0022339369348876354
cys__L_c,-0.002233102968950916
cyst__L_c,-0.004028800123272917
cystrna_c,-0.001293466114459332
cytd_c,-0.005112640934218649
dad_2_c,-0.008376355958615517
dad_5_c,-0.00829076784112499
dadp_c,-0.009791546305201362
damp_c,-0.009309810552581087
dann_c,-0.014077704687848521
datp_c,-0.010274815165324835
db4p_c,-0.0011628625666065357
dc2coa_c,-0.020705343328556964
dca_c,-0.003620389088375031
dcaACP_c,0.0001854054755364456
dcacoa_c,-0.020329764562535137
dcamp_c,-0.010339432349861809
dcdp_c,-0.006984189544891178
dcmp_c,-0.006501152111616762
dctp_c,-0.007467362986912854
dcyt_c,-0.005558918113236067
dd2coa_c,-0.021519232001100282
ddca_c,-0.00442994466851165
ddcaACP_c,-0.0006263666971493217
ddcacoa_c,-0.021146062950426744
ddcap_c,-0.004437816616579351
dgdp_c,-0.009341845052502431
dgmp_c,-0.008859633506343794
dgslnt_c,-3434.959547501976
dgsn_c,-0.00791931783855315
dgtp_c,-0.009825143933487561
dha_c,7.96763767502702e-05
dhap_c,-0.0008346003227020947
dhcinnm_c,-0.00413570667708244
dhf_c,-0.015280627443648866
dhgly_c,-0.005072865380349502
dhmpt_c,-0.007137858105822088
dhmptp_c,-0.009042862129639935
dhna_c,-0.0057651765405860415
dhnpt_c,-0.007137858105822088
dhor__S_c,-0.0032522357794518603
dhpmp_c,-0.008078806818272541
dhpppn_c,-0.0037553213751406606
dhpt_c,-0.012700976083897178
dhptd_c,-0.0006871630927720952
dhptdn_c,-0.0006493012468029836
didp_c,-0.008645515963003949
dimp_c,-0.008157050886330912
din_c,-0.0072185022121575215
ditp_c,-0.009120044901960564
dmbzid_c,2819.5194976193256
dmlz_c,-0.0074836496074706695
dmpp_c,-0.003063632169492432
dms_c,-4182.778411660947
dmso_c,-4182.777957833664
dnad_c,-0.014062249531916444
dpcoa_c,-0.015400852667358009
dsbdox_c,-0.00018928972309486693
dsbdrd_c,0.00018928970971268273
dscl_c,-0.023085010107353483
dtbt_c,-0.01569177606927848
dtdp_c,-0.006235122325030531
dtdp4aaddg_c,-0.00840398786586074
dtdp4addg_c,-0.007208346941913426
dtdp4d6dg_c,-0.006885683455157485
dtdp4d6dm_c,-0.006888825028224507
dtdpglu_c,-0.006059989816399234
dtdprmn_c,-0.006520189070752929
dtmp_c,-0.005752586837848981
dttp_c,-0.006718309466427609
dudp_c,-0.0058225853135555
dump_c,-0.005341665172674814
duri_c,-0.004398618433717103
dutp_c,-0.006306065402771649
dxyl_c,-0.00023408174901245348
dxyl5p_c,-0.0011836502078900546
e4p_c,-0.000761683081104396
egmeACP_c,0.0020577608135339005
eig3p_c,-0.0041682037246304066
enter_c,-0.014216302073755691
epmeACP_c,0.0012471091153005184
etha_c,-0.0002479356919530718
ethso3_c,-0.0007644702997684522
etoh_c,-9.719831660398795e-06
f1p_c,-0.0007528755910756977
f6p_c,-0.0006660840669696789
fad_c,-0.01988059505399174
fadh2_c,-0.019511368438481745
fald_c,9.82508629227128e-06
fc1p_c,-0.0011527022642103264
fcl__L_c,-0.0002031338330402664
