,Reaction_ID,forward,reverse
R_DM_4crsol_c,R_DM_4crsol_c,1381.309683249873,1381.3096760231356
R_DM_5drib_c,R_DM_5drib_c,1381.1675177579855,1381.451856147572
R_DM_aacald_c,R_DM_aacald_c,1381.3096796240714,1381.3096796489376
R_DM_amob_c,R_DM_amob_c,1381.3096796691214,1381.3096796038874
R_DM_mththf_c,R_DM_mththf_c,1381.3731649286099,1381.2461972620638
R_DM_oxam_c,R_DM_oxam_c,1381.2033457929742,1381.4160216662935
R_BIOMASS_Ec_iJO1366_WT_53p95M,R_BIOMASS_Ec_iJO1366_WT_53p95M,1381.6347178701462,1380.9847178701464
R_BIOMASS_Ec_iJO1366_core_53p95M,R_BIOMASS_Ec_iJO1366_core_53p95M,1381.0009163526086,1381.6185119534941
R_EX_12ppd__R_e,R_EX_12ppd__R_e,1381.3167490186777,1381.3026102905114
R_EX_12ppd__S_e,R_EX_12ppd__S_e,1381.313708610869,1381.3056506738913
R_EX_14glucan_e,R_EX_14glucan_e,1381.3096796418106,1381.3096796311986
R_EX_15dap_e,R_EX_15dap_e,1381.309679638534,1381.3096796344762
R_EX_23camp_e,R_EX_23camp_e,1381.3096796369518,1381.309679636058
R_EX_23ccmp_e,R_EX_23ccmp_e,1381.3096796371715,1381.3096796358375
R_EX_23cgmp_e,R_EX_23cgmp_e,1381.3096796369773,1381.3096796360317
R_EX_23cump_e,R_EX_23cump_e,1381.3096796373325,1381.3096796356767
R_EX_23dappa_e,R_EX_23dappa_e,1381.3096796401205,1381.3096796328894
R_EX_26dap__M_e,R_EX_26dap__M_e,1381.3096796380762,1381.3096796349341
R_EX_2ddglcn_e,R_EX_2ddglcn_e,1381.309679644911,1381.3096796280977
R_EX_34dhpac_e,R_EX_34dhpac_e,1381.3096796364653,1381.3096796365448
R_EX_3amp_e,R_EX_3amp_e,1381.3096796369698,1381.3096796360392
R_EX_3cmp_e,R_EX_3cmp_e,1381.3096796372104,1381.309679635799
R_EX_3gmp_e,R_EX_3gmp_e,1381.3096796369975,1381.3096796360114
R_EX_3hcinnm_e,R_EX_3hcinnm_e,1381.309679637453,1381.3096796355564
R_EX_3hpp_e,R_EX_3hpp_e,1381.3096796455793,1381.3096796274303
R_EX_3hpppn_e,R_EX_3hpppn_e,1381.309679637544,1381.3096796354655
R_EX_3ump_e,R_EX_3ump_e,1381.3096796373916,1381.3096796356183
R_EX_4abut_e,R_EX_4abut_e,1381.309679639641,1381.3096796333684
R_EX_4hoxpacd_e,R_EX_4hoxpacd_e,1381.309679636465,1381.3096796365446
R_EX_5dglcn_e,R_EX_5dglcn_e,1381.3236621350995,1381.2956972794475
R_EX_5mtr_e,R_EX_5mtr_e,1381.3118714390846,1381.307487837402
R_EX_LalaDglu_e,R_EX_LalaDglu_e,1381.3096796377254,1381.3096796352843
R_EX_LalaDgluMdap_e,R_EX_LalaDgluMdap_e,1381.309679637084,1381.3096796359257
R_EX_LalaDgluMdapDala_e,R_EX_LalaDgluMdapDala_e,1381.3096796369578,1381.309679636051
R_EX_LalaLglu_e,R_EX_LalaLglu_e,1381.3096796377263,1381.3096796352825
R_EX_ac_e,R_EX_ac_e,1381.3096796485984,1381.3096796244104
R_EX_acac_e,R_EX_acac_e,1381.3096796405828,1381.309679632427
R_EX_acald_e,R_EX_acald_e,1381.3096796486843,1381.3096796243256
R_EX_acgal_e,R_EX_acgal_e,1381.309679636471,1381.3096796365378
R_EX_acgal1p_e,R_EX_acgal1p_e,1381.3096796364714,1381.3096796365382
R_EX_acgam_e,R_EX_acgam_e,1381.3096796392647,1381.3096796337452
R_EX_acgam1p_e,R_EX_acgam1p_e,1381.3096796382572,1381.309679634752
R_EX_acmana_e,R_EX_acmana_e,1381.3096796392647,1381.3096796337452
R_EX_acmum_e,R_EX_acmum_e,1381.309679638096,1381.3096796349137
R_EX_acnam_e,R_EX_acnam_e,1381.3096796384275,1381.309679634582
R_EX_acolipa_e,R_EX_acolipa_e,1381.3096796365553,1381.3096796364548
R_EX_acser_e,R_EX_acser_e,1381.3096796399957,1381.3096796330144
R_EX_ade_e,R_EX_ade_e,1381.3096796370758,1381.3096796359343
R_EX_adn_e,R_EX_adn_e,1381.3096796370287,1381.3096796359805
R_EX_adocbl_e,R_EX_adocbl_e,1381.3096796370041,1381.3096796360053
R_EX_ag_e,R_EX_ag_e,1381.3096796364714,1381.309679636538
R_EX_agm_e,R_EX_agm_e,1381.3096796376137,1381.3096796353962
R_EX_akg_e,R_EX_akg_e,1381.3096796396512,1381.3096796333582
R_EX_ala_B_e,R_EX_ala_B_e,1381.309679640936,1381.3096796320726
R_EX_ala__D_e,R_EX_ala__D_e,1381.309679640953,1381.3096796320565
R_EX_ala__L_e,R_EX_ala__L_e,1381.3096796409998,1381.30967963201
R_EX_alaala_e,R_EX_alaala_e,1381.309679638068,1381.3096796349412
R_EX_all__D_e,R_EX_all__D_e,1381.3220322467198,1381.2973271367543
R_EX_alltn_e,R_EX_alltn_e,1381.309679637577,1381.3096796354323
R_EX_amp_e,R_EX_amp_e,1381.3096796369698,1381.3096796360392
R_EX_anhgm_e,R_EX_anhgm_e,1381.3096796372022,1381.309679635807
R_EX_arab__L_e,R_EX_arab__L_e,1381.3126797873967,1381.3066794921292
R_EX_arbt_e,R_EX_arbt_e,1381.3096796364653,1381.309679636545
R_EX_arbtn_e,R_EX_arbtn_e,1381.3096796364673,1381.3096796365423
R_EX_arbtn_fe3_e,R_EX_arbtn_fe3_e,1381.3096796364673,1381.3096796365423
R_EX_arg__L_e,R_EX_arg__L_e,1381.309679637513,1381.3096796354957
R_EX_ascb__L_e,R_EX_ascb__L_e,1381.309679644759,1381.3096796282507
R_EX_asn__L_e,R_EX_asn__L_e,1381.3096796387154,1381.3096796342938
R_EX_aso3_e,R_EX_aso3_e,1381.3096796364648,1381.309679636545
R_EX_asp__L_e,R_EX_asp__L_e,1381.3096796398822,1381.3096796331272
R_EX_btn_e,R_EX_btn_e,1381.309679636717,1381.309679636292
R_EX_but_e,R_EX_but_e,1381.3096796402847,1381.3096796327252
R_EX_butso3_e,R_EX_butso3_e,1381.3096796393518,1381.3096796336577
R_EX_ca2_e,R_EX_ca2_e,1381.309677529056,1381.3096817439534
R_EX_cbi_e,R_EX_cbi_e,1381.30967963646,1381.30967963655
R_EX_cbl1_e,R_EX_cbl1_e,1381.3096071610223,1381.3097521119914
R_EX_cd2_e,R_EX_cd2_e,1381.309679636467,1381.3096796365421
R_EX_cgly_e,R_EX_cgly_e,1381.3096796377015,1381.3096796353082
R_EX_chol_e,R_EX_chol_e,1381.3096796364662,1381.3096796365433
R_EX_chtbs_e,R_EX_chtbs_e,1381.3096796375733,1381.3096796354366
R_EX_cit_e,R_EX_cit_e,1381.3096796397547,1381.3096796332545
R_EX_cl_e,R_EX_cl_e,1381.309677529056,1381.3096817439534
R_EX_cm_e,R_EX_cm_e,1381.309679636469,1381.309679636541
R_EX_cmp_e,R_EX_cmp_e,1381.3096796372101,1381.3096796357988
R_EX_co2_e,R_EX_co2_e,1381.42981371567,1381.189556004629
R_EX_cobalt2_e,R_EX_cobalt2_e,1381.3096795564497,1381.3096797165597
R_EX_colipa_e,R_EX_colipa_e,1381.3096796365562,1381.3096796364537
R_EX_colipap_e,R_EX_colipap_e,1381.3096796365546,1381.3096796364541
R_EX_cpgn_e,R_EX_cpgn_e,1381.309679636467,1381.3096796365421
R_EX_cpgn_un_e,R_EX_cpgn_un_e,1381.3096796364669,1381.309679636542
R_EX_crn_e,R_EX_crn_e,1381.3096796364623,1381.3096796365471
R_EX_crn__D_e,R_EX_crn__D_e,1381.3096796364623,1381.3096796365471
R_EX_csn_e,R_EX_csn_e,1381.3096796374657,1381.3096796355444
R_EX_cu_e,R_EX_cu_e,1381.309679665903,1381.3096796071063
R_EX_cu2_e,R_EX_cu2_e,1381.3096794947467,1381.3096797782623
R_EX_cyan_e,R_EX_cyan_e,1381.3096796364734,1381.309679636536
R_EX_cynt_e,R_EX_cynt_e,1381.3096796395564,1381.309679633453
R_EX_cys__D_e,R_EX_cys__D_e,1381.3096796384975,1381.3096796345123
R_EX_cys__L_e,R_EX_cys__L_e,1381.3096796384905,1381.3096796345196
R_EX_cytd_e,R_EX_cytd_e,1381.309679637344,1381.3096796356656
R_EX_dad_2_e,R_EX_dad_2_e,1381.3096796369978,1381.3096796360123
R_EX_damp_e,R_EX_damp_e,1381.3096796369448,1381.309679636065
R_EX_dca_e,R_EX_dca_e,1381.309679637709,1381.3096796353007
R_EX_dcmp_e,R_EX_dcmp_e,1381.309679637158,1381.3096796358511
R_EX_dcyt_e,R_EX_dcyt_e,1381.3096796372727,1381.3096796357368
R_EX_ddca_e,R_EX_ddca_e,1381.3096796374746,1381.3096796355342
R_EX_dgmp_e,R_EX_dgmp_e,1381.30967963697,1381.3096796360394
R_EX_dgsn_e,R_EX_dgsn_e,1381.3096796370285,1381.3096796359803
R_EX_dha_e,R_EX_dha_e,1381.3626740866334,1381.2566872194484
R_EX_dimp_e,R_EX_dimp_e,1381.3096796370146,1381.309679635995
R_EX_din_e,R_EX_din_e,1381.3096796370844,1381.3096796359248
R_EX_dms_e,R_EX_dms_e,1381.3096796364675,1381.3096796365423
R_EX_dmso_e,R_EX_dmso_e,1381.3096796364669,1381.309679636542
R_EX_dopa_e,R_EX_dopa_e,1381.3096796364773,1381.3096796365314
R_EX_doxrbcn_e,R_EX_doxrbcn_e,1381.309679636469,1381.309679636541
R_EX_dtmp_e,R_EX_dtmp_e,1381.3096796372506,1381.3096796357593
R_EX_dump_e,R_EX_dump_e,1381.3096796373125,1381.3096796356976
R_EX_duri_e,R_EX_duri_e,1381.3096796374884,1381.3096796355212
R_EX_eca4colipa_e,R_EX_eca4colipa_e,1381.3096796365141,1381.3096796364953
R_EX_enlipa_e,R_EX_enlipa_e,1381.3096796365699,1381.3096796364393
R_EX_enter_e,R_EX_enter_e,1381.309679636775,1381.3096796362352
R_EX_etha_e,R_EX_etha_e,1381.309679654587,1381.3096796184227
R_EX_ethso3_e,R_EX_ethso3_e,1381.3096796424677,1381.3096796305413
R_EX_etoh_e,R_EX_etoh_e,1381.3096801040704,1381.3096791689393
R_EX_f6p_e,R_EX_f6p_e,1381.3096796433172,1381.3096796296927
