,Lagrange_coef
10fthf_c,-0.011833657960807535
12dgr120_c,-0.0069471129695714146
12dgr140_c,-0.008172566165754201
12dgr141_c,-0.008795476161903655
12dgr160_c,-0.009403331387467505
12dgr161_c,-0.010012777602474286
12dgr180_c,-0.010633717647042087
12dgr181_c,-0.0112842747523202
12ppd__R_c,7.059185572596021e-06
12ppd__S_c,1.961123293617486e-06
13dpg_c,-0.0008823603441720363
14dhncoa_c,-0.019933395517223448
14glucan_c,-0.001288771595625721
15dap_c,-0.0025696516095695438
1ddecg3p_c,-0.003967963264786266
1hdec9eg3p_c,-0.005503415468391434
1hdecg3p_c,-0.005195900694344286
1odec11eg3p_c,-0.00613364841184833
1odecg3p_c,-0.005810993543481002
1pyr5c_c,-0.0021357593429810534
1tdec7eg3p_c,-0.004891991564217258
1tdecg3p_c,-0.004580734075688758
23dappa_c,-0.00151794964672069
23ddhb_c,-0.001686256054410562
23dhacoa_c,-0.0167758558007846
23dhb_c,-0.0019876966793309692
23dhba_c,-0.010249389296813408
23dhbzs_c,-0.0031723847539121583
23dhdp_c,-0.0026091827237296624
23dhmb_c,-0.00014337524354336332
23dhmp_c,-0.00047843333726315274
23doguln_c,-0.00012540716389836516
25aics_c,-0.005980265086037526
25dkglcn_c,0.00012632257135940697
25drapp_c,-0.00610872324223218
26dap_LL_c,-0.0023989358854110622
26dap__M_c,-0.0024000838272580124
2agpe120_c,-0.005320378482153867
2agpe140_c,-0.005933089544414281
2agpe141_c,-0.006244613944991848
2agpe160_c,-0.006546976345373496
2agpe161_c,-0.006850880550033753
2agpe180_c,-0.007163790637112662
2agpe181_c,-0.0074900843395284055
2agpg120_c,-0.004425699973663594
2agpg140_c,-0.005038408270320704
2agpg141_c,-0.005349945025542333
2agpg160_c,-0.005655107461133368
2agpg161_c,-0.005959661067138018
2agpg180_c,-0.006269130613933607
2agpg181_c,-0.00659464596731426
2ahbut_c,-0.000790444240517804
2amsa_c,-0.0008458978306296692
2aobut_c,-0.001168205297572702
2cpr5p_c,-0.004427200255403574
2dda7p_c,-0.000701849655116069
2ddecg3p_c,-0.0040184537947637365
2ddg6p_c,-0.000670459817044675
2ddglcn_c,-2.1875219744980285e-05
2dh3dgal_c,-0.00037076209525708955
2dh3dgal6p_c,-0.0007387843431535763
2dhguln_c,0.000457219216463711
2dhp_c,-0.0007789154686988777
2dmmq8_c,-0.01943490843160416
2dmmql8_c,-0.019136694034330333
2dr1p_c,-0.0008378897592777415
2dr5p_c,-0.0008419416612582227
2fe1s_c,-0.001387758974044352
2fe2s_c,-0.0031894745654801496
2h3oppan_c,0.00010951665255584088
2hdec9eg3p_c,-0.005554099284154944
2hdecg3p_c,-0.005246915152748399
2ippm_c,-0.0013290087012182614
2mahmp_c,-0.005515217534439059
2mcacn_c,-0.0009371270427286872
2mcit_c,-0.00026586837626757417
2me4p_c,-0.0005066108061226687
2mecdp_c,-0.001959154771206124
2obut_c,-0.0005223400602473358
2odec11eg3p_c,-0.006184585706345908
2odecg3p_c,-0.005861902184934222
2ohph_c,-0.01690856138841435
2ombzl_c,-0.016850002174509014
2omhmbl_c,-0.016791899118776203
2ommbl_c,-0.017131248644078532
2omph_c,-0.017189805704843023
2oph_c,-0.017247953247147993
2oxpaccoa_c,-0.018405066865459608
2p4c2me_c,-0.006868334868947584
2pg_c,-0.00018268058319801945
2pglyc_c,-0.0003146179616560165
2sephchc_c,-0.003054982271702686
2shchc_c,-0.0028711083163768256
2tdec7eg3p_c,-0.004942692379060695
2tdecg3p_c,-0.004631163956822821
2tpr3dpcoa_c,-0.016917887668503963
34hpp_c,-0.002906177872102807
35cgmp_c,-0.007862258712121123
3amac_c,-0.0012341017353552826
3c2hmp_c,-0.000680057186399324
3c3hmp_c,-0.0006761037034954143
3c4mop_c,-0.0009814025701962376
3dhguln_c,0.00017562100141939077
3dhgulnp_c,-0.0004958419791249319
3dhq_c,-0.0006914315580377247
3dhsk_c,-0.0013439303842768275
3fe4s_c,-0.005957781451492452
3haACP_c,0.002323971102399825
3hadpcoa_c,-0.016124927541108794
3hbcoa_c,-0.01586584936587576
3hcddec5eACP_c,-0.0004330809277695064
3hcinnm_c,-0.003353781144341886
3hcmrs7eACP_c,-0.0010473408508830371
3hcpalm9eACP_c,-0.0016613049542246688
3hcvac11eACP_c,-0.0022855560701455545
3hdcoa_c,-0.01770340774432633
3hddcoa_c,-0.018315317732044048
3hddecACP_c,-0.00012443074873405658
3hdecACP_c,0.00048750079081840857
3hhcoa_c,-0.016478451774085794
3hhdcoa_c,-0.01953828965510001
3hhexACP_c,0.0017118219455918302
3hmrsACP_c,-0.0007359344754709116
3hocoa_c,-0.017091054122629724
3hoctACP_c,0.001099672788786412
3hoctaACP_c,-0.0019659446001317705
3hodcoa_c,-0.020160931766724562
3hpalmACP_c,-0.0013510697523635672
3hpp_c,-3.654752308102743e-06
3hpppn_c,-0.003043666670896614
3htdcoa_c,-0.01892573956451463
3ig3p_c,-0.005160691776636349
3mob_c,-0.000797054230092966
3mop_c,-0.001130275016336106
3ocddec5eACP_c,-0.0007451901483423818
3ocmrs7eACP_c,-0.0013594500714559125
3ocpalm9eACP_c,-0.001973562408930167
3ocvac11eACP_c,-0.0025964720796362362
3odcoa_c,-0.018005700101419057
3oddcoa_c,-0.018617602814806768
3oddecACP_c,-0.0004373319005277053
3odecACP_c,0.0001747072996591252
3ohcoa_c,-0.016780679616317073
3ohdcoa_c,-0.019840936619106363
3ohexACP_c,0.0013990162488298173
3omrsACP_c,-0.0010490269047706928
3oocoa_c,-0.0173932819672371
3ooctACP_c,0.0007868670920235114
3ooctdACP_c,-0.00227786875487466
3ohodcoa_c,-0.020461932769468682
3opalmACP_c,-0.0016629318436662502
3ophb_c,-0.017165427742636324
3otdcoa_c,-0.019228424454062573
3oxdhscoa_c,-0.017360397804352504
3pg_c,-0.00017494347711489463
3php_c,-0.00048195819943967126
3psme_c,-0.002533644607687036
3sala_c,-4345.124561951847
4abut_c,-0.001217494678728472
4abutn_c,-0.0016276639361399235
4abz_c,-0.0032813622489261014
4adcho_c,-0.003520446592434076
4ahmmp_c,-0.004120915883577616
4ampm_c,-0.004792378864121938
4c2me_c,-0.006195917446462634
4crsol_c,2.264075305903255e-09
4fe4s_c,-0.005960215625057917
4h2opntn_c,-0.0004817237264038438
4hbz_c,-0.0023368902706845615
4hthr_c,-0.0004434582361628329
4mhetz_c,-0.007247353008076458
4mop_c,-0.0010659025523098906
