,0
R_DM_4crsol_c,6.559796247529448e-06
R_DM_5drib_c,-0.22730042967486952
R_DM_aacald_c,-1.205012267746497e-08
R_DM_amob_c,5.9307694755261764e-08
R_DM_mththf_c,0.10121119076347895
R_DM_oxam_c,-0.13445081331747133
R_BIOMASS_Ec_iJO1366_WT_53p95M,0.5899999999999181
R_BIOMASS_Ec_iJO1366_core_53p95M,-0.5605868030161218
R_EX_12ppd__R_e,0.009834859824195519
R_EX_12ppd__S_e,0.0027365096193534555
R_EX_14glucan_e,6.992195267230272e-09
R_EX_15dap_e,3.4378899727016687e-09
R_EX_23camp_e,1.014086592476815e-09
R_EX_23ccmp_e,1.529542714706622e-09
R_EX_23cgmp_e,1.0629719326971099e-09
R_EX_23cump_e,1.8610535335028544e-09
R_EX_23dappa_e,5.908532330067828e-09
R_EX_26dap__M_e,3.698687578435056e-09
R_EX_2ddglcn_e,5.368954134610249e-07
R_EX_34dhpac_e,-7.935341272968799e-11
R_EX_3amp_e,1.1175416148034856e-09
R_EX_3cmp_e,1.7610091163078323e-09
R_EX_3gmp_e,1.1764313967432827e-09
R_EX_3hcinnm_e,2.6145698939217255e-09
R_EX_3hpp_e,0.0017979093256599299
R_EX_3hpppn_e,2.8917384042870253e-09
R_EX_3ump_e,2.2062067728256807e-09
R_EX_4abut_e,7.378730515483767e-09
R_EX_4hoxpacd_e,-7.958078640513122e-11
R_EX_5dglcn_e,0.929175922999093
R_EX_5mtr_e,0.003978961362463451
R_EX_LalaDglu_e,3.3219293982256204e-09
R_EX_LalaDgluMdap_e,1.490207068854943e-09
R_EX_LalaDgluMdapDala_e,1.1582415027078241e-09
R_EX_LalaLglu_e,3.325340003357269e-09
R_EX_ac_e,0.18581803289794152
R_EX_acac_e,1.955004336195998e-08
R_EX_acald_e,3.046625351998955e-08
R_EX_acgal_e,-6.662048690486699e-11
R_EX_acgal1p_e,-6.662048690486699e-11
R_EX_acgam_e,6.594291335204616e-09
R_EX_acgam1p_e,4.458797775441781e-09
R_EX_acmana_e,6.594291335204616e-09
R_EX_acmum_e,4.677985998569056e-09
R_EX_acnam_e,5.873289410374127e-09
