,Reaction_ID,forward,reverse
R_DM_4crsol_c,R_DM_4crsol_c,1448.6700231768878,1448.6700166170915
R_DM_5drib_c,R_DM_5drib_c,1448.5563741401625,1448.7836745698373
R_DM_aacald_c,R_DM_aacald_c,1448.6700198909643,1448.6700199030145
R_DM_amob_c,R_DM_amob_c,1448.6700199266436,1448.670019867336
R_DM_mththf_c,R_DM_mththf_c,1448.72062637626,1448.6194151854966
R_DM_oxam_c,R_DM_oxam_c,1448.6027960501253,1448.7372468634428
R_BIOMASS_Ec_iJO1366_WT_53p95M,R_BIOMASS_Ec_iJO1366_WT_53p95M,1448.9650499331597,1448.3750499331597
R_BIOMASS_Ec_iJO1366_core_53p95M,R_BIOMASS_Ec_iJO1366_core_53p95M,1448.389753611522,1448.9503404145382
R_EX_12ppd__R_e,R_EX_12ppd__R_e,1448.674937335247,1448.6651024754228
R_EX_12ppd__S_e,R_EX_12ppd__S_e,1448.6713881524454,1448.668651642826
R_EX_14glucan_e,R_EX_14glucan_e,1448.6700199004854,1448.6700198934932
R_EX_15dap_e,R_EX_15dap_e,1448.670019898708,1448.6700198952701
R_EX_23camp_e,R_EX_23camp_e,1448.6700198974968,1448.6700198964827
R_EX_23ccmp_e,R_EX_23ccmp_e,1448.670019897754,1448.6700198962244
R_EX_23cgmp_e,R_EX_23cgmp_e,1448.6700198975207,1448.6700198964577
R_EX_23cump_e,R_EX_23cump_e,1448.6700198979202,1448.670019896059
R_EX_23dappa_e,R_EX_23dappa_e,1448.6700198999438,1448.6700198940352
R_EX_26dap__M_e,R_EX_26dap__M_e,1448.670019898839,1448.6700198951403
R_EX_2ddglcn_e,R_EX_2ddglcn_e,1448.6700201654373,1448.670019628542
R_EX_34dhpac_e,R_EX_34dhpac_e,1448.67001989695,1448.6700198970293
R_EX_3amp_e,R_EX_3amp_e,1448.6700198975484,1448.6700198964309
R_EX_3cmp_e,R_EX_3cmp_e,1448.6700198978697,1448.6700198961087
R_EX_3gmp_e,R_EX_3gmp_e,1448.6700198975775,1448.670019896401
R_EX_3hcinnm_e,R_EX_3hcinnm_e,1448.6700198982967,1448.6700198956821
R_EX_3hpp_e,R_EX_3hpp_e,1448.670918851931,1448.6691209426053
R_EX_3hpppn_e,R_EX_3hpppn_e,1448.6700198984356,1448.6700198955439
R_EX_3ump_e,R_EX_3ump_e,1448.670019898093,1448.6700198958868
R_EX_4abut_e,R_EX_4abut_e,1448.6700199006789,1448.6700198933002
R_EX_4hoxpacd_e,R_EX_4hoxpacd_e,1448.6700198969497,1448.6700198970293
R_EX_5dglcn_e,R_EX_5dglcn_e,1449.1346823550846,1448.2055064320855
R_EX_5mtr_e,R_EX_5mtr_e,1448.672009379037,1448.6680304176746
R_EX_LalaDglu_e,R_EX_LalaDglu_e,1448.67001989865,1448.670019895328
R_EX_LalaDgluMdap_e,R_EX_LalaDgluMdap_e,1448.6700198977346,1448.6700198962444
R_EX_LalaDgluMdapDala_e,R_EX_LalaDgluMdapDala_e,1448.6700198975684,1448.6700198964102
R_EX_LalaLglu_e,R_EX_LalaLglu_e,1448.670019898652,1448.6700198953267
R_EX_ac_e,R_EX_ac_e,1448.7629318927522,1448.5771138598543
R_EX_acac_e,R_EX_acac_e,1448.6700199067645,1448.6700198872145
R_EX_acald_e,R_EX_acald_e,1448.6700199122226,1448.6700198817564
R_EX_acgal_e,R_EX_acgal_e,1448.6700198969565,1448.6700198970232
R_EX_acgal1p_e,R_EX_acgal1p_e,1448.6700198969565,1448.6700198970232
R_EX_acgam_e,R_EX_acgam_e,1448.6700199002862,1448.670019893692
R_EX_acgam1p_e,R_EX_acgam1p_e,1448.6700198992191,1448.6700198947603
R_EX_acmana_e,R_EX_acmana_e,1448.670019900287,1448.6700198936926
R_EX_acmum_e,R_EX_acmum_e,1448.6700198993283,1448.6700198946503
R_EX_acnam_e,R_EX_acnam_e,1448.670019899926,1448.6700198940528
R_EX_acolipa_e,R_EX_acolipa_e,1448.6700198970673,1448.6700198969108
R_EX_acser_e,R_EX_acser_e,1448.670019900999,1448.6700198929798
R_EX_ade_e,R_EX_ade_e,1448.670019897655,1448.6700198963242
R_EX_adn_e,R_EX_adn_e,1448.6700198976046,1448.6700198963736
R_EX_adocbl_e,R_EX_adocbl_e,1448.6700198975425,1448.6700198964363
R_EX_ag_e,R_EX_ag_e,1448.6700198969563,1448.670019897023
R_EX_agm_e,R_EX_agm_e,1448.6700198980307,1448.6700198959486
R_EX_akg_e,R_EX_akg_e,1448.6700199071395,1448.6700198868393
R_EX_ala_B_e,R_EX_ala_B_e,1448.67001990222,1448.670019891758
R_EX_ala__D_e,R_EX_ala__D_e,1448.6700199021534,1448.670019891826
R_EX_ala__L_e,R_EX_ala__L_e,1448.6700199021905,1448.6700198917883
R_EX_alaala_e,R_EX_alaala_e,1448.6700198988472,1448.6700198951316
R_EX_all__D_e,R_EX_all__D_e,1448.6776045484698,1448.6624352852193
R_EX_alltn_e,R_EX_alltn_e,1448.6700198981687,1448.6700198958104
R_EX_amp_e,R_EX_amp_e,1448.6700198975482,1448.6700198964306
R_EX_anhgm_e,R_EX_anhgm_e,1448.6700198979402,1448.6700198960395
R_EX_arab__L_e,R_EX_arab__L_e,1448.6710426558611,1448.6689971388394
R_EX_arbt_e,R_EX_arbt_e,1448.67001989695,1448.67001989703
R_EX_arbtn_e,R_EX_arbtn_e,1448.6700198969518,1448.6700198970266
R_EX_arbtn_fe3_e,R_EX_arbtn_fe3_e,1448.6700198969522,1448.670019897027
R_EX_arg__L_e,R_EX_arg__L_e,1448.6700198980407,1448.6700198959393
R_EX_ascb__L_e,R_EX_ascb__L_e,1448.6700199052684,1448.670019888711
R_EX_asn__L_e,R_EX_asn__L_e,1448.670019899512,1448.6700198944663
R_EX_aso3_e,R_EX_aso3_e,1448.6700198969493,1448.6700198970293
R_EX_asp__L_e,R_EX_asp__L_e,1448.6700199027925,1448.6700198911865
R_EX_btn_e,R_EX_btn_e,1448.6700198972296,1448.6700198967483
R_EX_but_e,R_EX_but_e,1448.6700199061388,1448.6700198878407
R_EX_butso3_e,R_EX_butso3_e,1448.670019899682,1448.6700198942967
R_EX_ca2_e,R_EX_ca2_e,1448.6700179841441,1448.6700218098342
R_EX_cbi_e,R_EX_cbi_e,1448.6700198969445,1448.6700198970345
R_EX_cbl1_e,R_EX_cbl1_e,1448.669954111453,1448.6700856825294
R_EX_cd2_e,R_EX_cd2_e,1448.6700198969522,1448.6700198970273
R_EX_cgly_e,R_EX_cgly_e,1448.6700198981105,1448.6700198958674
R_EX_chol_e,R_EX_chol_e,1448.6700198969513,1448.6700198970284
R_EX_chtbs_e,R_EX_chtbs_e,1448.6700198982958,1448.6700198956835
R_EX_cit_e,R_EX_cit_e,1448.6711220831353,1448.6689177116818
R_EX_cl_e,R_EX_cl_e,1448.6700179841444,1448.6700218098347
R_EX_cm_e,R_EX_cm_e,1448.6700198969559,1448.6700198970227
R_EX_cmp_e,R_EX_cmp_e,1448.6700198978701,1448.6700198961091
R_EX_co2_e,R_EX_co2_e,1448.6700200884045,1448.6700197055745
R_EX_cobalt2_e,R_EX_cobalt2_e,1448.6700198243245,1448.6700199696545
