,Lagrange_coef
10fthf_c,-0.032947037677832094
12dgr120_c,-0.013722390355932423
12dgr140_c,-0.015989211330181653
12dgr141_c,-0.018922668140382275
12dgr160_c,-0.018263491125976132
12dgr161_c,-0.021185871367760283
12dgr180_c,-0.020537924781584338
12dgr181_c,-0.02349622502177385
12ppd__R_c,0.0003745479534455307
12ppd__S_c,0.0003280854425124127
13dpg_c,-0.004446053275965617
14dhncoa_c,-0.053948727001019076
14glucan_c,-0.011535453036212681
15dap_c,-0.0034931735805975236
1ddecg3p_c,-0.008312281951598843
1hdec9eg3p_c,-0.01204631321354721
1hdecg3p_c,-0.010582929433277577
1odec11eg3p_c,-0.013197086595327676
1odecg3p_c,-0.011719984141129422
1pyr5c_c,-0.00606643237518301
1tdec7eg3p_c,-0.010912371685932457
1tdecg3p_c,-0.009446101533256035
23dappa_c,-0.002949851029232427
23ddhb_c,-0.006279460121946695
23dhacoa_c,-0.044153818001817086
23dhb_c,-0.007729993323959869
23dhba_c,-0.029582821114750055
23dhbzs_c,-0.011115461690390118
23dhdp_c,-0.009280344336942947
23dhmb_c,-0.0010150702590459113
23dhmp_c,-0.001577739255514677
23doguln_c,-0.0028485379776348966
25aics_c,-0.01848712953458309
25dkglcn_c,-0.0028749860246693984
25drapp_c,-0.016044462463790016
26dap_LL_c,-0.005830023135262054
26dap__M_c,-0.005831013011114639
2agpe120_c,-0.010237857885769346
2agpe140_c,-0.011371146429562471
2agpe141_c,-0.012838011431040491
2agpe160_c,-0.012509364222870755
2agpe161_c,-0.0139671693431369
2agpe180_c,-0.013645714987302401
2agpe181_c,-0.015126009276056385
2agpg120_c,-0.007508486363883852
2agpg140_c,-0.008641748247561084
2agpg141_c,-0.010108643112708007
2agpg160_c,-0.009777222817752491
2agpg161_c,-0.011240784134134946
2agpg180_c,-0.010916363266699562
2agpg181_c,-0.012396021294870704
2ahbut_c,-0.0030458076210539415
2amsa_c,-0.0028995496334248945
2aobut_c,-0.0034129086227705505
2cpr5p_c,-0.014339479937001832
2dda7p_c,-0.004314522597293088
2ddecg3p_c,-0.008276221940580357
2ddg6p_c,-0.004359683316081038
2ddglcn_c,-0.0019718228630189755
2dh3dgal_c,-0.0019821577093764435
2dh3dgal6p_c,-0.0043700216638203815
2dhguln_c,-0.001408390252287673
2dhp_c,-0.00309203129585903
2dmmq8_c,-0.0475019349672069
2dmmql8_c,-0.0459907535670098
2dr1p_c,-0.003027531025056792
2dr5p_c,-0.0031022373045983104
2fe1s_c,-0.001984825495008852
2fe2s_c,-0.005131802382770758
2h3oppan_c,-0.0012894307149854416
2hdec9eg3p_c,-0.012010110640659877
2hdecg3p_c,-0.010547103210086294
2ippm_c,-0.005194891547568527
2mahmp_c,-0.014898937827355737
2mcacn_c,-0.0057269580683648276
2mcit_c,-0.0037559412916184417
2me4p_c,-0.0017333435918369558
2mecdp_c,-0.005703513771884685
2obut_c,-0.0023905063819365333
2odec11eg3p_c,-0.013161527002473358
2odecg3p_c,-0.01168436193458666
2ohph_c,-0.039362037351358015
2ombzl_c,-0.039508096495748324
2omhmbl_c,-0.03965384568746982
2ommbl_c,-0.04014291761949651
2omph_c,-0.03999685751429255
2oph_c,-0.03985044563017728
2oxpaccoa_c,-0.04859217829385425
2p4c2me_c,-0.020180361105643536
2pg_c,-0.002194463100119714
2pglyc_c,-0.0021852941830801755
2sephchc_c,-0.012420570661899971
2shchc_c,-0.010595757579547255
2tdec7eg3p_c,-0.010876367739509488
2tdecg3p_c,-0.009409574950192123
2tpr3dpcoa_c,-0.04432600168941056
34hpp_c,-0.010342453204526538
35cgmp_c,-0.021469288948193138
3amac_c,-0.0037902850285754523
3c2hmp_c,-0.0032393519619459184
3c3hmp_c,-0.0032359700266722576
3c4mop_c,-0.004689834166835704
3dhguln_c,-0.001398321255920176
3dhgulnp_c,-0.0037861970850525646
3dhq_c,-0.00388582710711325
3dhsk_c,-0.005844350645316151
3fe4s_c,-0.00898335925744745
3haACP_c,0.004947300504082458
3hadpcoa_c,-0.04219658744726115
3hbcoa_c,-0.040484877648332314
3hcddec5eACP_c,-0.0010517807567455022
3hcinnm_c,-0.011034841925677916
3hcmrs7eACP_c,-0.0021890974105724494
3hcpalm9eACP_c,-0.0033255665657340185
3hcvac11eACP_c,-0.004471577731829083
3hdcoa_c,-0.04389972391642877
3hddcoa_c,-0.04502220899547115
3hddecACP_c,0.00041008821953829707
3hdecACP_c,0.0015447253968225356
3hhcoa_c,-0.041624185387229715
3hhdcoa_c,-0.0472661660715932
3hhexACP_c,0.0038132839496719064
3hmrsACP_c,-0.000723759606785809
3hocoa_c,-0.04276349310950908
3hoctACP_c,0.00267926739526091
3hoctaACP_c,-0.0029967753916797352
3hodcoa_c,-0.04840953629509975
3hpalmACP_c,-0.001860318449228083
3hpp_c,-0.0006687751672468443
3hpppn_c,-0.009536956455681735
3htdcoa_c,-0.04613336464321055
3ig3p_c,-0.015125655926852848
3mob_c,-0.0029760040891150773
3mop_c,-0.003536199539612016
3ocddec5eACP_c,-0.002519480841545503
3ocmrs7eACP_c,-0.003656797495372449
3ocpalm9eACP_c,-0.004793690399866144
3ocvac11eACP_c,-0.005938788295155944
3odcoa_c,-0.04535123660362949
3oddcoa_c,-0.046475579403379874
3oddecACP_c,-0.001058393887803355
3odecACP_c,7.620579533885e-05
3ohcoa_c,-0.043074807116114555
3ohdcoa_c,-0.04871770664380158
3ohexACP_c,0.0023444877035091656
3omrsACP_c,-0.002192820287440587
3oocoa_c,-0.04421411483901814
3ooctACP_c,0.0012104711490981707
3ooctdACP_c,-0.004464764336483044
3ohodcoa_c,-0.049859591379033966
3opalmACP_c,-0.0033282603730312604
3ophb_c,-0.04102153235034447
3otdcoa_c,-0.047585589986173585
3oxdhscoa_c,-0.04625833609092391
3pg_c,-0.0021905487348965872
3php_c,-0.0036545788317787005
3psme_c,-0.010491887755989356
3sala_c,-3914.2919973335397
4abut_c,-0.002441939535464699
4abutn_c,-0.0028365083651117474
4abz_c,-0.009892747307673358
4adcho_c,-0.01160544441260427
4ahmmp_c,-0.010235301613649618
4ampm_c,-0.012623177442782008
4c2me_c,-0.01779175624749025
4crsol_c,1.9366474894065026e-09
4fe4s_c,-0.009020887541331365
4h2opntn_c,-0.002491207823477164
4hbz_c,-0.008236410541735474
4hthr_c,-0.0012995388038939799
4mhetz_c,-0.017892629209094544
4mop_c,-0.003520436477729821
4mpetz_c,-0.02028050503822693
4pasp_c,-0.005321074454145565
4per_c,-0.0021525649178333896
4ppan_c,-0.007818550544023166
4ppcys_c,-0.014667927461422694
4r5au_c,-0.010534610029848126
56dura_c,-0.006826523175935031
5aizc_c,-0.013517397328509866
5aop_c,-0.003970809678373971
5aprbu_c,-0.012922959303701284
5apru_c,-0.014391195451300087
5caiz_c,-0.013556009603643764
5dglcn_c,-0.001414114913856443
5dh4dglc_c,-0.0031147300605504865
5drib_c,-0.00023456248940901834
5fthf_c,-0.032942382940169414
5mta_c,-0.01767074456339311
5mthf_c,-0.03186564094378038
5mtr_c,-1.2567694718389271e-05
5prdmbz_c,2887.268485241129
6hmhpt_c,-0.015421901464563665
6hmhptpp_c,-0.02009042609061
6pgc_c,-0.0022927251344387525
6pgl_c,-0.004133181583670001
8aonn_c,-0.004758494181016756
ACP_c,0.007689020699585848
LalaDglu_c,-0.0074713442139144395
LalaDgluMdap_c,-0.015258119915346244
LalaDgluMdapDala_c,-0.019130087566208345
LalaLglu_c,-0.007471967712601164
N1aspmd_c,-0.01216401496013977
Nmtrp_c,-0.016612929237340944
Sfglutth_c,-0.015528698158758547
aacald_c,-4.0883429182802016e-12
aacoa_c,-0.041935499375459345
aact_c,-0.0021998790122533633
ac_c,-0.00027778702169707024
acACP_c,0.005583845450685338
acac_c,-0.0023813487448770525
acald_c,-0.0006659085150407066
acanth_c,-0.011997211231169123
accoa_c,-0.03983193765360977
acetol_c,-0.0006665788135303133
acg5p_c,-0.008118004127605234
acg5sa_c,-0.0062249707055018946
acgam_c,-0.00397834741039724
acgam1p_c,-0.006393683541061469
acgam6p_c,-0.006372324721191563
acglc__D_c,-0.002387597606525406
acglu_c,-0.00584038548906871
acmalt_c,-0.0046408406578524524
acmana_c,-0.003984448902316241
acmanap_c,-0.006372324727224665
acmum6p_c,-0.008636944830662484
acnam_c,-0.005809748209665885
acon_C_c,-0.0051824092246695866
acon_T_c,-0.0051824092246695866
aconm_c,-0.005704835195176421
acorn_c,-0.006313773830516484
acser_c,-0.0035334523040941933
actACP_c,0.0034785042579206053
actp_c,-0.002549297948671413
ade_c,-0.015701430377330322
adn_c,-0.017757964923457884
adocbi_c,-2887.286228599829
adocbip_c,-2887.2886164756583
adocbl_c,-0.01958415146977664
adp_c,-0.022412401352671314
adpglc_c,-0.024545044709681375
adphep_DD_c,-0.024468287374553182
adphep_LD_c,-0.024470811654098507
adprib_c,-0.02437700593720871
ag_c,-4893.6331461514255
agdpcbi_c,-2887.3099730279496
agm_c,-0.007397518659832001
ahcys_c,-0.025232209558199672
ahdt_c,-0.02257939030211194
aicar_c,-0.014982809280909296
air_c,-0.012460492258525482
akg_c,-0.003529277376739861
ala_B_c,-0.0018715144205926901
ala__D_c,-0.0018967068678528646
ala__L_c,-0.001900532064131843
alaala_c,-0.005756490370156251
alac__S_c,-0.002482794216423215
alatrna_c,-0.001861754413495525
all__D_c,-0.00023463983857379095
all6p_c,-0.002622515512700964
alltn_c,-0.009320397042235038
alltt_c,-0.006954465875081752
allul6p_c,-0.002622515487802147
altrn_c,-1.4752828438731408e-05
amet_c,-0.025754635528706507
ametam_c,-0.02458390171566674
amob_c,1.7416899568816028e-11
amp_c,-0.020132079597415347
anhgm_c,-0.014118066941141115
anhgm3p_c,-0.03133802029401303
anhgm4p_c,-0.035205286071824646
anhm_c,-0.008186946737814583
anhm3p_c,-0.02540398956112279
anhm4p_c,-0.029269964237066258
anth_c,-0.009892693142346082
ap4a_c,-0.04653964996803059
ap5a_c,-0.048832771076431615
apg120_c,-0.023114388933457363
apg140_c,-0.02651410281396004
apg141_c,-0.03091486780406568
apg160_c,-0.029927774049165835
apg161_c,-0.03431088154236455
apg180_c,-0.03333801279927475
apg181_c,-0.03777696631256951
apoACP_c,0.022999012197560915
appl_c,-0.0007496622905386411
aps_c,-0.02184139895674432
ara5p_c,-0.0025743738518179456
arab__L_c,-0.00022723346919801952
aragund_c,-962.8771817358326
arbt6p_c,-3914.251850920883
arbtn_c,-4315.366168501457
arbtn_fe3_c,-4315.366830015097
arg__L_c,-0.00859988875925402
argsuc_c,-0.012075032785917905
argtrna_c,-0.005211424645519675
ascb6p_c,-0.005631048318150376
asn__L_c,-0.004579895739399111
asntrna_c,-0.003201463785589383
aso3_c,-3914.260584108744
aso4_c,-3914.260097844054
asp__L_c,-0.0030426022916429578
aspsa_c,-0.0034278838278031937
asptrna_c,-0.002432753240471071
athr__L_c,-0.001967568314012215
athtp_c,-0.05647880510808639
atp_c,-0.024687897844702756
b2coa_c,-0.042441703196179445
bbtcoa_c,-3914.4224907015823
betald_c,-4166.778856241667
bglycogen_c,-0.002256165403927467
bmoco_c,-0.05937875001730388
bmoco1gdp_c,-0.08073530232309485
bmocogdp_c,-0.10209185462888583
btal_c,-0.0018117665740726165
btcoa_c,-0.040971282706855267
btn_c,-0.03855221269928006
btnso_c,-0.03805421030142564
but_c,-0.0014171320784204615
but2eACP_c,0.0029903826310921644
butACP_c,0.004449889115030896
butso3_c,-0.0025974454112304055
bwco_c,-3185.78561623348
bwco1gdp_c,-3185.806972785772
bwcogdp_c,-3185.828329338063
ca2_c,1.5102006232122212e-05
camp_c,-0.021958263947793356
cbasp_c,-0.006060611724110044
cbi_c,-2887.2666591330294
cbl1_c,-1.456236769976182e-05
cbm_c,-0.0008671285525617314
cbp_c,-0.0033357040061956097
cd2_c,-4315.366190442772
cddec5eACP_c,-0.0015503559521204112
cdec3eACP_c,-0.00041303929829346504
cdg_c,-0.015366538962149326
cdp_c,-0.016667093359239545
cdpdddecg_c,-0.032050856071350046
cdpdhdec9eg_c,-0.03951191713510574
cdpdhdecg_c,-0.03659090948424156
cdpdodec11eg_c,-0.041825442856377855
cdpdodecg_c,-0.03886647843700946
cdpdtdec7eg_c,-0.03725114945312963
cdpdtdecg_c,-0.03431754724388964
cechddd_c,-0.007650101902679032
cenchddd_c,-0.009147987371666801
cgly_c,-0.008310999020212068
chol_c,-4166.777406024945
chor_c,-0.01006170927436266
chtbs6p_c,-0.01230790268822153
cinnm_c,-0.011541855750617917
cit_c,-0.0032204581187451797
citr__L_c,-0.0070972553770325165
ckdo_c,-0.01811636498853234
cl_c,1.036277424043077e-05
cmp_c,-0.014477501920822573
co2_c,-0.001058709319641765
coa_c,-0.03772741956478672
cobalt2_c,8.185676971954713e-05
colipa_c,-0.09721564881579024
cpe160_c,-0.026702435805857648
cpe180_c,-0.029021237977200676
cpg160_c,-0.02408115455098549
cpg180_c,-0.02639020077436283
cpgn_c,-4315.368420104699
cpgn_un_c,-4315.367758591059
cph4_c,-0.01506257886287611
cpmp_c,-0.01951170354270944
cpppg3_c,-0.04485643534453823
crn_c,-3489.5019049810867
crn__D_c,-3489.501904981086
crnDcoa_c,-3489.5414767745497
crncoa_c,-3489.54147677455
csn_c,-0.009945148459920177
ctbt_c,-3489.5038622116404
ctbtcoa_c,-3489.543434005104
ctp_c,-0.01889966476867104
cu_c,0.00032904318018536115
cu2_c,-0.0003302403653665447
cyan_c,1971.0126714388973
cynt_c,-0.0028101685644246234
cys__D_c,-0.0050459794190075395
cys__L_c,-0.005047677407586839
cyst__L_c,-0.008965251795395056
cystrna_c,-0.0034353248461735987
cytd_c,-0.012043609811130552
dad_2_c,-0.018288855993370587
dad_5_c,-0.01798987336724975
dadp_c,-0.02291769220396369
damp_c,-0.020638981083505696
dann_c,-0.03051312974097688
datp_c,-0.02519767634381377
db4p_c,-0.002909962117783108
dc2coa_c,-0.04585565850420177
dca_c,-0.004810412290626823
dcaACP_c,0.0010472900432835918
dcacoa_c,-0.04437879884058207
dcamp_c,-0.023600891361038177
dcdp_c,-0.017150138354353688
dcmp_c,-0.014873538651806116
dctp_c,-0.01942531883081313
dcyt_c,-0.012494361660784789
dd2coa_c,-0.04697628586253658
ddca_c,-0.005939617052406549
ddcaACP_c,-8.765669408303061e-05
ddcacoa_c,-0.04548600002216382
ddcap_c,-0.008102008595273253
dgdp_c,-0.022422572919406716
dgmp_c,-0.020144833402264188
dgslnt_c,-3529.441816020069
dgsn_c,-0.017766104254354015
dgtp_c,-0.02470024801634553
dha_c,3.0194410394971698e-05
dhap_c,-0.0023971257157617684
dhcinnm_c,-0.010598204093381521
dhf_c,-0.03282166840511948
dhgly_c,-0.010723668750110956
dhmpt_c,-0.015613408888899281
dhmptp_c,-0.02257939030211194
dhna_c,-0.014376531816718404
dhnpt_c,-0.015613408888899281
dhor__S_c,-0.00790592396944753
dhpmp_c,-0.018001717380289137
dhpppn_c,-0.009100318622202482
dhpt_c,-0.027250441372605922
dhptd_c,-0.0019702113852490865
dhptdn_c,-0.0008419939552248979
didp_c,-0.021280925749803364
dimp_c,-0.018986989211857562
din_c,-0.016618213766418227
ditp_c,-0.023556899559706256
dmbzid_c,2887.2729486294916
dmlz_c,-0.016927933226266033
dmpp_c,-0.0068307168476406796
dms_c,-4315.365535242811
dmso_c,-4315.365089855666
dnad_c,-0.035563092753996405
dpcoa_c,-0.03533953422203813
dsbdox_c,-0.0007347212407841661
dsbdrd_c,0.0007347211847124497
dscl_c,-0.05069790052675413
dtbt_c,-0.03375335100578789
dtdp_c,-0.01611240273942621
dtdp4aaddg_c,-0.022493118825761747
dtdp4addg_c,-0.020276221400128244
dtdp4d6dg_c,-0.020191113384507693
dtdp4d6dm_c,-0.020194265509631732
dtdpglu_c,-0.018233270348640498
dtdprmn_c,-0.01872661038897915
dtmp_c,-0.01382995908765884
dttp_c,-0.018388572776837347
dudp_c,-0.015494640891287399
dump_c,-0.013224914773885276
duri_c,-0.010862227785675563
dutp_c,-0.017773204295454897
dxyl_c,-0.0008113521508478698
dxyl5p_c,-0.0031992279799802578
e4p_c,-0.002547199159133782
egmeACP_c,0.0012885436534226156
eig3p_c,-0.009273794183476085
enter_c,-0.038875564231065585
epmeACP_c,0.00016189022845867977
etha_c,-0.00010319385865637127
ethso3_c,-0.0014515873756996568
etoh_c,0.0006938112600833136
f1p_c,-0.0026051547893483937
f6p_c,-0.0026225153524892454
fad_c,-0.04755180980283214
fadh2_c,-0.04608431638119248
fald_c,-0.00017217653192533455
fc1p_c,-0.003138367592347465
fcl__L_c,-0.0007504917688938854
fdp_c,-0.004979363506659797
fe2_c,-4.0172188346812174e-05
fe3_c,-0.0006629348908597911
fe3dhbzs_c,-0.011778396581489308
fe3hox_c,-4315.367447981319
fe3hox_un_c,-4315.366786467679
fecrm_c,-4315.3668204413725
fecrm_un_c,-4315.366158927733
feenter_c,-0.03953676388062033
feoxam_c,-4315.368439754289
feoxam_un_c,-4315.367778306849
fgam_c,-0.008908506687502845
flxr_c,0.00030619061450632215
flxso_c,-0.00030655268595292757
fmettrna_c,-0.003823475793663555
fmn_c,-0.025709135080834493
fmnh2_c,-0.024244248857174203
for_c,0.00022245807060314971
forcoa_c,0.0005855443281205985
fpram_c,-0.010405253531794624
fprica_c,-0.01655155863715713
frdp_c,-0.015027359117780867
fru_c,-0.0002521768409052738
frulys_c,-0.0068906201940527444
frulysp_c,-0.00927849601425286
fruur_c,-0.0014648090556792308
fuc__L_c,-0.0007504917996317603
fum_c,-0.0034736421592531774
g1p_c,-0.002689311408428087
g3p_c,-0.0025447220095440835
g3pc_c,-4166.779922736432
g3pe_c,-0.0024751706032087204
g3pg_c,0.00026589233912610897
g3pi_c,-4315.297631828786
g3ps_c,-0.00395734231474209
g6p_c,-0.0026570032194171158
gagicolipa_c,-0.09054345302344015
gal_c,-0.0003014356512021873
gal1p_c,-0.0026893114725163076
galct__D_c,-0.0011574995173948693
galctn__D_c,-2.4927505276357474e-05
galctn__L_c,-1.591359967268677e-05
galt1p_c,-0.001594918820404607
galur_c,-0.001465638590917102
gam1p_c,-0.004168832968747493
gam6p_c,-0.004164449606451394
gar_c,-0.007209247551196617
garagund_c,-962.8794279086355
gbbtn_c,-3914.382918908119
gcald_c,-0.000191567728331942
gdp_c,-0.02192381970084793
gdpddman_c,-0.02594863195916649
gdpfuc_c,-0.024480392370071387
gdpmann_c,-0.023991401405907054
gdpofuc_c,-0.02594863195916649
gdptp_c,-0.02887636398585185
gfgaragund_c,-962.8816740814617
gg4abut_c,-0.008021261649193867
ggagicolipa_c,-0.09279240902780556
ggbutal_c,-0.008407314764752134
gggagicolipa_c,-0.09504210630738605
ggptrc_c,-0.008488789007275132
ghb_c,-0.0009050247960967829
gicolipa_c,-0.0882949406372769
glc__D_c,-0.0002830795177023666
glcn_c,5.5510831805035375e-05
glcr_c,-0.0011574995325321982
glcur_c,-0.0014648090737157818
gln__L_c,-0.00515807587511196
glntrna_c,-0.0034905379171429243
glu__D_c,-0.003615094781516951
glu__L_c,-0.0036143853924843344
glu1sa_c,-0.003970718849089402
glu5p_c,-0.0058905180570865325
glu5sa_c,-0.003991870636664467
glucys_c,-0.010636084591525366
glutrna_c,-0.002718726699761986
glx_c,-0.0012544316060774164
gly_c,-0.0013072773154081633
glyald_c,0.00028485760589666066
glyb_c,-4166.778470618606
glyc_c,0.0021029059666461173
glyc__R_c,0.00016762127486784622
glyc2p_c,-0.00015717204947711218
glyc3p_c,-0.0005315296431232712
glyclt_c,0.00020305896392366424
glycogen_c,-0.0022557449580173534
glytrna_c,-0.0015651274362412698
gmeACP_c,0.0027567832397828312
gmhep17bp_c,-0.0049994386598471285
gmhep1p_c,-0.002615190022421237
gmhep7p_c,-0.002601139178082709
gmp_c,-0.019627661540985518
gp4g_c,-0.0455801112807534
grdp_c,-0.010929037982710773
grxox_c,-0.0007342950291375054
grxrd_c,0.0007342280932344134
gslnt_c,-3529.426441475517
gsn_c,-0.0172425467421735
gthox_c,-0.029283575788369313
gthrd_c,-0.013906304962394426
gtp_c,-0.024201776436702915
gtspmd_c,-0.02581041439093392
gua_c,-0.015172369316328978
h_c,0.00011237933710094772
h2_c,0.0013025144448069478
h2mb4p_c,-0.006323637205818161
h2o_c,0.0019572305532594386
h2o2_c,0.002426191555030307
h2s_c,-0.0016797889967770264
hco3_c,0.000771951339022188
hcys__L_c,-0.005600433728654278
hdca_c,-0.008209964129206706
hdcap_c,-0.010372453340075243
hdcea_c,-0.009673911801947793
hdceap_c,-0.01183651212516946
hdcoa_c,-0.0492200238232569
hdd2coa_c,-0.049222072774358985
hdeACP_c,-0.003823691861878293
hemeO_c,-0.060599474609488675
hexACP_c,0.0033158725606199
hg2_c,-4315.36636888375
hgmeACP_c,0.0032457742094169394
hhlipa_c,-0.07260113778947302
his__L_c,-0.009983844156515176
hisp_c,-0.011316402730542373
histd_c,-0.008928175396883798
histrna_c,-0.0059034363341555285
hkndd_c,-0.008269046282151086
hkntd_c,-0.009766931764554626
hlipa_c,-0.07042757040627556
