,Lagrange_coef
10fthf_c,-0.004530885588749371
12dgr120_c,-0.0008931685755339505
12dgr140_c,-0.0011769754945598477
12dgr141_c,-0.0004064718869869205
12dgr160_c,-0.0014652683076298925
12dgr161_c,-0.0006912400179987445
12dgr180_c,-0.0017514980481486346
12dgr181_c,-0.001002473338404983
12ppd__R_c,-0.0003339784157589828
12ppd__S_c,-0.00013168091410847206
13dpg_c,0.00047153224049019003
14dhncoa_c,-0.0009360827198426697
14glucan_c,-2.134150879034267e-05
15dap_c,-0.0013110713366325565
1ddecg3p_c,-0.0005523973853083305
1hdec9eg3p_c,-0.0004527452149329258
1hdecg3p_c,-0.0008382913732144196
1odec11eg3p_c,-0.0006054215601719517
1odecg3p_c,-0.000982057110084213
1pyr5c_c,-0.0006826898580094246
1tdec7eg3p_c,-0.00030812783350347365
1tdecg3p_c,-0.0006943638409578524
23dappa_c,-0.0009469044860723147
23ddhb_c,-0.00019156081634951714
23dhacoa_c,-0.0016444697228109027
23dhb_c,-9.885817203382744e-06
23dhba_c,-0.0026266476502160474
23dhbzs_c,-0.00027362078438226934
23dhdp_c,0.0008068557828844184
23dhmb_c,0.0011520679285621552
23dhmp_c,0.0006657293204589526
23doguln_c,0.00021301677579724552
25aics_c,-0.002064535301979297
25dkglcn_c,0.0006258564566399512
25drapp_c,-0.003516559561480467
26dap_LL_c,-0.0008211347144544116
26dap__M_c,-0.0008219624111835012
2agpe120_c,-0.0009497947421210182
2agpe140_c,-0.0010916863618065419
2agpe141_c,-0.0007066195352483818
2agpe160_c,-0.0012345940458460267
2agpe161_c,-0.0008474657151252312
2agpe180_c,-0.0013786119175751923
2agpe181_c,-0.0010048370068793816
2agpg120_c,-0.0005933784114607804
2agpg140_c,-0.0007352704003913055
2agpg141_c,-0.0003501978050651866
2agpg160_c,-0.0008803368321042395
2agpg161_c,-0.0004927536454389238
2agpg180_c,-0.0010221855575502058
2agpg181_c,-0.0006479469238997317
2ahbut_c,0.0010574979620623095
2amsa_c,9.43525525903275e-06
2aobut_c,-0.00033372336987251013
2cpr5p_c,-0.0006675831055841289
2dda7p_c,0.0007353698367404356
2ddecg3p_c,-0.0003921747812399264
2ddg6p_c,0.0008940515138343683
2ddglcn_c,0.0007298452086460366
2dh3dgal_c,0.0006015484694031836
2dh3dgal6p_c,0.0010036285648282871
