,Reaction_ID,forward,reverse
R_DM_4crsol_c,R_DM_4crsol_c,1549.8269663013161,1549.8269619603661
R_DM_5drib_c,R_DM_5drib_c,1549.6930493781422,1549.9608904556137
R_DM_aacald_c,R_DM_aacald_c,1549.8269641152021,1549.8269641464803
R_DM_amob_c,R_DM_amob_c,1549.8269641516197,1549.826964110064
R_DM_mththf_c,R_DM_mththf_c,1549.8208965806978,1549.8330317047398
R_DM_oxam_c,R_DM_oxam_c,1549.8105650529128,1549.843363382295
R_BIOMASS_Ec_iJO1366_WT_53p95M,R_BIOMASS_Ec_iJO1366_WT_53p95M,1550.0219763983398,1549.63197639834
R_BIOMASS_Ec_iJO1366_core_53p95M,R_BIOMASS_Ec_iJO1366_core_53p95M,1549.6416964674684,1550.0122539439199
R_EX_12ppd__R_e,R_EX_12ppd__R_e,1549.8269641444015,1549.8269641172812
R_EX_12ppd__S_e,R_EX_12ppd__S_e,1549.82696416531,1549.8269640963726
R_EX_14glucan_e,R_EX_14glucan_e,1549.8298703822365,1549.824057884895
R_EX_15dap_e,R_EX_15dap_e,1549.8269641342497,1549.8269641274323
R_EX_23camp_e,R_EX_23camp_e,1549.8269641324391,1549.8269641292427
R_EX_23ccmp_e,R_EX_23ccmp_e,1549.8269641345098,1549.8269641271738
R_EX_23cgmp_e,R_EX_23cgmp_e,1549.82696413256,1549.8269641291224
R_EX_23cump_e,R_EX_23cump_e,1549.8269641541585,1549.8269641075246
R_EX_23dappa_e,R_EX_23dappa_e,1549.826964135759,1549.8269641259246
R_EX_26dap__M_e,R_EX_26dap__M_e,1549.8269641364977,1549.8269641251852
R_EX_2ddglcn_e,R_EX_2ddglcn_e,1549.9799050180611,1549.6740383347296
R_EX_34dhpac_e,R_EX_34dhpac_e,1549.8269641308016,1549.826964130881
R_EX_3amp_e,R_EX_3amp_e,1549.8269641322777,1549.826964129405
R_EX_3cmp_e,R_EX_3cmp_e,1549.826964133776,1549.8269641279069
R_EX_3gmp_e,R_EX_3gmp_e,1549.826964132375,1549.8269641293075
R_EX_3hcinnm_e,R_EX_3hcinnm_e,1549.8500889422994,1549.8038396644208
R_EX_3hpp_e,R_EX_3hpp_e,1549.8276835276688,1549.826244734347
R_EX_3hpppn_e,R_EX_3hpppn_e,1549.8410460525713,1549.8128823370607
R_EX_3ump_e,R_EX_3ump_e,1549.826964139974,1549.8269641217082
R_EX_4abut_e,R_EX_4abut_e,1549.826964135243,1549.8269641264396
R_EX_4hoxpacd_e,R_EX_4hoxpacd_e,1549.8269641308016,1549.826964130881
R_EX_5dglcn_e,R_EX_5dglcn_e,1549.8952047546345,1549.758726511627
R_EX_5mtr_e,R_EX_5mtr_e,1549.8282792127404,1549.8256490500594
R_EX_LalaDglu_e,R_EX_LalaDglu_e,1549.8269641371348,1549.826964124549
R_EX_LalaDgluMdap_e,R_EX_LalaDgluMdap_e,1549.8269641341033,1549.8269641275804
R_EX_LalaDgluMdapDala_e,R_EX_LalaDgluMdapDala_e,1549.8269641339166,1549.8269641277661
R_EX_LalaLglu_e,R_EX_LalaLglu_e,1549.8269641371726,1549.8269641245095
R_EX_ac_e,R_EX_ac_e,1549.942801391299,1549.7111355276534
R_EX_acac_e,R_EX_acac_e,1549.8461272810362,1549.8078012175897
R_EX_acald_e,R_EX_acald_e,1549.8371623916728,1549.816765937117
R_EX_acgal_e,R_EX_acgal_e,1549.8269641308084,1549.826964130875
R_EX_acgal1p_e,R_EX_acgal1p_e,1549.826964130808,1549.8269641308746
R_EX_acgam_e,R_EX_acgam_e,1549.8269641391782,1549.8269641225045
R_EX_acgam1p_e,R_EX_acgam1p_e,1549.8269641405032,1549.8269641211798
R_EX_acmana_e,R_EX_acmana_e,1549.8269641383017,1549.8269641233815
R_EX_acmum_e,R_EX_acmum_e,1549.8606082920935,1549.7933206999314
R_EX_acnam_e,R_EX_acnam_e,1549.8419176381428,1549.8120107678178
R_EX_acolipa_e,R_EX_acolipa_e,1549.8269641379777,1549.8269641237055
R_EX_acser_e,R_EX_acser_e,1549.9838965232875,1549.6700476274486
R_EX_ade_e,R_EX_ade_e,1549.8269641321608,1549.826964129523
R_EX_adn_e,R_EX_adn_e,1549.8269641322422,1549.8269641294396
R_EX_adocbl_e,R_EX_adocbl_e,1549.8269641324036,1549.826964129279
R_EX_ag_e,R_EX_ag_e,1549.826964130808,1549.8269641308746
R_EX_agm_e,R_EX_agm_e,1549.826964131938,1549.8269641297443
R_EX_akg_e,R_EX_akg_e,1550.608306887309,1549.0460150885706
R_EX_ala_B_e,R_EX_ala_B_e,1549.8269641382487,1549.8269641234347
R_EX_ala__D_e,R_EX_ala__D_e,1549.826964149061,1549.826964112622
R_EX_ala__L_e,R_EX_ala__L_e,1549.8269641486556,1549.826964113027
R_EX_alaala_e,R_EX_alaala_e,1549.826964144236,1549.8269641174466
R_EX_all__D_e,R_EX_all__D_e,1549.8269644294774,1549.8269638322058
R_EX_alltn_e,R_EX_alltn_e,1549.8269641327606,1549.826964128922
R_EX_amp_e,R_EX_amp_e,1549.8269641322781,1549.8269641294055
R_EX_anhgm_e,R_EX_anhgm_e,1549.82696414206,1549.8269641196227
R_EX_arab__L_e,R_EX_arab__L_e,1549.8269643063695,1549.8269639553125
R_EX_arbt_e,R_EX_arbt_e,1549.8269641308016,1549.8269641308816
R_EX_arbtn_e,R_EX_arbtn_e,1549.826964130804,1549.826964130879
R_EX_arbtn_fe3_e,R_EX_arbtn_fe3_e,1549.826964130804,1549.826964130879
R_EX_arg__L_e,R_EX_arg__L_e,1549.8269641320228,1549.8269641296592
R_EX_ascb__L_e,R_EX_ascb__L_e,1549.850222067326,1549.8037065433784
R_EX_asn__L_e,R_EX_asn__L_e,1549.8269641345923,1549.8269641270913
R_EX_aso3_e,R_EX_aso3_e,1549.8269641308016,1549.8269641308816
R_EX_asp__L_e,R_EX_asp__L_e,1549.8269641440186,1549.826964117665
R_EX_btn_e,R_EX_btn_e,1549.826964132177,1549.8269641295062
R_EX_but_e,R_EX_but_e,1549.8269642562684,1549.8269640054145
R_EX_butso3_e,R_EX_butso3_e,1549.8269641499328,1549.82696411175
R_EX_ca2_e,R_EX_ca2_e,1549.8269628666737,1549.8269653950088
R_EX_cbi_e,R_EX_cbi_e,1549.8269641307963,1549.8269641308864
R_EX_cbl1_e,R_EX_cbl1_e,1549.826920644295,1549.8270076173894
R_EX_cd2_e,R_EX_cd2_e,1549.826964130804,1549.826964130879
R_EX_cgly_e,R_EX_cgly_e,1549.8269641358627,1549.8269641258207
R_EX_chol_e,R_EX_chol_e,1549.8269641308025,1549.8269641308793
R_EX_chtbs_e,R_EX_chtbs_e,1549.8269641350973,1549.826964126586
R_EX_cit_e,R_EX_cit_e,1550.388171826785,1549.265959580203
R_EX_cl_e,R_EX_cl_e,1549.826962866674,1549.826965395009
R_EX_cm_e,R_EX_cm_e,1549.8269641308082,1549.8269641308748
R_EX_cmp_e,R_EX_cmp_e,1549.8269641337763,1549.8269641279073
R_EX_co2_e,R_EX_co2_e,1550.4048238203522,1549.249319818512
R_EX_cobalt2_e,R_EX_cobalt2_e,1549.82696408281,1549.8269641788731
R_EX_colipa_e,R_EX_colipa_e,1549.826964153362,1549.8269641083211
R_EX_colipap_e,R_EX_colipap_e,1549.8278571063536,1549.8260711558441
R_EX_cpgn_e,R_EX_cpgn_e,1549.826964130804,1549.826964130879
R_EX_cpgn_un_e,R_EX_cpgn_un_e,1549.8269641308036,1549.8269641308787
R_EX_crn_e,R_EX_crn_e,1549.8269641307993,1549.8269641308839
R_EX_crn__D_e,R_EX_crn__D_e,1549.8269641307993,1549.8269641308839
R_EX_csn_e,R_EX_csn_e,1549.8269641333573,1549.8269641283246
R_EX_cu_e,R_EX_cu_e,1549.8269641502523,1549.8269641114312
R_EX_cu2_e,R_EX_cu2_e,1549.8269640440562,1549.8269642176267
R_EX_cyan_e,R_EX_cyan_e,1549.82696413081,1549.8269641308725
R_EX_cynt_e,R_EX_cynt_e,1549.826964136846,1549.8269641248369
R_EX_cys__D_e,R_EX_cys__D_e,1549.8269641475208,1549.826964114162
R_EX_cys__L_e,R_EX_cys__L_e,1549.8269641426193,1549.8269641190639
R_EX_cytd_e,R_EX_cytd_e,1549.8269641336378,1549.8269641280451
R_EX_dad_2_e,R_EX_dad_2_e,1549.8269641322029,1549.8269641294792
R_EX_damp_e,R_EX_damp_e,1549.8269641322368,1549.8269641294469
R_EX_dca_e,R_EX_dca_e,1549.826964141507,1549.8269641201762
R_EX_dcmp_e,R_EX_dcmp_e,1549.826964133608,1549.8269641280751
R_EX_dcyt_e,R_EX_dcyt_e,1549.8269641334853,1549.826964128199
R_EX_ddca_e,R_EX_ddca_e,1549.8269641387071,1549.826964122975
R_EX_dgmp_e,R_EX_dgmp_e,1549.8269641323354,1549.8269641293466
