,Lagrange_coef
10fthf_c,-0.0047130133029851815
12dgr120_c,-0.0018989754564697173
12dgr140_c,-0.001976859423325464
12dgr141_c,-0.0026163039736642113
12dgr160_c,-0.002038305292238021
12dgr161_c,-0.0026684438359752976
12dgr180_c,-0.002083317939034659
12dgr181_c,-0.002751192370189382
12ppd__R_c,6.793824702522142e-05
12ppd__S_c,6.378545085996004e-05
13dpg_c,-0.0010130539733528947
14dhncoa_c,-0.011831465786594716
14glucan_c,-0.005953712736402957
15dap_c,-0.001598562592267877
1ddecg3p_c,-0.001131123615501751
1hdec9eg3p_c,-0.001529199104977301
1hdecg3p_c,-0.0012087725201459954
1odec11eg3p_c,-0.001566698712511355
1odecg3p_c,-0.0012355091234106138
1pyr5c_c,0.00023419668113932514
1tdec7eg3p_c,-0.0015012762043284838
1tdecg3p_c,-0.0011747273208417032
23dappa_c,-0.0015978597959352126
23ddhb_c,-0.0007328826185001619
23dhacoa_c,-0.008882543455460312
23dhb_c,-0.001144492930859955
23dhba_c,-0.00771270924046546
23dhbzs_c,-0.002011607507500829
23dhdp_c,-0.000427841302449886
23dhmb_c,0.0003774719576827501
23dhmp_c,0.00039838036370423203
23doguln_c,-0.0009319666773424807
25aics_c,-0.002697841934747984
25dkglcn_c,-0.0010070294700475196
25drapp_c,-0.003722690787295628
26dap_LL_c,-0.0013221737665655134
26dap__M_c,-0.0013231174880115205
2agpe120_c,-0.0030311226298169627
2agpe140_c,-0.003070206511500059
2agpe141_c,-0.003389785578198919
2agpe160_c,-0.0031000260846704587
2agpe161_c,-0.0034143125759845305
2agpe180_c,-0.0031234208490357853
2agpe181_c,-0.0034582931444900804
2agpg120_c,-0.002210063434807564
2agpg140_c,-0.0022490795694955997
2agpg141_c,-0.002568525374968404
2agpg160_c,-0.002280837127996521
2agpg161_c,-0.002595452721186395
2agpg180_c,-0.002302160398252177
2agpg181_c,-0.0026365335061549556
2ahbut_c,-2.087705844037443e-05
2amsa_c,-0.0010485566144260042
2aobut_c,-0.0009621774523297523
2cpr5p_c,-0.002080842717683622
2dda7p_c,-0.0006423934642762286
2ddecg3p_c,-0.0020243424630457807
2ddg6p_c,-0.0005623545326586884
2ddglcn_c,-0.0003286902600381262
2dh3dgal_c,-0.0003288555528543088
2dh3dgal6p_c,-0.0005625179694527199
2dhguln_c,-0.0005879697364117459
2dhp_c,-2.1542068537366742e-05
2dmmq8_c,-0.0036517361039909517
2dmmql8_c,-0.0031306121237867366
2dr1p_c,-0.00057981639273312
2dr5p_c,-0.0006212906314167094
2fe1s_c,0.00039448591118506905
2fe2s_c,-0.0008125886388458277
2h3oppan_c,-0.0003367272239076803
2hdec9eg3p_c,-0.0024206252330972525
2hdecg3p_c,-0.0021018473338275147
2ippm_c,0.0005455366616187952
2mahmp_c,-0.0029846361130223967
2mcacn_c,0.001107735069023489
2mcit_c,0.00115274248902771
2me4p_c,-0.0002816041957062711
2mecdp_c,-0.0024950562413399925
2obut_c,6.711991116905903e-05
2odec11eg3p_c,-0.002458994204243487
2odecg3p_c,-0.0021269499469160117
2ohph_c,-0.002648331073379876
2ombzl_c,-0.003044356349158395
2omhmbl_c,-0.003431984930190978
2ommbl_c,-0.0031925837373349385
2omph_c,-0.0027965595901389803
2oph_c,-0.002396066971427729
2oxpaccoa_c,-0.010282353080433997
2p4c2me_c,-0.005579133853558647
2pg_c,8.318224457335812e-05
2pglyc_c,-5.689992811386092e-06
2sephchc_c,-0.0003423144543731345
2shchc_c,-0.0003914979901937535
2tdec7eg3p_c,-0.0023924621254743737
2tdecg3p_c,-0.0020675465958172098
2tpr3dpcoa_c,-0.011969772176036902
34hpp_c,-0.0014798219896128074
35cgmp_c,-0.0057456246638480845
3amac_c,-0.00040879251741379654
3c2hmp_c,0.0007915208287235762
3c3hmp_c,0.0007948631558959068
3c4mop_c,0.0003799322624627837
3dhguln_c,-0.0005206583585826026
3dhgulnp_c,-0.0007543227827455819
3dhq_c,-0.000667734982960866
3dhsk_c,-0.0009169219353530385
3fe4s_c,0.000757593996822932
3haACP_c,0.0005085744275535103
3hadpcoa_c,-0.008634888086785959
3hbcoa_c,-0.009563548640890498
3hcddec5eACP_c,-0.0002227945770499871
3hcinnm_c,-0.00044148909515513414
3hcmrs7eACP_c,-0.0002482103061142962
3hcpalm9eACP_c,-0.00027637386372331916
3hcvac11eACP_c,-0.0003072657017326183
3hdcoa_c,-0.01003363282363203
3hddcoa_c,-0.010066060365493247
3hddecACP_c,0.0001499708215090069
3hdecACP_c,0.00022334841002265627
3hhcoa_c,-0.009835417784316515
3hhdcoa_c,-0.010129250020517087
3hhexACP_c,0.0004077255677884483
3hmrsACP_c,9.46053905406343e-05
3hocoa_c,-0.01003895209920679
3hoctACP_c,0.0003068767080247188
3hoctaACP_c,1.895699775215326e-05
3hodcoa_c,-0.010159609707855318
