,0
R_DM_4crsol_c,5.671157168762875e-06
R_DM_5drib_c,-0.24281986409209821
R_DM_aacald_c,-0.11146694878289054
R_DM_amob_c,5.177662387723103e-08
R_DM_mththf_c,-0.24756056561818696
R_DM_oxam_c,-0.13576892085370673
R_BIOMASS_Ec_iJO1366_WT_53p95M,0.5099999999999909
R_BIOMASS_Ec_iJO1366_core_53p95M,-0.4845750724671234
R_EX_12ppd__R_e,0.09659770354733155
R_EX_12ppd__S_e,0.09069308511857344
R_EX_14glucan_e,1.4290435501607135e-09
R_EX_15dap_e,5.533593139261939e-09
R_EX_23camp_e,1.5352270565927029e-09
R_EX_23ccmp_e,2.1500454749912024e-09
R_EX_23cgmp_e,1.5247678675223142e-09
R_EX_23cump_e,2.1959749574307352e-09
R_EX_23dappa_e,5.721403795178048e-09
R_EX_26dap__M_e,6.814843800384551e-09
R_EX_2ddglcn_e,3.098421075264923e-08
R_EX_34dhpac_e,-7.958078640513122e-11
R_EX_3amp_e,1.9217623048461974e-09
R_EX_3cmp_e,2.953129296656698e-09
R_EX_3gmp_e,1.905618773889728e-09
R_EX_3hcinnm_e,2.233241502835881e-08
R_EX_3hpp_e,0.008260673479981051
R_EX_3hpppn_e,0.0020327737354364217
R_EX_3ump_e,3.0381670512724668e-09
R_EX_4abut_e,0.26368313179091274
R_EX_4hoxpacd_e,-7.958078640513122e-11
R_EX_5dglcn_e,1.627313395147212e-08
R_EX_5mtr_e,0.003439442590206454
R_EX_LalaDglu_e,2.6960378818330355e-08
R_EX_LalaDgluMdap_e,4.5145043259253725e-09
R_EX_LalaDgluMdapDala_e,3.448121788096614e-09
R_EX_LalaLglu_e,2.7182750272913836e-08
R_EX_ac_e,1.3212657981489428
R_EX_acac_e,0.0032627100122226693
R_EX_acald_e,1.1175666259077843e-07
R_EX_acgal_e,-6.662048690486699e-11
R_EX_acgal1p_e,-6.662048690486699e-11
R_EX_acgam_e,6.394202500814572e-09
R_EX_acgam1p_e,5.733909347327426e-09
R_EX_acmana_e,6.394202500814572e-09
R_EX_acmum_e,7.43875716580078e-09
R_EX_acnam_e,6.9953784986864775e-09
R_EX_acolipa_e,2.830802259268239e-10
R_EX_acser_e,7.723429007455707e-09
R_EX_ade_e,2.4674591259099543e-09
R_EX_adn_e,1.9956587493652478e-09
R_EX_adocbl_e,1.567741492181085e-09
R_EX_ag_e,-6.662048690486699e-11
R_EX_agm_e,4.506318873609416e-09
R_EX_akg_e,1.5803971404645836
R_EX_ala_B_e,5.496053745446261e-08
R_EX_ala__D_e,2.157412382075563e-08
R_EX_ala__L_e,2.4312612367793918e-08
R_EX_alaala_e,8.70295480126515e-09
R_EX_all__D_e,1.1925749276997522e-08
R_EX_alltn_e,3.0133833206491545e-09
R_EX_amp_e,1.9217623048461974e-09
R_EX_anhgm_e,2.8715021471725777e-09
R_EX_arab__L_e,1.4185161489876918e-08
R_EX_arbt_e,-8.003553375601768e-11
R_EX_arbtn_e,-7.503331289626658e-11
R_EX_arbtn_fe3_e,-7.480593922082335e-11
R_EX_arg__L_e,4.684125087806024e-09
R_EX_ascb__L_e,5.3287294576875865e-09
R_EX_asn__L_e,9.282075552619062e-09
R_EX_aso3_e,-8.003553375601768e-11
R_EX_asp__L_e,0.15639475451348517
R_EX_btn_e,9.270024747820571e-10
R_EX_but_e,0.008978335625442924
R_EX_butso3_e,2.2834228730062023e-08
R_EX_ca2_e,-3.3067476579162758e-06
R_EX_cbi_e,-9.00399754755199e-11
R_EX_cbl1_e,-0.00011373153779459244
R_EX_cd2_e,-7.503331289626658e-11
R_EX_cgly_e,3.813511284533888e-09
R_EX_chol_e,-7.707967597525567e-11
R_EX_chtbs_e,2.9165221349103376e-09
R_EX_cit_e,1.3133770385152275
R_EX_cl_e,-3.3067476579162758e-06
R_EX_cm_e,-6.662048690486699e-11
R_EX_cmp_e,2.953129296656698e-09
R_EX_co2_e,1.0777057468658313e-08
R_EX_cobalt2_e,-1.2562327356135938e-07
R_EX_colipa_e,3.292370820418e-10
R_EX_colipap_e,3.0877345125190914e-10
R_EX_cpgn_e,-7.503331289626658e-11
R_EX_cpgn_un_e,-7.503331289626658e-11
R_EX_crn_e,-8.458300726488233e-11
R_EX_crn__D_e,-8.458300726488233e-11
R_EX_csn_e,4.43765202362556e-09
R_EX_cu_e,1.4029875695687224
R_EX_cu2_e,-1.402987745842438
R_EX_cyan_e,-6.230038707144558e-11
R_EX_cynt_e,0.014892969010361412
R_EX_cys__D_e,5.552465154323727e-09
R_EX_cys__L_e,5.557467375183478e-09
R_EX_cytd_e,3.124796421616338e-09
R_EX_dad_2_e,2.1020696294726804e-09
R_EX_damp_e,2.0206698536640033e-09
R_EX_dca_e,0.10552105281908553
R_EX_dcmp_e,3.205741450074129e-09
R_EX_dcyt_e,3.407876647543162e-09
R_EX_ddca_e,0.1078932973261999
R_EX_dgmp_e,2.000888343900442e-09
R_EX_dgsn_e,2.0806965039810166e-09
R_EX_dha_e,2.2216681827558205e-08
R_EX_dimp_e,2.0982042769901454e-09
R_EX_din_e,2.1857431420357898e-09
R_EX_dms_e,-7.503331289626658e-11
R_EX_dmso_e,-7.503331289626658e-11
R_EX_dopa_e,-5.3660187404602766e-11
R_EX_doxrbcn_e,-6.662048690486699e-11
R_EX_dtmp_e,3.335344445076771e-09
R_EX_dump_e,3.2860043575055897e-09
R_EX_duri_e,3.4983713703695685e-09
R_EX_eca4colipa_e,1.4347278920467943e-10
R_EX_enlipa_e,6.261871021706611e-10
R_EX_enter_e,8.62200977280736e-10
R_EX_etha_e,1.2059444998158142e-08
R_EX_ethso3_e,1.0502367331355345e-07
R_EX_etoh_e,0.3942731054291926
R_EX_f6p_e,8.541064744349569e-09
R_EX_fald_e,3.725926944753155e-08
R_EX_fe2_e,-0.5404012484320901
R_EX_fe3_e,7.154312697821297e-09
