,Reaction_ID,forward,reverse
R_DM_4crsol_c,R_DM_4crsol_c,1481.2245022105692,1481.224496539412
R_DM_5drib_c,R_DM_5drib_c,1481.103094418683,1481.345914282775
R_DM_aacald_c,R_DM_aacald_c,1481.1687669491307,1481.2802338979136
R_DM_amob_c,R_DM_amob_c,1481.2244994008788,1481.2244993491022
R_DM_mththf_c,R_DM_mththf_c,1481.1007242641049,1481.348284829723
R_DM_oxam_c,R_DM_oxam_c,1481.1566164701342,1481.2923853909879
R_BIOMASS_Ec_iJO1366_WT_53p95M,R_BIOMASS_Ec_iJO1366_WT_53p95M,1481.4795213247357,1480.9695213247358
R_BIOMASS_Ec_iJO1366_core_53p95M,R_BIOMASS_Ec_iJO1366_core_53p95M,1480.982231654541,1481.4668067270081
R_EX_12ppd__R_e,R_EX_12ppd__R_e,1481.272799014214,1481.1762013106666
R_EX_12ppd__S_e,R_EX_12ppd__S_e,1481.2698466116742,1481.1791535265556
R_EX_14glucan_e,R_EX_14glucan_e,1481.2244993757047,1481.2244993742756
R_EX_15dap_e,R_EX_15dap_e,1481.224499377757,1481.2244993722234
R_EX_23camp_e,R_EX_23camp_e,1481.2244993757583,1481.2244993742231
R_EX_23ccmp_e,R_EX_23ccmp_e,1481.2244993760653,1481.2244993739153
R_EX_23cgmp_e,R_EX_23cgmp_e,1481.2244993757533,1481.2244993742286
R_EX_23cump_e,R_EX_23cump_e,1481.2244993760885,1481.2244993738925
R_EX_23dappa_e,R_EX_23dappa_e,1481.2244993778515,1481.2244993721301
R_EX_26dap__M_e,R_EX_26dap__M_e,1481.224499378398,1481.224499371583
R_EX_2ddglcn_e,R_EX_2ddglcn_e,1481.2244993904826,1481.2244993594984
R_EX_34dhpac_e,R_EX_34dhpac_e,1481.2244993749505,1481.22449937503
R_EX_3amp_e,R_EX_3amp_e,1481.2244993759516,1481.2244993740298
R_EX_3cmp_e,R_EX_3cmp_e,1481.2244993764675,1481.2244993735144
R_EX_3gmp_e,R_EX_3gmp_e,1481.2244993759432,1481.2244993740376
R_EX_3hcinnm_e,R_EX_3hcinnm_e,1481.224499386157,1481.2244993638246
R_EX_3hpp_e,R_EX_3hpp_e,1481.2286297174885,1481.2203690440085
R_EX_3hpppn_e,R_EX_3hpppn_e,1481.225515762207,1481.2234829884715
R_EX_3ump_e,R_EX_3ump_e,1481.2244993765098,1481.2244993734716
R_EX_4abut_e,R_EX_4abut_e,1481.3563468083953,1481.0926636766044
R_EX_4hoxpacd_e,R_EX_4hoxpacd_e,1481.2244993749505,1481.22449937503
R_EX_5dglcn_e,R_EX_5dglcn_e,1481.2244993831273,1481.2244993668542
R_EX_5mtr_e,R_EX_5mtr_e,1481.226219097284,1481.2227796546938
R_EX_LalaDglu_e,R_EX_LalaDglu_e,1481.2244993884713,1481.2244993615109
R_EX_LalaDgluMdap_e,R_EX_LalaDgluMdap_e,1481.2244993772474,1481.224499372733
R_EX_LalaDgluMdapDala_e,R_EX_LalaDgluMdapDala_e,1481.224499376715,1481.2244993732668
R_EX_LalaLglu_e,R_EX_LalaLglu_e,1481.2244993885822,1481.2244993613995
R_EX_ac_e,R_EX_ac_e,1481.8852795967043,1480.5640137985554
R_EX_acac_e,R_EX_acac_e,1481.2261307308952,1481.222868020883
R_EX_acald_e,R_EX_acald_e,1481.2244994308692,1481.2244993191125
R_EX_acgal_e,R_EX_acgal_e,1481.2244993749573,1481.224499375024
R_EX_acgal1p_e,R_EX_acgal1p_e,1481.2244993749573,1481.224499375024
R_EX_acgam_e,R_EX_acgam_e,1481.2244993781878,1481.2244993717936
R_EX_acgam1p_e,R_EX_acgam1p_e,1481.2244993778577,1481.2244993721238
R_EX_acmana_e,R_EX_acmana_e,1481.2244993781878,1481.2244993717936
R_EX_acmum_e,R_EX_acmum_e,1481.22449937871,1481.2244993712713
R_EX_acnam_e,R_EX_acnam_e,1481.2244993784882,1481.2244993714928
R_EX_acolipa_e,R_EX_acolipa_e,1481.2244993751322,1481.224499374849
R_EX_acser_e,R_EX_acser_e,1481.2244993788522,1481.2244993711288
R_EX_ade_e,R_EX_ade_e,1481.2244993762245,1481.224499373757
R_EX_adn_e,R_EX_adn_e,1481.224499375989,1481.2244993739932
R_EX_adocbl_e,R_EX_adocbl_e,1481.2244993757745,1481.2244993742067
R_EX_ag_e,R_EX_ag_e,1481.2244993749573,1481.224499375024
