Reaction_ID	Flux
Growth_rate	0.4
EX_glc__D_e	-14.0833333333333
HEX1	14.0833333333333
PGI	7.41628333333333
PFK	9.15416666666667
FBA	9.15416666666667
TPI	9.15416666666665
GAPD	18.4886
PGK	-18.4886
PGM	-18.4886
ENO	18.4886
PYK	18.3928333333333
PDHm	0.605583333333333
CSm	0.295749999999999
ACONTm	0.29575
ICDHym	0.29575
AKGDam	0.0
AKGDbm	0.0
SUCOASm	0.0
SUCD1m	0.0
FUMm	14.310075
G6PDH2r	2.74625
PGL	2.74625
GND	2.74625
TKT1	0.915416666666665
TALA	0.915416666666667
TKT2	0.821058333333331
ME2m	0.291384166666667
PC	0.890066666666667
ACS	0.512633333333333
ALDD2y	0.842183333333333
PYRDC	16.57045
