,Lagrange_coef
2dr5p_c,2565.2213797927343
2hb_c,-3.329381489262974
2hb_e,-3.0848340341577956
2hhxdal_c,8944.020488384025
2hp6mbq_m,10037.0214493199
2hp6mp_m,8917.968563817709
2hpmhmbq_m,12918.052259442933
2hpmmbq_m,11331.8571866558
2ippm_c,-2.285005924684675
2kmb_c,-11.743922205835057
2mahmp_c,1917.7838864315745
2mbac_c,-2.2006074028484566
2mbac_e,-1.1468074039419278
2mbald_c,-0.8050885715851083
2mbald_e,-0.8050885715828039
2mbald_m,-0.8050885715846473
2mbtoh_c,-0.04913366069172961
2mbtoh_e,-0.04913366069384638
2mbtoh_m,-0.04913366069218873
2mcit_m,-2.3079111314756946
2mppal_c,-0.8151250818261205
2mppal_e,-0.8151250818238139
2mppal_m,-0.8151250818256964
2obut_c,-4.039609997166001
2obut_m,-4.041610913483337
2oxoadp_c,-3.542837196267114
2oxoadp_m,-3.539865417461163
2pg_c,-1.4354569129837689
2phetoh_c,-0.038067660135589786
2phetoh_e,-0.038067660138564705
2phetoh_m,-0.03806766013594555
10fthf_c,6450.683268214114
34hpl_m,687.7867773944595
34hpp_c,-6.985508102885019
34hpp_m,-7.1572591953965405
10fthf_m,8102.486040015813
4fumacac_c,7024.822041929671
34hpp_x,100.68731724912831
35ccmp_c,-4593.776083283008
4gudbd_c,-2566.7360754354904
12dgr_SC_c,-8496.377965824428
35cdamp_c,-4598.414596468356
13BDglcn_c,-3.049941146443084
4gudbutn_c,2566.7364824971683
35cgmp_c,-4604.78239550764
4h2oglt_c,5447.473916233566
13BDglcn_e,-5132.942445780464
35cimp_c,-4599.977302558306
13dampp_c,7094.9600091969405
13dpg_c,-3.068970076411653
4h2oglt_m,5447.473916233566
4h2oglt_x,5447.473916233566
3c2hmp_c,-1.8266935066534504
14glun_c,-2.5799022940471525
3c3hmp_c,-1.8256743250939889
16BDglcn_c,4572.2457999255
3c3hmp_e,-1.8256743250915222
1Dgali_c,-1306.8336892211287
4hbz_c,3567.5769608164064
3c3hmp_m,-1.8225966340856947
4hbz_m,3567.576960816408
1ag3p_SC_c,-4350.337264907044
4hbzcoa_m,4133.659166842786
3c4mop_c,-2.5374005924022227
4hglusa_m,-31.436893148434372
1agly3p_SC_c,-4376.3674072275835
1agpc_SC_c,-6417.198755168565
3c4mop_m,-2.537400592400146
1mncam_c,1040.8754330271072
4hpro_LT_c,-3833.6633508167038
3dh5hpb_c,7017.663342088506
4hpro_LT_m,-3833.6633508167006
1p3h5c_c,-8515.44470003495
3dh5hpb_m,7017.663342088508
