,0
R_CITtcp,3.9694469933238e-11
R_13BGH,-9.701750514068408e-11
R_13BGHe,-3.33386651618639e-11
R_13GS,0.45391999990298615
R_16GS,-5.000089231543825e-11
R_23CAPPD,-3.3332447912926e-11
R_2DDA7Ptm,-0.10571999854445124
R_2DHPtm,-2.184208369726548e-11
R_2DOXG6PP,-3.33333360913457e-11
R_2HBO,9.705303227747208e-11
R_2HBt2,9.705303227747208e-11
R_2HMHMBQMTm,-7.639755494892597e-11
R_2HP6MPMOm,-9.880096740744193e-11
R_2HPMBQMTm,-9.659473221290682e-11
R_2HPMMBQMOm,-9.099565545511723e-11
R_2MBACt,-9.125145083999087e-11
R_EX_epistest_SC_e,-4.959233024237619e-11
R_EX_epist_e,-9.987033422476088e-11
R_2MBALDt,-8.876810397850932e-11
R_2MBALDtm,-1.7756462966644904e-11
R_2MBTOHt,8.15418843558291e-11
R_ACACT6p,-1.0148260010112153e-10
R_2MBTOHtm,1.7688961406747694e-11
R_ACACT7p,-9.674472334353368e-11
R_2MPPALt,-8.884981639312173e-11
R_ACACT8p,-9.235645581640028e-11
R_ACACT9p,-1.0531631122745466e-10
R_ACALDCD,1.8192736206401605e-10
R_ACALDt,6.922107331774896e-11
R_ACALDtm,-0.3657599962476894
R_ACCOAC,0.15903999150633297
R_ACCOACrm,-9.294054414965558e-10
R_AGAT_SC,0.0098799996097938
R_AGPRim,0.06427999946609475
R_AGTi,0.020844001519737976
R_AHCYStm,2.736264548275358e-10
R_ACCOAtn,-5.03455055422819e-11
R_2MPPALtm,-1.6342482922482304e-11
R_ACESt,-1.481481604059809e-11
R_ACGAM6PS,-7.999645390555088e-11
R_AHCi,0.0074799989165086345
R_AHMMPS,-8.357403658010298e-11
R_AHSERL,-4.999378688808065e-11
R_AHSERL2,0.022919999506910926
R_ACGAMPM,-7.999645390555088e-11
R_ACGKm,0.06427999944610008
R_2OBUTtm,0.07707999958966738
R_ACGSm,-8.000000661922968e-11
R_2OXOADPtim,0.11447999978447854
R_ACHBSm,0.07707999963861667
R_ACHLE1,-4.7918113921241456e-11
R_2PHETOHt,-1.1460343785074656e-10
R_ACHLE2,-4.8252069007048703e-11
R_ACHLE3,-8.146283647647579e-11
R_ACLSm,0.22439999920287335
R_2PHETOHtm,-1.3706369372812333e-11
R_ACOAHim,-8.516032323768741e-11
R_34HPLFM,-9.957901170309924e-11
R_ACOAO4p,-7.210765318177437e-11
R_AICART,0.06611599896820053
R_AIRCr,0.03959599923427959
R_AKGDam,-9.235989750777662e-11
R_AKGDbm,-9.235989750777662e-11
R_ACOAO5p,-7.406036894863632e-11
R_ACOAO6p,-7.869532803184143e-11
R_ACOAO7p,-7.70040697872787e-11
R_ACOAO8p,-5.7419347054832315e-11
R_ACOAO9p,-5.0143222907195195e-11
R_AKGMAL,-1.1374012842679804e-10
R_AKGt2n,-4.999733960175945e-11
R_AKGt2r,-1.91597848697711e-11
R_34HPPOR,-9.705303227747208e-11
R_AKGtp,1.0684075846256746e-10
R_AKP1,-6.290790111052047e-11
R_ALASm,-1.1673328970118746e-10
R_ALATA_L,-0.20436400156991308
R_ALATA_Lm,4.6348702653631335e-11
R_ACOATA,-2.859223968698643e-11
R_ACOATAm,-5.864109198228107e-11
R_ACON3MT,-3.33333360913457e-11
R_ALATRS,-3.33315597345063e-11
R_34HPPt2m,3.6089993216137373e-09
R_ALAt2r,7.263878387675504e-11
R_ALAtmi,-4.6348702653631335e-11
R_ACONT,0.2918535605233359
R_ACONT3m,-9.462297612117254e-11
R_ACONTm,0.1365104393572949
R_ACOTAim,0.06427999948609653
R_ALCD19y,-5.000089231543825e-11
R_ALCD22xi,9.876544027065393e-11
R_ALCD22xim,-1.77351466845721e-11
R_34HPPt2p,-8.951772656473622e-11
R_ALCD22yi,-9.029577086039353e-11
R_ALCD23xi,1.0717826626205351e-10
