,Lagrange_coef
2dr5p_c,2849.2092074111033
2hb_c,-0.6527087954580945
2hb_e,-0.5011065007516441
2hhxdal_c,9807.475183351029
2hp6mbq_m,10755.520799404494
2hp6mp_m,9556.349763736733
2hpmhmbq_m,13856.659887717731
2hpmmbq_m,12149.31398403717
2ippm_c,-0.5001014168324351
2kmb_c,-1.8136970438235316
2mahmp_c,2079.1598512097066
2mbac_c,-0.22973912277884823
2mbac_e,-0.11532883692924761
2mbald_c,-0.25360306966555335
2mbald_e,-0.25360306966429924
2mbald_m,-0.2536030696657992
2mbtoh_c,-0.12236940583265532
2mbtoh_e,-0.1223694058321991
2mbtoh_m,-0.12236940583249992
2mcit_m,-0.4891706930856757
2mppal_c,-0.19112820401103056
2mppal_e,-0.1911282040099418
2mppal_m,-0.19112820401193992
2obut_c,-0.7108756356781134
2obut_m,-0.7112849137216363
2oxoadp_c,-0.623765696391622
2oxoadp_m,-0.6231578327994275
2pg_c,-0.2792872466703281
2phetoh_c,-0.08055619065853059
2phetoh_e,-0.08055619065880064
2phetoh_m,-0.08055619065797427
10fthf_c,6937.672454048607
34hpl_m,740.981644152824
34hpp_c,-0.3523101206790434
34hpp_m,-0.3779205709110668
10fthf_m,8717.843025614673
4fumacac_c,7630.052718854739
34hpp_x,121.41099034445023
35ccmp_c,-5053.223937764615
4gudbd_c,-2849.66247923219
12dgr_SC_c,-1309.345338658409
35cdamp_c,-5054.239902899121
13BDglcn_c,0.1250486233894416
4gudbutn_c,2849.662479077341
35cgmp_c,-5055.7460333311465
4h2oglt_c,5976.98949864819
13BDglcn_e,-5699.979206294184
35cimp_c,-5055.281585245657
13dampp_c,7755.27313370036
13dpg_c,-0.342279344586765
4h2oglt_m,5976.98949864819
4h2oglt_x,5976.98949864819
3c2hmp_c,-0.5001783750855019
14glun_c,0.12722905241604612
3c3hmp_c,-0.49964425268853296
16BDglcn_c,5047.436639524403
3c3hmp_e,-0.49964425268679535
1Dgali_c,-1399.8955258633544
4hbz_c,3823.911024173429
3c3hmp_m,-0.4990147248714126
4hbz_m,3823.91102417343
1ag3p_SC_c,-665.4158356639595
4hbzcoa_m,4445.221866416325
3c4mop_c,-0.5585203399891971
4hglusa_m,-36.65663003125789
1agly3p_SC_c,-658.2103925648892
1agpc_SC_c,-956.2654210573603
3c4mop_m,-0.5585203399874981
1mncam_c,1225.8521539128467
4hpro_LT_c,-4190.611010648831
3dh5hpb_c,7521.196021106942
4hpro_LT_m,-4190.611010648829
1p3h5c_c,-9365.298519346436
3dh5hpb_m,7521.196021106944
1p3h5c_m,-37.02554489163087
4hthr_c,3634.8671288083447
3dhq_c,0.08360246102531922
4mhetz_c,2755.7158112887573
4mlacac_c,4756.259109387365
1pyr5c_c,-0.6825578275033883
3dhsk_c,0.08277571925078345
1pyr5c_m,-0.8897684076421873
4mop_c,-0.6067904616539102
3dsphgn_c,356.06904320438815
4mop_m,3656.6505111261977
3hanthrn_c,-0.14467000899108318
4mpetz_c,2755.376374914133
3hdcoa_x,7276.94052322698
4mzym_c,-11.08608559206794
23camp_c,-2849.8010406851886
3hddcoa_x,5789.893895860877
4mzym_int1_c,-10.521016275564778
4mzym_int2_c,-10.89486353905133
4pasp_c,-0.504712276378746
4ppan_c,475.3037436649936
4ppcys_c,950.0893205847739
4r5au_c,-4.001598123801823
23dhmb_m,-0.16208959393966826
3hhdcoa_x,3543.758315499149
23dhmp_m,-0.9092883411277631
5aizc_c,-2.281832967182406
5aop_c,130.74906875718975
3hodcoa_x,2451.405890608105
5aop_e,-5641.1810950979825
23dpg_c,-0.6101269692592413
25aics_c,-2.9017602391385453
5aop_m,130.7490687571869
3hph5mb_m,8490.474795419126
5aprbu_c,-4.154184971453074
25dhpp_c,-4.248035443557658
3htdcoa_x,4611.748648058465
25dthpp_c,-4.439259242809415
5dpmev_c,-1.2471286485594137
3hxccoa_x,-2232.486323627211
5fthf_c,521.7201397406398
2ahbut_m,-0.7038197732604151
3ig3p_c,-1.5096014660070778
2ahhmd_m,4942.134565538611
5fthf_m,8717.90897319331
3ipmmest_c,5046.075018850686
2ahhmp_m,3883.8424057685615
3mbald_c,-0.2705529518429305
2amsa_c,-0.17848521593884176
3mbald_e,-0.2705529518415992
2aobut_c,-6599.404773052012
5mdr1p_c,-0.9768485664294884
3mbald_m,-0.270552951843311
5mdru1p_c,-0.9768485664279177
2cpr5p_c,-1.461512332865045
2dda7p_c,-0.06815965569526587
3mob_c,-0.23847501037620508
2dda7p_m,-0.06759830550062697
5mta_c,-4.237092662569359
5mthf_c,6937.5584618706625
3mob_m,-0.23791302297931088
5pmev_c,-1.122285311299945
2dglc_c,2849.7118240660798
3mop_c,-0.9852696940961169
2dhp_c,0.27603285830207686
6dg_c,-6213.132750258269
3mop_e,-0.9852696940941889
2dhp_m,0.27603285830294333
3mop_m,-0.9848708227769832
2doxg6p_c,-2849.711824103751
6pgc_c,0.02259033068785578
3odcoa_x,7276.894994967617
6pgl_c,0.37906389223382986
2dr1p_c,-0.1851535782143448
3oddcoa_x,5789.848367601514
6pgl_r,0.37907005156811013
3ohdcoa_x,3543.7127872397864
8aonn_c,-4164.760247323133
3ohodcoa_x,2451.360362348742
8aonn_e,-4164.608645028424
acon_T_c,-2849.07689630743
3ohxccoa_x,-2232.5318518865733
ACP_c,4376.229504371616
3ophb_5_c,6685.209542322994
ACP_m,-9981.36406989038
acorn_m,3422.834801704631
Dara14lac_c,1139.0529496499653
3ophb_5_m,6685.209542322992
acrn_c,-2810.7299785435807
3otdcoa_x,4611.703119799103
acrn_m,-2810.653149780788
L2aadp6sa_c,-0.989538537204931
L2aadp_c,-0.833367735916375
3pg_c,-0.25040806943724203
cysi__L_c,2849.1260572943143
acrn_x,-2932.6597673969122
3php_c,-0.3090388875239161
acser_c,-0.468769113816037
cysi__L_v,-2849.1260573168815
3psme_c,-0.6452291725820948
Lfmkynr_c,-1.3080023987975622
actn__R_c,0.023114825324981006
44mctr_c,-9.618943574987826
acybut_c,-5050.29247726794
Lkynr_c,-1.064015900928493
44mzym_c,-9.810166730554172
N1aspmd_c,-0.9201859310309044
ade_c,-3.0541627051278804
4aabutn_c,-0.607812850890317
ade_e,-5702.899754487693
N1sprm_c,-1.4161176953800194
4abut_c,-0.5081601142901038
NPmehis_c,5044.993679617335
Nbfortyr_c,-0.3151796881049322
Nbfortyr_e,-0.1589609713134816
ade_m,-3.0541627051278804
adn_c,-2.794398799431645
adn_e,-5702.674397100239
4abut_e,-0.3565578195845924
adn_m,-2.8200092493694946
Nfortyr_c,-0.13748077383173274
Sfglutth_c,2704.2233509053544
4abut_m,-0.5081601142918978
Ssq23epx_c,-9.388366101695226
adp_c,-3.312380781809514
4abutn_c,-3303.16725927573
adp_g,-8422.988909700596
adp_m,-5557.492839923215
Ssq23epx_r,-9.38836142909771
T4hcinnm_m,1487.1607522149657
4abutn_m,-3303.167259275728
aacald_c,1547.532380959779
adp_n,1062.1091046980548
4abz_c,-0.05890663277643375
adp_v,-1559.806663996885
aacoa_c,1424.7966775350508
4abz_e,-0.0589066327776182
aacoa_m,1424.5700487648974
adp_x,3626.8636453394356
4abz_m,-0.05890663277347489
adprib_c,9063.708244248868
aact_c,-3072.1461299548782
4adcho_c,-0.24405422147722305
abt_c,-2842.4097207421855
adprib_m,4120.601029184922
ahcys_c,-4.473918531130922
abt_e,-2842.4097207421837
4ahmmp_c,2079.342870866452
ahcys_m,-4.473918531136733
4ampm_c,2079.106672914936
ahdt_c,675.919965213673
acACP_c,4376.009504056618
atp_n,-5179.480984295979
acACP_m,-9981.407057605347
ac_c,-0.005843218198316077
ac_e,-0.0022326130629733466
aicar_c,-2.7680145834599443
air_c,-2.329466446980429
akg_c,-0.28975659430117917
akg_e,-0.1437502500875999
akg_m,-0.28350068504432163
atp_v,1559.8066640771426
akg_n,-0.3013589365070509
ac_m,-0.004879811433456609
ac_x,-0.005843218197457237
atp_x,3718.5028730541594
acac_c,11492.259521371107
b124tc_m,-0.6211622021149146
acald_c,0.008858928922567262
akg_x,-0.2897565943034489
ala_B_c,-0.3435160589790391
btamp_c,4184.165070762291
ala__L_c,-0.14865986272920012
acald_e,0.0044294644394884475
acald_m,0.007865999692176485
btd_RR_c,0.06311076839531156
accoa_c,1424.436181107434
ala__L_e,0.0024147073762207424
btd_RR_e,0.0315553841945969
ala__L_m,-0.1728245155212195
accoa_m,1424.6130541447314
