,0
R_CITtcp,3.97015753605956e-11
R_13BGH,-8.165557119355071e-11
R_13BGHe,-3.33386651618639e-11
R_13GS,0.11347999991834712
R_16GS,-5.000089231543825e-11
R_23CAPPD,-3.3332447912926e-11
R_2DDA7Ptm,-0.026429998635354224
R_2DHPtm,-4.079225845998735e-11
R_2DOXG6PP,-3.33351124481851e-11
R_2HBO,8.186162858692114e-11
R_2HBt2,8.185807587324234e-11
R_2HMHMBQMTm,-7.639755494892597e-11
R_2HP6MPMOm,-9.879741469376313e-11
R_2HPMBQMTm,-9.659473221290682e-11
R_2HPMMBQMOm,-9.099565545511723e-11
R_2MBACt,-2.0012436152683222e-11
R_EX_epistest_SC_e,-4.959588295605499e-11
R_EX_epist_e,-9.903189379656396e-11
R_2MBALDt,-5.904610134166433e-11
R_2MBALDtm,1.1574741165532032e-11
R_2MBTOHt,-2.148325961570663e-11
R_ACACT6p,-1.0152945151276072e-10
R_2MBTOHtm,-7.318590178329032e-12
R_ACACT7p,-9.674039347373764e-11
R_2MPPALt,-5.126921109877003e-11
R_ACACT8p,-9.234213393938262e-11
R_ACACT9p,-1.0533796057643485e-10
R_ACALDCD,1.5844534573261626e-09
R_ACALDt,-0.2085527323895917
R_ACALDtm,-0.04674999917843081
R_ACCOAC,0.039759992532353294
R_ACCOACrm,-9.292913105696243e-10
R_AGAT_SC,0.0024699996176238415
R_AGPRim,0.01606999951052046
R_AGTi,0.005211001453034214
R_AHCYStm,2.736300075412146e-10
R_ACCOAtn,-5.029576755077869e-11
R_2MPPALtm,4.2810199829546036e-11
R_ACESt,1.0789236171149241e-10
R_ACGAM6PS,-7.988987249518686e-11
R_AHCi,0.0018699989639543446
R_AHMMPS,-8.290967912216729e-11
R_AHSERL,-4.999378688808065e-11
R_AHSERL2,0.0057299994532513665
R_ACGAMPM,-7.991829420461727e-11
R_ACGKm,0.016069999490525788
R_2OBUTtm,0.0192699993141332
R_ACGSm,-8.000000661922968e-11
R_2OXOADPtim,0.028619999790691963
R_ACHBSm,0.019269999660433967
R_ACHLE1,-6.747313818777911e-11
R_2PHETOHt,-1.2718714970105793e-11
R_ACHLE2,-7.145395386487507e-11
R_ACHLE3,-7.778311328365817e-11
R_ACLSm,0.056099999371539866
R_2PHETOHtm,2.6190605240117293e-11
R_ACOAHim,-6.45030695523019e-11
R_34HPLFM,-9.957901170309924e-11
R_ACOAO4p,-7.203482255135896e-11
R_AICART,0.01652899899866611
R_AIRCr,0.009898999260634866
R_AKGDam,-6.786748940612597e-11
R_AKGDbm,-6.786748940612597e-11
R_ACOAO5p,-7.405276392091764e-11
R_ACOAO6p,-7.87281351222191e-11
R_ACOAO7p,-7.702283255639486e-11
R_ACOAO8p,-5.74402747588465e-11
R_ACOAO9p,-5.015010628994787e-11
R_AKGMAL,-0.26347497412892196
R_AKGt2n,-5.000089231543825e-11
R_AKGt2r,-0.26347497409216203
R_34HPPOR,-9.705658499115088e-11
R_AKGtp,1.0685852203096147e-10
R_AKP1,-6.290079568316287e-11
R_ALASm,-1.1673861877170566e-10
R_ALATA_L,-0.16478255074030912
R_ALATA_Lm,-2.7620572495834494e-10
R_ACOATA,-2.8631319537453237e-11
R_ACOATAm,-5.864819740963867e-11
R_ACON3MT,-3.33315597345063e-11
R_ALATRS,-3.33315597345063e-11
R_34HPPt2m,1.4308994877865189e-08
R_ALAt2r,-0.113691549500615
R_ALAtmi,2.7620572495834494e-10
R_ACONT,0.05735802490802655
R_ACONT3m,-7.440803528879769e-11
R_ACONTm,0.04973297518378672
R_ACOTAim,0.016069999530529344
R_ALCD19y,-5.000799774279585e-11
R_ALCD22xi,2.5124791136477143e-11
R_ALCD22xim,9.052314453583676e-12
R_34HPPt2p,-8.952127927841502e-11
R_ALCD22yi,-7.099743015714921e-11
R_ALCD23xi,7.105427357601002e-11
R_ALCD23xim,4.232703076922917e-11
R_ALCD23yi,-6.95479229761986e-11
R_ALCD24xi,3.5072389437118545e-11
R_ALCD24xim,1.6044054973463062e-11
R_ACP1e,-6.363443105783517e-11
R_ACPSm,-3.3651303965598345e-11
R_ACRNtm,1.880096078821225e-11
R_ACRNtp,-9.586997862243152e-11
R_ACS,0.05108999010879245
R_ACSm,0.0013900029667013314
R_ACSp,-4.04440925194649e-11
