,Lagrange_coef
2dr5p_c,-0.07983891800257635
2hb_c,-0.18602532616791062
2hb_e,-0.2176691052536846
2hhxdal_c,-1.833829538589657
2hp6mbq_m,-4.978254506774635
2hp6mp_m,-5.039331276639608
2hpmhmbq_m,-5.000546666727185
2hpmmbq_m,-5.1199742425601835
2ippm_c,-0.6151412854848253
2kmb_c,-0.8102102485768264
2mahmp_c,-0.504781761206399
2mbac_c,-0.6407999969573425
2mbac_e,-0.6407999969551148
2mbald_c,-0.5170886196871548
2mbald_e,-0.5170886196850152
2mbald_m,-0.5164909721326173
2mbtoh_c,-0.4607408901730848
2mbtoh_e,-0.4607408901710011
2mbtoh_m,-0.46133853772762207
2mcit_m,-0.29325687348701585
2mppal_c,-0.39455719253347094
2mppal_e,-0.39455719253147326
2mppal_m,-0.39392061087007396
2obut_c,-0.24319053026967288
2obut_m,-0.24529576176731938
2oxoadp_c,-0.386916081952303
2oxoadp_m,-0.3839443030636716
2pg_c,-0.07673703382390346
2phetoh_c,-0.9935800366617028
2phetoh_e,-0.9935800366593445
2phetoh_m,-0.9942166183251203
10fthf_c,-2.7260368471504997
34hpl_m,-0.8625441986263663
34hpp_c,-0.9160261152724548
34hpp_m,-0.9173201832978879
10fthf_m,-2.717824713764723
4fumacac_c,-0.5673645530510991
34hpp_x,-0.9194859858987382
35ccmp_c,-1.474182922580429
4gudbd_c,-0.11929064558187304
12dgr_SC_c,-402.1714209335743
35cdamp_c,-2.3367426159264957
13BDglcn_c,-0.039276830747673984
4gudbutn_c,0.11929064558182695
35cgmp_c,-2.123463628021989
4h2oglt_c,0.23229176613619085
13BDglcn_e,0.01722368829710168
35cimp_c,-1.9325783107548977
13dampp_c,-0.6266858039536246
13dpg_c,-0.16339780541555804
4h2oglt_m,0.23311047878279562
4h2oglt_x,0.2323055237708594
3c2hmp_c,-0.4432624439534982
14glun_c,0.1232365888734924
3c3hmp_c,-0.4422432623938754
16BDglcn_c,-0.04868574236600612
3c3hmp_e,-0.442243262391813
1Dgali_c,-0.09068029721911675
4hbz_c,-0.7388403606255972
3c3hmp_m,-0.44123865416473323
4hbz_m,-0.7385758648099512
1ag3p_SC_c,-211.88612640800972
4hbzcoa_m,-5.18123486186179
3c4mop_c,-0.5009062259785652
4hglusa_m,-0.023500264148342963
1agly3p_SC_c,-217.23426700115078
1agpc_SC_c,-286.2968259289505
3c4mop_m,-0.5009062259785652
1mncam_c,-1.2349671762786454
4hpro_LT_c,-0.1458484343737131
3dh5hpb_c,-4.826255144605492
4hpro_LT_m,-0.1458484343737131
1p3h5c_c,-0.25607748885974885
3dh5hpb_m,-4.826255144605492
1p3h5c_m,-0.25740156201243525
4hthr_c,0.033319265114847355
3dhq_c,-0.24783480922735582
4mhetz_c,-1.202243097376188
4mlacac_c,-0.5673645530510991
1pyr5c_c,-0.7378989739354392
3dhsk_c,-0.4215095966787244
1pyr5c_m,-0.7317048684480609
4mop_c,-0.524148471626868
3dsphgn_c,-2.184201950138388
4mop_m,-0.5161397061640648
3hanthrn_c,-0.853055273309957
4mpetz_c,-1.3550022731967213
3hdcoa_x,-5.435616360398933
4mzym_c,-3.7860401391953116
23camp_c,-0.11330180932927111
3hddcoa_x,-5.691900630023349
4mzym_int1_c,-3.714825523925268
4mzym_int2_c,-3.840885913969072
4pasp_c,-0.3890304466638975
4ppan_c,-1.0511907150787547
4ppcys_c,-1.9764210608893318
4r5au_c,-1.2885598499588886
23dhmb_m,-0.19847283452258263
3hhdcoa_x,-6.206528824305395
23dhmp_m,-0.32318551884828045
5aizc_c,-1.32049587942411
5aop_c,-0.49678922883360155
3hodcoa_x,-6.463959181646466
5aop_e,-0.5284330078522569
23dpg_c,-0.2176129917629706
25aics_c,-1.7957440180421118
5aop_m,-0.49678922882536763
3hph5mb_m,-4.96797488039104
5aprbu_c,-1.4326069377677115
25dhpp_c,-1.7802032126993097
3htdcoa_x,-5.949184663022765
25dthpp_c,-1.7253687582198303
5dpmev_c,-0.5742271695266368
3hxccoa_x,-7.492725539038025
5fthf_c,-2.709148878350895
2ahbut_m,-0.37869432126981767
3ig3p_c,-1.5057668548253593
2ahhmd_m,-1.127525100212305
5fthf_m,-2.7131667955555288
3ipmmest_c,-0.5288592636759789
2ahhmp_m,-0.8709484468129891
3mbald_c,-0.5388128677833425
2amsa_c,-0.23675600633963578
3mbald_e,-0.5388128677811845
2aobut_c,-0.3467540077589739
5mdr1p_c,-0.7421075262808319
3mbald_m,-0.5381762861199367
5mdru1p_c,-0.7421075262711628
2cpr5p_c,-1.3160120415202046
2dda7p_c,-0.21821738933323798
3mob_c,-0.3798927963663154
2dda7p_m,-0.2154824980642106
5mta_c,-2.60826286820804
5mthf_c,-2.7286731111555023
3mob_m,-0.3773769329441801
5pmev_c,-0.46864082366489546
2dglc_c,0.07202868377862309
3mop_c,-0.5024242235148668
2dhp_c,-0.39058682961417884
6dg_c,0.006245692202555083
3mop_e,-0.5024242235127406
2dhp_m,-0.39088775029314954
3mop_m,-0.501350577356643
2doxg6p_c,-0.07202868377862763
6pgc_c,-0.009182556659067158
3odcoa_x,-5.483638552883256
6pgl_c,-0.10754131753572095
2dr1p_c,-0.20897518077273558
3oddcoa_x,-5.739698567233074
6pgl_r,-0.10751120514188608
3ohdcoa_x,-6.254340601327323
8aonn_c,-4367.200576995365
3ohodcoa_x,-6.511604971546663
8aonn_e,-4367.232220774438
acon_T_c,0.04279840986123984
3ohxccoa_x,-7.54028677799747
ACP_c,1.4440625030805503
3ophb_5_c,-4.944194227377834
ACP_m,1.4354393916733716
acorn_m,-0.9352670420091457
Dara14lac_c,-3562.105437813884
3ophb_5_m,-4.944194227377834
acrn_c,-2911.210136102047
3otdcoa_x,-5.996913699154526
acrn_m,-2911.2103278131062
L2aadp6sa_c,-0.6482632793766615
L2aadp_c,-0.5780448526460266
3pg_c,-0.0687429226622694
cysi__L_c,-9.547718400508048e-05
acrn_x,-2911.2101973903427
3php_c,-0.12739885078164448
