	0
R_SS0001	-0.020162646151408746
R_SS0002	0.12911547275110904
R_SS0003	2.0299841367865668e-06
R_SS0004	0.008553421364530321
R_SS0005	0.012709519361034592
R_SS0006	0.012711539332763134
R_SS0007	-0.0011691918878007357
R_SS0008	4.7005098301234724e-06
R_SS0009	9.059116200198053e-07
R_SS0010	0.008607996343015456
R_SS0011	-0.008552411367175439
R_SS0012	0.00860900634057703
R_SS0013	0.008551401369698692
R_SS0014	0.008661524304546402
R_SS0015	-9.998057884449497e-09
R_SS0016	-9.99805929974805e-09
R_SS0017	0.008661524276414975
R_SS0018	-9.999005220147042e-09
R_SS0019	0.008660514309977316
R_SS0020	-9.976038301622765e-09
R_SS0021	-9.989613218104642e-09
R_SS0022	6.732840390188954e-05
R_SS0023	6.631840507687059e-05
R_SS0024	4.804592640990011e-06
R_SS0025	6.429840874985665e-05
R_SS0026	-9.997492665418553e-09
R_SS0027	0.00860127584129689
R_SS0028	0.00866253425229983
R_SS0029	1.0099905432219302e-06
R_SS0030	-9.996496202629498e-09
R_SS0031	-1.0199659598413013e-06
R_SS0032	2.029851462487042e-06
R_SS0033	3.029988449409631e-06
R_SS0034	1.0099948665312742e-06
R_SS0035	0.0015288752187241038
R_SS0036	4.049962371181487e-06
R_SS0037	-9.985053244106647e-09
R_SS0038	0.0015248052250420017
R_SS0039	0.0015420495386421237
R_SS0040	1.0099976292762353e-06
R_SS0041	2.029976084182994e-06
R_SS0042	1.537057651491952e-05
R_SS0043	0.9688232334283248
R_SS0044	-0.968822223430157
R_SS0045	3.0399692995285776e-06
R_SS0046	-9.980970972445594e-09
R_SS0047	-9.87874239330645e-09
R_SS0048	-2.0398768945106838e-06
R_SS0049	1.000017505449437e-06
R_SS0050	9.109627036720783e-06
R_SS0051	1.1129622389083327e-05
R_SS0052	0.00660647068833331
R_SS0053	-0.006603652487527256
R_SS0054	0.0002573436836266317
R_SS0055	0.0002583536000075737
R_SS0056	-9.945940553376565e-09
R_SS0057	0.0016724017450004958
R_SS0058	-0.0027353833049208465
R_SS0059	0.004027925019518281
R_SS0060	-9.997401373314441e-09
R_SS0061	1.0000046080000448e-06
R_SS0062	-9.96813624414476e-09
R_SS0063	0.0009526975734327072
R_SS0064	0.002733373318875687
R_SS0065	0.0027343833051134314
R_SS0066	0.0027343832873409912
R_SS0067	1.7028515104585916e-06
R_SS0068	3.171469155077126e-07
R_SS0069	3.049998279888716e-06
R_SS0070	6.787566466810453e-05
R_SS0071	5.929856599659604e-06
R_SS0072	4.059987485167269e-06
R_SS0073	0.00016331775900892094
R_SS0074	0.00038752473720201085
R_SS0075	3.2721798336494984e-07
R_SS0076	-9.959961089844932e-09
R_SS0077	2.8174056353204006e-05
R_SS0078	3.6254041253895674e-05
R_SS0079	3.524404284996872e-05
R_SS0080	3.221404995044824e-05
R_SS0081	3.322404758334972e-05
