,0
R_SS0001,-0.08566059784908475
R_SS0002,0.09264980447104953
R_SS0003,-5.763141075476597e-10
R_SS0004,-4.7196024866025255e-11
R_SS0005,-8.282574626150563e-11
R_SS0006,-8.282441399387608e-11
R_SS0007,3.3296032597718295e-11
R_SS0008,0.015919999838492238
R_SS0009,5.3859139370615594e-11
R_SS0010,0.015919999861063516
R_SS0011,4.7196024866025255e-11
R_SS0012,0.015919999861063516
R_SS0013,-4.7195580776815405e-11
R_SS0014,0.01820999970297521
R_SS0015,-4.999911595859885e-11
R_SS0016,-7.999734208397058e-11
R_SS0017,0.018209999742975214
R_SS0018,-1.1241496622460545e-10
R_SS0019,0.01820999972297699
R_SS0020,-8.881084756495738e-11
R_SS0021,-9.696643488155132e-11
R_SS0022,0.01820999980477822
R_SS0023,0.018209999804781773
R_SS0024,0.01591999978463221
R_SS0025,0.018209999804776444
R_SS0026,-6.870948254800169e-11
R_SS0027,2.2570390001419582e-11
R_SS0028,0.018209999762975215
R_SS0029,-7.646150379514438e-11
R_SS0030,-4.837374945054762e-11
R_SS0031,-8.878692225877671e-11
R_SS0032,-2.6554758392194344e-11
R_SS0033,-8.463985068374313e-11
R_SS0034,-5.3931970001031004e-11
R_SS0035,0.013389995963308365
R_SS0036,-9.636025311010599e-11
R_SS0037,-9.532352684971102e-11
R_SS0038,0.013389995841279756
R_SS0039,0.01897999588965149
R_SS0040,-7.494094234061777e-11
R_SS0041,-8.181544330909674e-11
R_SS0042,0.010700199741238592
R_SS0043,0.005590020830572584
R_SS0044,-0.005590020830572584
R_SS0045,-9.272316248143397e-11
R_SS0046,1.0004304407118525e-07
R_SS0047,0.8308068525557886
R_SS0048,0.8308068525891201
R_SS0049,1.0004304407118525e-07
R_SS0050,-5.695355298485083e-11
R_SS0051,-5.695444116327053e-11
R_SS0052,0.46196453031382845
R_SS0053,-0.4582485313897102
R_SS0054,0.09036709244984564
R_SS0055,0.09036709244984564
R_SS0056,0.09036709254011299
R_SS0057,0.05017089427138188
R_SS0058,1.7835333210314275e-10
R_SS0059,0.04529980438770309
R_SS0060,-1.1674217148538446e-10
R_SS0061,9.982549897813442e-08
R_SS0062,9.982549542542074e-08
R_SS0063,-8.660450134811981e-11
R_SS0064,-8.86100082198027e-11
R_SS0065,-8.86100082198027e-11
R_SS0066,-8.86117845766421e-11
R_SS0067,9.982291970800361e-08
R_SS0068,5.2580162446247414e-11
R_SS0069,-5.930900215389556e-11
R_SS0070,0.03821999942915255
R_SS0071,0.02012999870359522
R_SS0072,-5.930900215389556e-11
R_SS0073,0.04527999932989957
R_SS0074,0.14483139625049546
R_SS0075,0.0024799997132856078
R_SS0076,-8.708411769475788e-11
R_SS0077,0.010049999901436735
R_SS0078,0.010049999901434958
R_SS0079,0.010049999901435847
R_SS0080,0.010049999901436735
R_SS0081,0.010049999901434958
R_SS0082,0.010049999901434958
R_SS0083,0.010049999901434958
R_SS0084,0.010049999901434958
R_SS0085,5.540101710721501e-11
R_SS0086,0.026239999848399975
R_SS0087,0.026239999903800992
R_SS0088,0.026239999903800992
R_SS0089,0.026239999903800992
R_SS0090,0.026239999903800992
R_SS0091,0.026239999903800992
R_SS0092,0.026239999903799216
R_SS0093,-4.999904310021286e-11
R_SS0094,0.02623999990380027
R_SS0095,-9.028688907619653e-11
R_SS0096,-5.695355298485083e-11
R_SS0097,-9.599432360118954e-11
R_SS0098,-9.839062897754047e-11
R_SS0099,-9.918998955527059e-11
R_SS0100,0.02136009928605631
R_SS0101,-3.999645059593604e-11
R_SS0102,-2.000000165480742e-11
R_SS0103,-9.692213698286878e-11
R_SS0104,0.002479999712814873
R_SS0105,0.018879999620665444
R_SS0106,0.02136009928605631
R_SS0107,0.021360099286050982
R_SS0108,0.02136009928605276
R_SS0109,0.010049999901435847
R_SS0110,0.002479999712814873
R_SS0111,-0.011469999903226835
R_SS0112,0.0074099998143584145
R_SS0113,0.011469999806306586
R_SS0114,0.002479999712814873
R_SS0115,0.021360099286050982
R_SS0116,0.002479999712814873
R_SS0117,-0.14458354757617542
R_SS0118,0.06459818422442254
R_SS0119,0.2017717318974661
R_SS0120,0.021360099286050982
R_SS0121,0.021360099286050982
R_SS0122,-9.715583892955237e-11
R_SS0123,-9.71560609741573e-11
R_SS0124,-8.786571470409399e-11
R_SS0125,2.1105961423018016e-10
R_SS0126,-9.14601727686204e-11
R_SS0127,-8.952838470577262e-11
R_SS0128,-4.707345624410664e-13
R_SS0129,-9.096545738884743e-11
R_SS0130,-9.229594866155821e-11
R_SS0131,4.416023102749023e-12
R_SS0132,-9.14610609470401e-11
R_SS0133,-8.460965261747333e-11
R_SS0134,-6.153477727366408e-11
R_SS0135,-8.877876211954572e-11
R_SS0136,-8.876988033534872e-11
R_SS0137,-8.877520940586692e-11
R_SS0138,-8.877165669218812e-11
R_SS0139,-6.680700437300402e-11
R_SS0140,-6.515676886920119e-11
R_SS0141,0.0
R_SS0142,2.6684432441470562e-11
R_SS0143,-0.25144956332352564
R_SS0144,-0.07270193560289062
R_SS0145,-0.024510008267359495
R_SS0146,-0.024510008267359495
R_SS0147,0.02451000826735772
R_SS0148,0.024510008061106703
R_SS0149,2.0625190444434338e-10
R_SS0150,0.024510008061106703
R_SS0151,-8.149227070930465e-09
R_SS0152,0.01453999980721754
R_SS0153,0.014539999807215764
R_SS0154,0.014539999807226422
R_SS0155,7.484199926466317e-10
R_SS0156,-0.014539999413436533
R_SS0157,-4.996056901518386e-10
R_SS0158,-1.4459544672718039e-11
R_SS0159,-1.4459544672718039e-11
R_SS0160,8.355478087196389e-09
R_SS0161,-1.4459544672718039e-11
R_SS0162,-3.331424025532215e-11
R_SS0163,8.355478975374808e-09
R_SS0164,-1.446665010007564e-11
R_SS0165,8.355478975374808e-09
R_SS0166,-1.4459544672718039e-11
R_SS0167,8.355479863553228e-09
R_SS0168,-4.0110137433657655e-11
R_SS0169,-5.6974869266923633e-11
R_SS0170,-8.954703645258633e-11
R_SS0171,-8.954970098784543e-11
R_SS0172,-8.954703645258633e-11
R_SS0173,-8.954970098784543e-11
R_SS0174,-8.954792463100603e-11
R_SS0175,-8.954792463100603e-11
R_SS0176,0.09580999961649184
R_SS0177,-1.46044953908131e-10
R_SS0178,-8.201439527510956e-11
R_SS0179,-8.201439527510956e-11
R_SS0180,1.7434942378713458e-11
R_SS0181,-9.066880579666758e-11
R_SS0182,-3.455369324001367e-11
R_SS0183,1.446665010007564e-11
R_SS0184,0.9496188110310513
R_SS0185,0.9496188110310442
R_SS0186,-8.544986940250965e-11
R_SS0187,-0.02753370629594798
R_SS0188,0.03360049825401035
R_SS0189,-7.777778421313997e-11
R_SS0190,0.027533306206201758
R_SS0191,-0.006067199747576524
R_SS0192,-0.006067199747576524
R_SS0193,-0.027427299033632835
R_SS0194,0.0
R_SS0195,0.0
R_SS0196,-0.9496188112056316
R_SS0197,4.449999999005527
R_SS0198,3.3968212066676102
R_SS0199,3.2464867082734
R_SS0200,3.2464867083621556
R_SS0201,3.247670748089007
R_SS0202,6.475170856650095
R_SS0203,-6.475170856650109
R_SS0204,-6.3848037642851665
R_SS0205,6.384803764370687
R_SS0206,6.3420835658002375
R_SS0207,0.09580999983485583
R_SS0208,4.225937325873396
R_SS0209,0.0
R_SS0210,-4.419575816427823e-11
R_SS0211,-5.5564441936439835e-11
R_SS0212,0.6580004900416245
R_SS0213,0.05634428008900727
R_SS0214,-8.928680017561419e-11
R_SS0215,-8.789591277036379e-11
R_SS0216,0.38848228674346963
R_SS0217,-8.875922219431231e-11
R_SS0218,-7.414335811972705e-11
R_SS0219,5.8186344631394604e-11
R_SS0220,1.0193623722898337e-10
R_SS0221,-9.114842214330565e-11
R_SS0222,-1.2259704362804769e-10
R_SS0223,-3.33386651618639e-11
R_SS0224,0.0452998042063415
R_SS0225,-8.959233355199103e-11
R_SS0226,-4.999904656965981e-11
R_SS0227,0.030070898707386107
R_SS0228,-7.834444204490865e-11
R_SS0229,-7.834444204490865e-11
R_SS0230,-3.5418779020801594e-11
R_SS0231,-5.455191853798169e-11
R_SS0232,-8.102496451556362e-11
R_SS0233,-5.000089231543825e-11
R_SS0234,-6.348699344016495e-11
R_SS0235,9.372946863095422e-11
R_SS0236,-7.341482977096803e-11
R_SS0237,0.045279999418909256
R_SS0238,0.04527999943056571
R_SS0239,0.04527999943056216
R_SS0240,0.04527999943056216
R_SS0241,-9.267964173886867e-11
R_SS0242,-8.807887752482202e-11
R_SS0243,-9.71471791899603e-11
R_SS0244,-9.71756008993907e-11
R_SS0245,-8.709744037105338e-11
R_SS0246,-9.293504854568369e-11
R_SS0247,-9.29398780158408e-11
R_SS0248,-9.29247789827059e-11
R_SS0249,-2.0432147712755224
R_SS0250,2.043214771204937
R_SS0251,0.005960699909477896
R_SS0252,3.072032228601529e-08
R_SS0253,0.3486615069571144
R_SS0254,-8.139267038131948e-11
R_SS0255,-8.139267038131948e-11
R_SS0256,-9.08144670574984e-11
R_SS0257,-0.03587998802920822
R_SS0258,-5.07038855346309e-13
R_SS0259,0.20672689774836073
R_SS0260,-9.241318821295863e-11
R_SS0261,0.15574000323618264
R_SS0262,0.1557400032312728
R_SS0263,0.0659901994442702
R_SS0264,0.04444999963461527
R_SS0265,-5.3944404498906806e-11
R_SS0266,-8.659384320708341e-11
R_SS0267,-6.346212444441335e-11
R_SS0268,-0.16449650953681072
R_SS0269,-7.427303216900327e-11
R_SS0270,0.034673703218878416
R_SS0271,0.09782030080309845
R_SS0272,-0.0631465978600545
R_SS0273,-8.738609835745592e-11
R_SS0274,0.319840558723973
R_SS0275,0.15533971415711711
R_SS0276,0.026239999903793887
R_SS0277,-0.005960730629801958
R_SS0278,-0.005960730629803734
R_SS0279,-8.840572718327167e-11
R_SS0280,-7.414513447656645e-11
R_SS0281,-0.07155999995129747
R_SS0282,-0.07155999986015615
R_SS0283,0.07155999986015615
R_SS0284,-6.268940921927424e-11
R_SS0285,-3.304201356968406e-11
R_SS0286,-3.304201356968406e-11
R_SS0287,-1.9397816686250735e-12
