,Reaction_ID,forward,reverse
R_SS0001,R_SS0001,21.053633469620472,20.76195975077044
R_SS0002,R_SS0002,9.09283793566629,9.085215750029402
R_SS0003,R_SS0003,7.386479990004069,7.386479990190683
R_SS0004,R_SS0004,6.278470779249943,6.281572118711254
R_SS0005,R_SS0005,1.6283564038296907,1.602759729513355
R_SS0006,R_SS0006,9.37222452066145,9.346627846345115
R_SS0007,R_SS0007,83.60316924370596,83.35894733244186
R_SS0008,R_SS0008,12.759725040561317,12.669586790176208
R_SS0009,R_SS0009,35.64414217438527,35.66855665284061
R_SS0010,R_SS0010,19.19523988249572,19.123517221936176
R_SS0011,R_SS0011,19.160895723168146,19.157794383706836
R_SS0012,R_SS0012,12.095334191914791,12.023611531355243
R_SS0013,R_SS0013,0.1293692715123918,0.1324706109737017
R_SS0014,R_SS0014,51.61579464691774,51.572436423016846
R_SS0015,R_SS0015,22.285082326323153,22.285082326323153
R_SS0016,R_SS0016,14.719788770408904,14.719788770408904
R_SS0017,R_SS0017,34.327474281431776,34.28411605753088
R_SS0018,R_SS0018,39.226739927038665,39.226739927038665
R_SS0019,R_SS0019,51.61579464691774,51.572436423016846
R_SS0020,R_SS0020,0.15888029247020838,0.1646100599695149
R_SS0021,R_SS0021,0.5665129366601,0.567773633207806
R_SS0022,R_SS0022,52.36187200563264,52.27754570222925
R_SS0023,R_SS0023,92.85631670677304,92.77199040336966
R_SS0024,R_SS0024,35.713669691156,35.599116962315556
R_SS0025,R_SS0025,31.49083179278538,31.406505489381985
R_SS0026,R_SS0026,37.82878809928352,37.852601285501976
R_SS0027,R_SS0027,1.3084450510635282,1.326860640889089
R_SS0028,R_SS0028,14.741483846706647,14.698125622805748
R_SS0029,R_SS0029,83.02791447714503,83.0517276633217
R_SS0030,R_SS0030,83.0517276633217,83.02791447714503
R_SS0031,R_SS0031,0.15888029247020838,0.1646100599695149
R_SS0032,R_SS0032,2.728256843143674,2.72825684309822
R_SS0033,R_SS0033,8.883822278420977,8.883822278420977
R_SS0034,R_SS0034,19.159344990685433,19.159344990685433
R_SS0035,R_SS0035,92.81331017912349,92.8149777848421
R_SS0036,R_SS0036,19.159344989457356,19.159344991913514
R_SS0037,R_SS0037,0.9561962027901569,0.987210857259401
R_SS0038,R_SS0038,92.81331017909925,92.81497778486636
R_SS0039,R_SS0039,92.96125946472412,92.66726130880271
R_SS0040,R_SS0040,36.70048727921828,36.70048727921828
R_SS0041,R_SS0041,7.445635003009663,7.445635005465821
R_SS0042,R_SS0042,8.405028091226926,8.479281702564357
R_SS0043,R_SS0043,24.73604425068553,24.676700273510292
R_SS0044,R_SS0044,24.676700273510296,24.736044250685538
R_SS0045,R_SS0045,0.1774284985109593,0.17742850096711724
R_SS0046,R_SS0046,19.216785823044557,19.272470048743823
R_SS0047,R_SS0047,30.9789714774958,30.93090714072938
R_SS0048,R_SS0048,48.867122074563966,48.81905773786488
R_SS0049,R_SS0049,12.791033457237711,12.846717682936976
R_SS0050,R_SS0050,18.654779224586434,18.71046392011693
R_SS0051,R_SS0051,6.78537992892377,6.841064624454267
R_SS0052,R_SS0052,18.22514408948062,18.249547320072697
R_SS0053,R_SS0053,18.25609729120364,18.21860522382169
R_SS0054,R_SS0054,92.73131713211853,92.89704480461091
R_SS0055,R_SS0055,34.050330193795624,34.216057866288004
R_SS0056,R_SS0056,33.07238697937031,33.2381146520606
R_SS0057,R_SS0057,92.81081631300454,92.81747176278154
R_SS0058,R_SS0058,50.41675833320272,50.341525379071534
R_SS0059,R_SS0059,14.98883083750766,15.044654101964966
R_SS0060,R_SS0060,36.215658963915274,36.215658963481566
R_SS0061,R_SS0061,87.11801454895786,87.1803335191424
R_SS0062,R_SS0062,37.49390571043632,37.55622468062085
R_SS0063,R_SS0063,34.0675749063867,34.30428431448832
R_SS0064,R_SS0064,19.100404109976452,19.218467753798503
R_SS0065,R_SS0065,19.100404109976452,19.218467753798503
R_SS0066,R_SS0066,19.100404109976452,19.218467753798503
R_SS0067,R_SS0067,57.299802301391765,57.21937993908
R_SS0068,R_SS0068,57.18825081424634,57.33099214674264
R_SS0069,R_SS0069,21.792813203067254,21.61675453620119
R_SS0070,R_SS0070,9.753050643183336,9.523919301606972
R_SS0071,R_SS0071,19.978429946385457,19.75696900586982
R_SS0072,R_SS0072,41.483389539224355,41.307330872358285
R_SS0073,R_SS0073,32.14643605606132,32.12858021074242
R_SS0074,R_SS0074,92.08698973709618,93.54704010856342
R_SS0075,R_SS0075,19.121840233893227,19.196923307698043
R_SS0076,R_SS0076,59.50971576096007,60.1731159291075
R_SS0077,R_SS0077,73.76493300626078,73.71769800628182
R_SS0078,R_SS0078,34.50175316407789,34.45451816409893
R_SS0079,R_SS0079,5.307903201610081,5.260668201631126
R_SS0080,R_SS0080,23.365089852683425,23.317854852704468
R_SS0081,R_SS0081,11.108353359079858,11.061118359100902
R_SS0082,R_SS0082,34.50175316407789,34.45451816409893
R_SS0083,R_SS0083,34.50175316407789,34.45451816409893
R_SS0084,R_SS0084,22.184945504335,22.137710504356047
R_SS0085,R_SS0085,26.014077424404036,26.003096440231484
R_SS0086,R_SS0086,26.06482052254204,25.952473506786873
